NIST Atomic Spectra Database Lines Data
Ne : 6090 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 100000 

Query NIST Bibliographic Databases for 
Ne (new window) 
Ne Energy Levels  
Ne Line Wavelengths and Classification  
Ne Transition Probabilities  

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |              Ritz    |       Rel. |    Aki    | Acc. |                Ei           Ek                 |                Configurations                  |        Terms        |   Ji   Jk   | gi   gk |Type|                 TP  |    Line  |
          |           Wavelength |           Wavelength |       Int. |    s^-1   |      |               (eV)         (eV)                |                                                |                     |             |         |    |                Ref. |    Ref.  |
          |            Vac (nm)  |            Vac (nm)  |       (?)  |           |      |                                                |                                                |                     |             |         |    |                     |          |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                      |                      |            |           |      |                                                |                                                |                     |             |         |    |                     |          |
Ne IX     |                      |            1.1547    |            | 2.48e+12  | A    |      0.00             -     1073.769           |                   1s2 - 1s.3p                  |      1S  - 1P*      |    0 - 1    |  1 - 3  |    |                  u2 |          |
Ne VIII   |            1.160     |            1.159     |            |           |      |   [140.76269]         -     1210?              |                1s2.3p - 1s.3p2                 |      2P* - 2P       |  3/2 - 3/2  |  4 - 4  |    |                     |   L9090  |
Ne VIII   |            1.1905    |            1.1903    |     900bl* |           |      |      0.0000           -     1041.6?            |                1s2.2s - 1s.2s.(3S).3p          |      2S  - 2P*      |  1/2 -      |  2 -    |    |                     |   L9090  |
Ne VIII   |            1.1905    |            1.1905    |     900bl* |           |      |     15.88881          -     1057.3?            |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 2S       |  1/2 - 1/2  |  2 - 2  |    |                     |   L9090  |
Ne VIII   |            1.1905    |            1.1907    |     900bl* |           |      |     16.09330          -     1057.3?            |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 2S       |  3/2 - 1/2  |  4 - 2  |    |                     |   L9090  |
          |                      |                      |            |           |      |                                                |                                                |                     |             |         |    |                     |          |
Ne VIII   |            1.1905    |            1.19119   |     900bl* |           |      |      0.0000           -     1040.8             |                1s2.2s - 1s.2s.(3S).3p          |      2S  - 4P*      |  1/2 -      |  2 -    |    |                     |   L9090  |
Ne VIII   |            1.1930    |            1.1933    |    1500bl* |           |      |     15.88881          -     1054.9             |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 2D       |  1/2 -      |  2 -    |    |                     |   L9090  |
Ne VIII   |            1.1930    |            1.1936    |    1500bl* |           |      |     16.09330          -     1054.9             |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 2D       |  3/2 -      |  4 -    |    |                     |   L9090  |
Ne VIII   |            1.246     |            1.245     |        600 |           |      |    891.521            -     1887.0?            |                1s.2s2 - 2s2.2p                 |      2S  - 2P*      |  1/2 - 3/2  |  2 - 4  |    |                     |   L9090  |
Ne IX     |                      |            1.3447    |            | 8.87e+12  | A    |      0.00             -      922.0159          |                   1s2 - 1s.2p                  |      1S  - 1P*      |    0 - 1    |  1 - 3  |    |                  u2 |          |
          |                      |                      |            |           |      |                                                |                                                |                     |             |         |    |                     |          |
Ne VIII   |            1.3469    |            1.3471    |      1200* |           |      |   [142.2711]          -     1062.7             |                1s2.3d - 1s.2p.(1P*).3d         |      2D  - 2F*      |  5/2 -      |  6 -    |    |                     |   L9090  |
Ne VIII   |            1.3469    |            1.3471    |      1200* |           |      |   [142.2529]          -     1062.7             |                1s2.3d - 1s.2p.(1P*).3d         |      2D  - 2F*      |  3/2 -      |  4 -    |    |                     |   L9090  |
Ne VIII   |            1.3488    |            1.3486    |       900* |           |      |   [140.76269]         -     1060               |                1s2.3p - 1s.2p.(1P*).3p         |      2P* - 2D       |  3/2 -      |  4 -    |    |                     |   L9090  |
Ne VIII   |            1.3488    |            1.3486    |       900* |           |      |   [140.70216]         -     1060               |                1s2.3p - 1s.2p.(1P*).3p         |      2P* - 2D       |  1/2 -      |  2 -    |    |                     |   L9090  |
Ne VIII   |            1.3533    |            1.3531    |      1200* |           |      |     15.88881          -      932.188           |                1s2.2p - 1s.2p2                 |      2P* - 2S       |  1/2 - 1/2  |  2 - 2  |    |                     |   L9090  |
          |                      |                      |            |           |      |                                                |                                                |                     |             |         |    |                     |          |
Ne VIII   |            1.3533    |            1.3534    |      1200* |           |      |     16.09330          -      932.188           |                1s2.2p - 1s.2p2                 |      2P* - 2S       |  3/2 - 1/2  |  4 - 2  |    |                     |   L9090  |
Ne VIII   |            1.3561    |            1.35663   |       2600 |           |      |      0.0000           -      913.912           |                1s2.2s - 1s.(2S).2s.2p.(1P*)    |      2S  - 2P*      |  1/2 -      |  2 -    |    |                     |   L9090  |
Ne VIII   |            1.3655    |            1.36562   |       7200 |           |      |      0.0000           -      907.899           |                1s2.2s - 1s.(2S).2s.2p.(3P*)    |      2S  - 2P*      |  1/2 -      |  2 -    |    |                     |   L9090  |
Ne VIII   |            1.3685    |            1.3682    |       540* |           |      |     15.88881          -      922.07            |                1s2.2p - 1s.2p2                 |      2P* - 2P       |  1/2 -      |  2 -    |    |                     |   L9090  |
Ne VIII   |            1.3685    |            1.3685    |       540* |           |      |     16.09330          -      922.07            |                1s2.2p - 1s.2p2                 |      2P* - 2P       |  3/2 -      |  4 -    |    |                     |   L9090  |
