NIST Atomic Spectra Database Lines Data
Na : 7384 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 80000 

Query NIST Bibliographic Databases for 
Na (new window) 
Na Energy Levels  
Na Line Wavelengths and Classification  
Na Transition Probabilities  

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |               Ritz    |    Rel. |    Aki    | Acc. |                 Ei           Ek                  |                Configurations                   |        Terms        |  Ji   Jk      | gi   gk |Type|                      TP  |             Line  |
          |            Wavelength |            Wavelength |    Int. |    s^-1   |      |                (eV)         (eV)                 |                                                 |                     |               |         |    |                     Ref. |             Ref.  |
          |             Vac (nm)  |             Vac (nm)  |    (?)  |           |      |                                                  |                                                 |                     |               |         |    |                          |                   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |                       |         |           |      |                                                  |                                                 |                     |               |         |    |                          |                   |
Na XI     |                       |           0.76766023  |         | 1.81e+11  |      |       0.000            -    (1615.0920050)       |                    1s - 7p                      |      2S  - 2P*      | 1/2 - 3/2     |  2 - 4  |    |                    T7771 |            L3620  |
Na XI     |                       |           0.76766763  |         | 1.81e+11  |      |       0.000            -    (1615.0764510)       |                    1s - 7p                      |      2S  - 2P*      | 1/2 - 1/2     |  2 - 2  |    |                    T7771 |            L3620  |
Na XI     |                       |           0.77347340  |         | 2.88e+11  |      |       0.000            -    (1602.9535220)       |                    1s - 6p                      |      2S  - 2P*      | 1/2 - 3/2     |  2 - 4  |    |                    T7771 |            L3620  |
Na XI     |                       |           0.77348532  |         | 2.88e+11  |      |       0.000            -    (1602.9288205)       |                    1s - 6p                      |      2S  - 2P*      | 1/2 - 1/2     |  2 - 2  |    |                    T7771 |            L3620  |
Na XI     |                       |           0.78331130  |         | 5.03e+11  |      |       0.000            -    (1582.8214243)       |                    1s - 5p                      |      2S  - 2P*      | 1/2 - 3/2     |  2 - 4  |    |                    T7771 |            L3620  |
          |                       |                       |         |           |      |                                                  |                                                 |                     |               |         |    |                          |                   |
Na XI     |                       |           0.78333243  |         | 5.02e+11  |      |       0.000            -    (1582.778736)        |                    1s - 5p                      |      2S  - 2P*      | 1/2 - 1/2     |  2 - 2  |    |                    T7771 |            L3620  |
Na XI     |                       |           0.80209276  |         | 9.98e+11  |      |       0.000            -    (1545.758752)        |                    1s - 4p                      |      2S  - 2P*      | 1/2 - 3/2     |  2 - 4  |    |                    T7771 |            L3620  |
Na XI     |                       |           0.80213603  |         | 9.97e+11  |      |       0.000            -    (1545.675361)        |                    1s - 4p                      |      2S  - 2P*      | 1/2 - 1/2     |  2 - 2  |    |                    T7771 |            L3620  |
Na XI     |           0.84588     |           0.84591212  |     bl* | 2.45e+12  |      |       0.000            -    (1465.686416)        |                    1s - 3p                      |      2S  - 2P*      | 1/2 - 3/2     |  2 - 4  |    |                    T7771 |            L6845  |
Na XI     |           0.84588     |           0.84602623  |     bl* | 2.45e+12  |      |       0.000            -    (1465.488723)        |                    1s - 3p                      |      2S  - 2P*      | 1/2 - 1/2     |  2 - 2  |    |                    T7771 |            L6845  |
          |                       |                       |         |           |      |                                                  |                                                 |                     |               |         |    |                          |                   |
Na X      |                       |           0.8541659   |         | 9.67e+10  | A+   |       0.00             -    (1451.5235)          |                   1s2 - 1s.10p                  |      1S  - 1P*      |   0 - 1       |  1 - 3  |    |           T5231c64,T5072 |                   |
Na X      |                       |           0.8560462   |         | 1.33e+11  | A    |       0.00             -    (1448.3352)          |                   1s2 - 1s.9p                   |      1S  - 1P*      |   0 - 1       |  1 - 3  |    |           T5231c64,T5072 |                   |
Na X      |                       |           0.8586885   |         | 1.89e+11  | A    |       0.00             -    (1443.8786)          |                   1s2 - 1s.8p                   |      1S  - 1P*      |   0 - 1       |  1 - 3  |    |           T5231c64,T5072 |                   |
Na X      |                       |           0.8625710   |         | 2.83e+11  | A    |       0.00             -    (1437.3795)          |                   1s2 - 1s.7p                   |      1S  - 1P*      |   0 - 1       |  1 - 3  |    |           T5231c64,T5072 |                   |
Na X      |                       |           0.8686207   |         | 4.50e+11  | A+   |       0.00             -    (1427.3686)          |                   1s2 - 1s.6p                   |      1S  - 1P*      |   0 - 1       |  1 - 3  |    |           T5231c64,T5072 |                   |
          |                       |                       |         |           |      |                                                  |                                                 |                     |               |         |    |                          |                   |
Na X      |                       |           0.8788392   |         | 7.81e+11  | A+   |       0.00             -    (1410.7722)          |                   1s2 - 1s.5p                   |      1S  - 1P*      |   0 - 1       |  1 - 3  |    |           T5231c64,T5072 |                   |
Na X      |                       |           0.8982795   |         | 1.54e+12  | A+   |       0.00             -    (1380.2407)          |                   1s2 - 1s.4p                   |      1S  - 1P*      |   0 - 1       |  1 - 3  |    |           T5231c64,T5072 |                   |
Na X      |           0.9428      |           0.9433001   |         | 3.74e+12  | A+   |       0.00             -    (1314.3663)          |                   1s2 - 1s.3p                   |      1S  - 1P*      |   0 - 1       |  1 - 3  |    |           T5231c64,T5072 |          L2560c7  |
Na XI     |           1.0027      |           1.0023188   |     bl* | 9.16e+12  |      |       0.000            -    (1236.97362)         |                    1s - 2p                      |      2S  - 2P*      | 1/2 - 3/2     |  2 - 4  |    |                    T7771 |          L2560c7  |
