NIST Atomic Spectra Database Lines Data
Mg : 6893 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 100000 

Query NIST Bibliographic Databases for 
Mg (new window) 
Mg Energy Levels  
Mg Line Wavelengths and Classification  
Mg Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |    Rel. |    Aki    | Acc. |                Ei           Ek                |                Configurations                               |        Terms           |   Ji   Jk   | gi   gk |Type|                          TP  |             Line  |
          |          Wavelength |          Wavelength |    Int. |    s^-1   |      |               (eV)         (eV)               |                                                             |                        |             |         |    |                         Ref. |             Ref.  |
          |           Vac (nm)  |           Vac (nm)  |    (?)  |           |      |                                               |                                                             |                        |             |         |    |                              |                   |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |                     |         |           |      |                                               |                                                             |                        |             |         |    |                              |                   |
Mg XII    |                     |          0.6380853  |      6g |           |      |       0.00            -    (1943.0661)        |                    1s - 10p                                 |      2S  - 2P*         |  1/2 - 3/2  |  2 - 4  |    |                              |                   |
Mg XII    |                     |          0.6380878  |      3g |           |      |       0.00            -    (1943.0585)        |                    1s - 10p                                 |      2S  - 2P*         |  1/2 - 1/2  |  2 - 2  |    |                              |                   |
Mg XII    |                     |          0.6395988  |      7g |           |      |       0.00            -    (1938.4683)        |                    1s - 9p                                  |      2S  - 2P*         |  1/2 - 3/2  |  2 - 4  |    |                              |                   |
Mg XII    |                     |          0.6396022  |      3g |           |      |       0.00            -    (1938.4579)        |                    1s - 9p                                  |      2S  - 2P*         |  1/2 - 1/2  |  2 - 2  |    |                              |                   |
Mg XII    |                     |          0.6417268  |      4g |           |      |       0.00            -    (1932.0402)        |                    1s - 8p                                  |      2S  - 2P*         |  1/2 - 3/2  |  2 - 4  |    |                              |                   |
          |                     |                     |         |           |      |                                               |                                                             |                        |             |         |    |                              |                   |
Mg XII    |                     |          0.6417317  |      8g |           |      |       0.00            -    (1932.0254)        |                    1s - 8p                                  |      2S  - 2P*         |  1/2 - 1/2  |  2 - 2  |    |                              |                   |
Mg XII    |                     |          0.6448563  |      5g |           |      |       0.00            -    (1922.6639)        |                    1s - 7p                                  |      2S  - 2P*         |  1/2 - 3/2  |  2 - 4  |    |                              |                   |
Mg XII    |                     |          0.6448637  |     10g |           |      |       0.00            -    (1922.6418)        |                    1s - 7p                                  |      2S  - 2P*         |  1/2 - 1/2  |  2 - 2  |    |                              |                   |
Mg XII    |          0.65035    |          0.6497386  |    20g* |           |      |       0.00            -    (1908.2166)        |                    1s - 6p                                  |      2S  - 2P*         |  1/2 - 3/2  |  2 - 4  |    |                              |          L2560c7  |
Mg XII    |          0.65035    |          0.6497505  |    10g* |           |      |       0.00            -    (1908.1817)        |                    1s - 6p                                  |      2S  - 2P*         |  1/2 - 1/2  |  2 - 2  |    |                              |          L2560c7  |
          |                     |                     |         |           |      |                                               |                                                             |                        |             |         |    |                              |                   |
Mg XII    |          0.65765    |          0.6580011  |    30g* |           |      |       0.00            -    (1884.2552)        |                    1s - 5p                                  |      2S  - 2P*         |  1/2 - 3/2  |  2 - 4  |    |                              |          L2560c7  |
Mg XII    |          0.65765    |          0.6580222  |    15g* |           |      |       0.00            -    (1884.1947)        |                    1s - 5p                                  |      2S  - 2P*         |  1/2 - 1/2  |  2 - 2  |    |                              |          L2560c7  |
Mg XII    |          0.67365    |          0.6737749  |    60g* |           |      |       0.00            -    (1840.1425)        |                    1s - 4p                                  |      2S  - 2P*         |  1/2 - 3/2  |  2 - 4  |    |                              |          L2560c7  |
Mg XII    |          0.67365    |          0.6738182  |    30g* |           |      |       0.00            -    (1840.0243)        |                    1s - 4p                                  |      2S  - 2P*         |  1/2 - 1/2  |  2 - 2  |    |                              |          L2560c7  |
Mg XI     |                     |          0.71037    |     10g | 1.40e+11  | A+   |       0.00            -    [1745.3493]        |                   1s2 - 1s.10p                              |      1S  - 1P*         |    0 - 1    |  1 - 3  |    |                T5231c4,T5072 |                   |
          |                     |                     |         |           |      |                                               |                                                             |                        |             |         |    |                              |                   |
Mg XII    |          0.71068    |          0.7105766  |   200g* |           |      |       0.00            -    (1744.8392)        |                    1s - 3p                                  |      2S  - 2P*         |  1/2 - 3/2  |  2 - 4  |    |                              |          L2560c7  |
Mg XII    |          0.71068    |          0.7106907  |   100g* |           |      |       0.00            -    (1744.5590)        |                    1s - 3p                                  |      2S  - 2P*         |  1/2 - 1/2  |  2 - 2  |    |                              |          L2560c7  |
Mg XI     |          0.7128     |          0.71194    |     15g | 1.92e+11  | A    |       0.00            -    [1741.4906]        |                   1s2 - 1s.9p                               |      1S  - 1P*         |    0 - 1    |  1 - 3  |    |                T5231c4,T5072 |            L2304  |
Mg XI     |          0.7156     |          0.71415    |     20g | 2.74e+11  | A    |       0.00            -    [1736.0968]        |                   1s2 - 1s.8p                               |      1S  - 1P*         |    0 - 1    |  1 - 3  |    |                T5231c4,T5072 |            L2304  |
Mg XI     |          0.7177     |          0.71741    |     25g | 4.10e+11  | A    |       0.00            -    [1728.2308]        |                   1s2 - 1s.7p                               |      1S  - 1P*         |    0 - 1    |  1 - 3  |    |                T5231c4,T5072 |            L2304  |
