NIST Atomic Spectra Database Lines Data
Si : 5701 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 2000 

Query NIST Bibliographic Databases for 
Si (new window) 
Si Energy Levels  
Si Line Wavelengths and Classification  
Si Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |  Rel. |    Aki    | Acc. |               Ei           Ek                |                    Configurations                     |           Terms          |  Ji   Jk   | gi   gk |Type|                                      TP  |   Line  |
          |          Wavelength |          Wavelength |  Int. |    s^-1   |      |              (eV)         (eV)               |                                                       |                          |            |         |    |                                     Ref. |   Ref.  |
          |           Vac (nm)  |           Vac (nm)  |  (?)  |           |      |                                              |                                                       |                          |            |         |    |                                          |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |                     |       |           |      |                                              |                                                       |                          |            |         |    |                                          |         |
Si XIII   |                     |             0.5135  |       | 2.70e+11  | C+   |       0.00           -    [2414.6401]        |                       1s2 - 1s.10p                    |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |                                  T5231c4 |         |
Si XIII   |                     |             0.5146  |       | 3.68e+11  | A    |       0.00           -    [2409.2486]        |                       1s2 - 1s.9p                     |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |                                    T5072 |         |
Si XIII   |                     |             0.5162  |       | 5.25e+11  | A    |       0.00           -    [2401.7118]        |                       1s2 - 1s.8p                     |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |                                    T5072 |         |
Si XIII   |                     |             0.5186  |       | 7.86e+11  | A    |       0.00           -    [2390.7197]        |                       1s2 - 1s.7p                     |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |                                    T5072 |         |
Si XIII   |                     |             0.5223  |       | 1.25e+12  | A    |       0.00           -    [2373.7861]        |                       1s2 - 1s.6p                     |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |                                    T5072 |         |
          |                     |                     |       |           |      |                                              |                                                       |                          |            |         |    |                                          |         |
Si XIII   |                     |             0.5286  |       | 2.18e+12  | A    |       0.00           -    [2345.7091]        |                       1s2 - 1s.5p                     |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |                                    T5072 |         |
Si XIII   |                     |             0.5405  |       | 4.29e+12  | A    |       0.00           -    [2294.0467]        |                       1s2 - 1s.4p                     |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |                                    T5072 |         |
Si XIII   |                     |             0.5681  |       | 1.04e+13  | A+   |       0.00           -    [2182.5460]        |                       1s2 - 1s.3p                     |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |                                    T5072 |         |
Si XIII   |                     |             0.6648  |       | 3.76e+13  | A+   |       0.00           -    [1864.9752]        |                       1s2 - 1s.2p                     |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |                              T5072,T3585 |         |
Si XIII   |                     |             2.1557  |       | 1.83e+10  | B+   |   [1839.4226]        -    [2414.5687]        |                     1s.2s - 1s.10p                    |         3S  - 3P*        |   1 - 2    |  3 - 5  |    |                               T5231c4,LS |         |
          |                     |                     |       |           |      |                                              |                                                       |                          |            |         |    |                                          |         |
Si XIII   |                     |             2.1557  |       | 1.82e+10  | B    |   [1839.4226]        -    [2414.5616]        |                     1s.2s - 1s.10p                    |         3S  - 3P*        |   1 - 1    |  3 - 3  |    |                               T5231c4,LS |         |
Si XIII   |                     |             2.1557  |       | 1.83e+10  | B    |   [1839.4226]        -    [2414.5598]        |                     1s.2s - 1s.10p                    |         3S  - 3P*        |   1 - 0    |  3 - 1  |    |                               T5231c4,LS |         |
Si XIII   |                     |             2.1762  |       | 2.51e+10  | B+   |   [1839.4226]        -    [2409.1409]        |                     1s.2s - 1s.9p                     |         3S  - 3P*        |   1 - 1    |  3 - 3  |    |                               T5231c4,LS |         |
Si XIII   |                     |             2.1762  |       | 2.51e+10  | B    |   [1839.4226]        -    [2409.1383]        |                     1s.2s - 1s.9p                     |         3S  - 3P*        |   1 - 0    |  3 - 1  |    |                               T5231c4,LS |         |
Si XIII   |                     |             2.1762  |       | 2.51e+10  | B+   |   [1839.4226]        -    [2409.1506]        |                     1s.2s - 1s.9p                     |         3S  - 3P*        |   1 - 2    |  3 - 5  |    |                               T5231c4,LS |         |
          |                     |                     |       |           |      |                                              |                                                       |                          |            |         |    |                                          |         |
Si XIII   |                     |             2.2055  |       | 3.58e+10  | C+   |   [1839.4226]        -    [2401.5718]        |                     1s.2s - 1s.8p                     |         3S  - 3P*        |   1 - 2    |  3 - 5  |    |                               T5231c4,LS |         |
Si XIII   |                     |             2.2056  |       | 3.58e+10  | C+   |   [1839.4226]        -    [2401.5579]        |                     1s.2s - 1s.8p                     |         3S  - 3P*        |   1 - 1    |  3 - 3  |    |                               T5231c4,LS |         |
Si XIII   |                     |             2.2056  |       | 3.58e+10  | C+   |   [1839.4226]        -    [2401.5543]        |                     1s.2s - 1s.8p                     |         3S  - 3P*        |   1 - 0    |  3 - 1  |    |                               T5231c4,LS |         |
Si XIII   |                     |             2.2103  |       | 5.96e+08  | B    |   [1853.5339]        -    [2414.4599]        |                     1s.2p - 1s.10s                    |         3P* - 3S         |   0 - 1    |  1 - 3  |    |                               T5231c4,LS |         |
