NIST Atomic Spectra Database Lines Data
P : 754 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 1700 

Query NIST Bibliographic Databases for 
P (new window) 
P Energy Levels  
P Line Wavelengths and Classification  
P Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |  Rel. |    Aki    | Acc. |              Ei           Ek              |          Configurations           |    Terms   |  Ji   Jk  | gi   gk |Type|             TP  |   Line  |
          |        Wavelength |        Wavelength |  Int. |    s^-1   |      |             (eV)         (eV)             |                                   |            |           |         |    |            Ref. |   Ref.  |
          |         Vac (nm)  |         Vac (nm)  |  (?)  |           |      |                                           |                                   |            |           |         |    |                 |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P XIII    |                   |           3.5095  |       | 6.190e+11 | B    |      0.00           -     353.2818        |          1s2.2s - 1s2.3p          |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |      T1619CA,LS |         |
P XIII    |                   |           3.5136  |       | 6.150e+11 | B    |      0.00           -     352.8689        |          1s2.2s - 1s2.3p          |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |      T1619CA,LS |         |
P XII     |                   |           3.7344  |       | 1.1e+12   | E    |      0.00           -     332.005         |         1s2.2s2 - 1s2.2s.3p       |  1S  - 1P* |   0 - 1   |  1 - 3  |    |            T828 |         |
P XIII    |                   |           3.7561  |       | 1.60e+12  | B    |     25.8140         -     355.9016        |          1s2.2p - 1s2.3d          |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |      T1619CA,LS |         |
P XIII    |                   |           3.7706  |       | 1.90e+12  | B    |     27.2059         -     356.0243        |          1s2.2p - 1s2.3d          |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |      T1619CA,LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P XIII    |                   |           3.7720  |       | 3.160e+11 | B    |     27.2059         -     355.9016        |          1s2.2p - 1s2.3d          |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |      T1619CA,LS |         |
P XIII    |                   |           3.8753  |       | 8.77e+10  | B    |     25.8140         -     345.7485        |          1s2.2p - 1s2.3s          |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |      T1619CA,LS |         |
P XIII    |                   |           3.8922  |       | 1.730e+11 | B    |     27.2059         -     345.7485        |          1s2.2p - 1s2.3s          |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |      T1619CA,LS |         |
P XI      |                   |           4.2599  |       | 1.2e+12   | C    |      0.00           -     291.0492        |          2s2.2p - 2s2.3d          |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |  T1619interp,LS |         |
P XI      |                   |           4.2764  |       | 1.4e+12   | C    |      1.203          -     291.1285        |          2s2.2p - 2s2.3d          |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |  T1619interp,LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P XI      |                   |           4.2776  |       | 2.300e+11 | D    |      1.203          -     291.0492        |          2s2.2p - 2s2.3d          |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |  T1619interp,LS |         |
P XII     |                   |           4.4050  |       | 8.50e+10  | E    |     44.5529         -     326.016         |       1s2.2s.2p - 1s2.2s.3s       |  1P* - 1S  |   1 - 0   |  3 - 1  |    |            T828 |         |
P XI      |                   |           4.5997  |       | 7.00e+10  | D    |      0.00           -     269.5491?       |          2s2.2p - 2s2.3s          |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |  T1619interp,LS |         |
P XI      |                   |           4.6203  |       | 1.400e+11 | C    |      1.203          -     269.5491?       |          2s2.2p - 2s2.3s          |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |  T1619interp,LS |         |
P VI      |                   |           7.4953  |       | 4.700e+11 | D    |      0.00           -     165.41554       |         2s2.2p6 - 2s2.2p5.3d      |  1S  - 1P* |   0 - 1   |  1 - 3  |    |           T1210 |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P VI      |                   |           7.5642  |       | 6.70e+10  | D    |      0.00           -     163.90920       |         2s2.2p6 - 2s2.2p5.3d      |  1S  - 3D* |   0 - 1   |  1 - 3  |    |           T1210 |         |
P VI      |                   |           7.6531  |       | 1.6e+09   | E    |      0.00           -     162.00466       |         2s2.2p6 - 2s2.2p5.3d      |  1S  - 3P* |   0 - 1   |  1 - 3  |    |           T1210 |         |
P VI      |                   |           9.0652  |       | 4.90e+10  | D    |      0.00           -     136.76896       |         2s2.2p6 - 2s2.2p5.3s      |  1S  - 1P* |   0 - 1   |  1 - 3  |    |           T1210 |         |
P VI      |                   |           9.1467  |       | 7.4e+09   | E    |      0.00           -     135.55068       |         2s2.2p6 - 2s2.2p5.3s      |  1S  - 3P* |   0 - 1   |  1 - 3  |    |           T1210 |         |
P IX      |                   |          19.4633  |       | 4.50e+10  | D    |      9.4099         -      73.1115        |         2s2.2p3 - 2s.2p4          |  2D* - 2P  | 3/2 - 1/2 |  4 - 2  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
