NIST Atomic Spectra Database Lines Data
S : 7980 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 50000 

Query NIST Bibliographic Databases for 
S (new window) 
S Energy Levels  
S Line Wavelengths and Classification  
S Transition Probabilities  

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |     Rel. |    Aki    | Acc. |               Ei           Ek                |              Configurations                 |      Terms       |   Ji   Jk   | gi   gk |Type|             TP  |                Line  |
          |          Wavelength |          Wavelength |     Int. |    s^-1   |      |              (eV)         (eV)               |                                             |                  |             |         |    |            Ref. |                Ref.  |
          |           Vac (nm)  |           Vac (nm)  |     (?)  |           |      |                                              |                                             |                  |             |         |    |                 |                      |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |                     |          |           |      |                                              |                                             |                  |             |         |    |                 |                      |
S XVI     |                     |          0.3695797  |      20g |           |      |       0.00           -    [3354.7348]        |                  1s - 5p                    |    2S  - 2P*     |  1/2 - 3/2  |  2 - 4  |    |                 |                      |
S XVI     |                     |          0.3696008  |      10g |           |      |       0.00           -    [3354.5429]        |                  1s - 5p                    |    2S  - 2P*     |  1/2 - 1/2  |  2 - 2  |    |                 |                      |
S XVI     |                     |          0.3784311  |      40g |           |      |       0.00           -    [3276.2686]        |                  1s - 4p                    |    2S  - 2P*     |  1/2 - 3/2  |  2 - 4  |    |                 |                      |
S XVI     |                     |          0.3784744  |      20g |           |      |       0.00           -    [3275.8937]        |                  1s - 4p                    |    2S  - 2P*     |  1/2 - 1/2  |  2 - 2  |    |                 |                      |
S XV      |                     |          0.38828    |      10g | 4.70e+11  | C+   |       0.00           -    [3193.1634]        |                 1s2 - 1s.10p                |    1S  - 1P*     |    0 - 1    |  1 - 3  |    |           T5072 |                      |
          |                     |                     |          |           |      |                                              |                                             |                  |             |         |    |                 |                      |
S XV      |                     |          0.38916    |      15g | 6.45e+11  | C+   |       0.00           -    [3185.9827]        |                 1s2 - 1s.9p                 |    1S  - 1P*     |    0 - 1    |  1 - 3  |    |           T5072 |                      |
S XV      |                     |          0.39039    |      20g | 9.21e+11  | C+   |       0.00           -    [3175.9441]        |                 1s2 - 1s.8p                 |    1S  - 1P*     |    0 - 1    |  1 - 3  |    |           T5072 |                      |
S XV      |                     |          0.39219    |      25g | 1.38e+12  | C+   |       0.00           -    [3161.3026]        |                 1s2 - 1s.7p                 |    1S  - 1P*     |    0 - 1    |  1 - 3  |    |           T5072 |                      |
S XV      |          0.39493    |          0.39501    |      35g | 2.19e+12  | C+   |       0.00           -    [3138.7457]        |                 1s2 - 1s.6p                 |    1S  - 1P*     |    0 - 1    |  1 - 3  |    |           T5072 |             L2560c7  |
S XVI     |                     |          0.3990802  |     130g |           |      |       0.00           -    [3106.7487]        |                  1s - 3p                    |    2S  - 2P*     |  1/2 - 3/2  |  2 - 4  |    |                 |                      |
          |                     |                     |          |           |      |                                              |                                             |                  |             |         |    |                 |                      |
S XVI     |                     |          0.3991944  |      70g |           |      |       0.00           -    [3105.8596]        |                  1s - 3p                    |    2S  - 2P*     |  1/2 - 1/2  |  2 - 2  |    |                 |                      |
S XV      |          0.39983    |          0.39978    |      50g | 3.82e+12  | C+   |       0.00           -    [3101.3414]        |                 1s2 - 1s.5p                 |    1S  - 1P*     |    0 - 1    |  1 - 3  |    |           T5072 |             L2560c7  |
S XV      |                     |          0.39988    |       2g |           |      |       0.00           -    [3100.5716]        |                 1s2 - 1s.5p                 |    1S  - 3P*     |    0 - 1    |  1 - 3  |    |                 |                      |
S XV      |          0.40892    |          0.40885    |     100g | 7.53e+12  | C+   |       0.00           -    [3032.5097]        |                 1s2 - 1s.4p                 |    1S  - 1P*     |    0 - 1    |  1 - 3  |    |           T5072 |             L2560c7  |
S XV      |                     |          0.40906    |       5g |           |      |       0.00           -    [3030.9882]        |                 1s2 - 1s.4p                 |    1S  - 3P*     |    0 - 1    |  1 - 3  |    |                 |                      |
          |                     |                     |          |           |      |                                              |                                             |                  |             |         |    |                 |                      |
S XV      |          0.42999    |          0.42991    |     400g | 2.03e+13  | A    |       0.00           -    [2883.9238]        |                 1s2 - 1s.3p                 |    1S  - 1P*     |    0 - 1    |  1 - 3  |    |           T7549 |     L2560c7,L4110c7  |
S XV      |                     |          0.4299745+ |          | 7.80e+09  | B+   |       0.00           -    [2883.5245]        |                 1s2 - 1s.3d                 |    1S  - 1D      |    0 - 2    |  1 - 5  | E2 |           T7549 |                      |
S XV      |                     |          0.4300216+ |          | 1.90e+09  | B+   |       0.00           -    [2883.2083]        |                 1s2 - 1s.3d                 |    1S  - 3D      |    0 - 2    |  1 - 5  | E2 |           T7549 |                      |
S XV      |          0.43055    |          0.43047    |      20g | 1.85e+11  | B    |       0.00           -    [2880.2211]        |                 1s2 - 1s.3p                 |    1S  - 3P*     |    0 - 1    |  1 - 3  |    |           T7549 |             L4110c7  |
S XIV     |                     |          0.43570    |     14g* |           |      |       0.00           -    [2845.636]         |              1s2.2s - 1s.2s.(1S).3p         |    2S  - 2P*     |  1/2 - 3/2  |  2 - 4  |    |                 |             L4466c7  |
          |                     |                     |          |           |      |                                              |                                             |                  |             |         |    |                 |                      |
