NIST Atomic Spectra Database Lines Data
Ar : 5397 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 35000 

Query NIST Bibliographic Databases for 
Ar (new window) 
Ar Energy Levels  
Ar Line Wavelengths and Classification  
Ar Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |      Rel. |    Aki    | Acc. |                Ei           Ek                |                Configurations                  |        Terms       |   Ji   Jk   | gi   gk |Type|                  TP  |           Line  |
          |          Wavelength |          Wavelength |      Int. |    s^-1   |      |               (eV)         (eV)               |                                                |                    |             |         |    |                 Ref. |           Ref.  |
          |           Vac (nm)  |           Vac (nm)  |      (?)  |           |      |                                               |                                                |                    |             |         |    |                      |                 |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVIII  |                     |         0.29174932  |           |           |      |       0.000           -    (4249.682274)      |                    1s - 5p                     |      2S  - 2P*     |  1/2 - 3/2  |  2 - 4  |    |                      |                 |
Ar XVIII  |                     |         0.29177047  |           |           |      |       0.000           -    (4249.37421)       |                    1s - 5p                     |      2S  - 2P*     |  1/2 - 1/2  |  2 - 2  |    |                      |                 |
Ar XVIII  |                     |         0.29873263  |           |           |      |       0.000           -    (4150.33976)       |                    1s - 4p                     |      2S  - 2P*     |  1/2 - 3/2  |  2 - 4  |    |                      |                 |
Ar XVIII  |                     |         0.29877596  |           |           |      |       0.000           -    (4149.73784)       |                    1s - 4p                     |      2S  - 2P*     |  1/2 - 1/2  |  2 - 2  |    |                      |                 |
Ar XVII   |         0.3137      |         0.3128269   |         0 |           |      |       0.000           -    (3963.3481)        |                   1s2 - 1s.5p                  |      1S  - 1P*     |    0 - 1    |  1 - 3  |    |                      |          L1845  |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVIII  |                     |         0.31502286  |           |           |      |       0.000           -    (3935.72048)       |                    1s - 3p                     |      2S  - 2P*     |  1/2 - 3/2  |  2 - 4  |    |                      |                 |
Ar XVIII  |                     |         0.31513714  |           |           |      |       0.000           -    (3934.29314)       |                    1s - 3p                     |      2S  - 2P*     |  1/2 - 1/2  |  2 - 2  |    |                      |                 |
Ar XVII   |         0.3198      |         0.3199687   |        13 |           |      |       0.000           -    (3874.8853)        |                   1s2 - 1s.4p                  |      1S  - 1P*     |    0 - 1    |  1 - 3  |    |                      |          L1845  |
Ar XVII   |         0.3362      |         0.3365617   |        19 |           |      |       0.000           -    (3683.8475)        |                   1s2 - 1s.3p                  |      1S  - 1P*     |    0 - 1    |  1 - 3  |    |                      |          L1845  |
Ar XVII   |                     |         0.3368909   |           |           |      |       0.000           -    (3680.2479)        |                   1s2 - 1s.3p                  |      1S  - 3P*     |    0 - 2    |  1 - 5  | M2 |                      |                 |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVII   |                     |         0.3369659   |           |           |      |       0.000           -    (3679.4280)        |                   1s2 - 1s.3p                  |      1S  - 3P*     |    0 - 1    |  1 - 3  |    |                      |                 |
Ar XVII   |                     |         0.3374574   |           |           |      |       0.000           -    (3674.0689)        |                   1s2 - 1s.3s                  |      1S  - 3S      |    0 - 1    |  1 - 3  | M1 |                      |                 |
Ar XVI    |                     |         0.34059     |           |           |      |       0.000           -     3640.275          |                1s2.2s - 1s.2s.(1S).3p          |      2S  - 2P*     |  1/2 - 1/2  |  2 - 2  |    |                      |                 |
Ar XVI    |                     |         0.34059     |           |           |      |       0.000           -     3640.275          |                1s2.2s - 1s.2s.(1S).3p          |      2S  - 2P*     |  1/2 - 3/2  |  2 - 4  |    |                      |                 |
Ar XVI    |                     |         0.34155     |           |           |      |      31.8672          -     3661.910          |                1s2.2p - 1s.2p.(1P*).3p         |      2P* - 2P      |  1/2 - 3/2  |  2 - 4  |    |                      |                 |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVI    |                     |         0.34166     |           |           |      |      31.8672          -     3660.794          |                1s2.2p - 1s.2p.(1P*).3p         |      2P* - 2D      |  1/2 - 3/2  |  2 - 4  |    |                      |                 |
Ar XVI    |                     |         0.34185     |           |           |      |      35.0383          -     3661.910          |                1s2.2p - 1s.2p.(1P*).3p         |      2P* - 2P      |  3/2 - 3/2  |  4 - 4  |    |                      |                 |
Ar XVI    |                     |         0.34194     |           |           |      |      35.0383          -     3660.943          |                1s2.2p - 1s.2p.(1P*).3p         |      2P* - 2D      |  3/2 - 5/2  |  4 - 6  |    |                      |                 |
Ar XVI    |                     |         0.34195     |           |           |      |      35.0383          -     3660.794          |                1s2.2p - 1s.2p.(1P*).3p         |      2P* - 2D      |  3/2 - 3/2  |  4 - 4  |    |                      |                 |
Ar XVI    |                     |         0.34222     |           |           |      |      31.8672          -     3654.856          |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 2S      |  1/2 - 1/2  |  2 - 2  |    |                      |                 |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVI    |                     |         0.34231     |           |           |      |       0.000           -     3621.987          |                1s2.2s - 1s.2s.(3S).3p          |      2S  - 2P*     |  1/2 - 1/2  |  2 - 2  |    |                      |                 |
