NIST Atomic Spectra Database Lines Data
K : 1978 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 8000 

Query NIST Bibliographic Databases for 
K (new window) 
K Energy Levels  
K Line Wavelengths and Classification  
K Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |               Ritz    |  Rel. |    Aki    | Acc. |                  Ei           Ek                  |                Configurations                 |        Terms          |  Ji   Jk          | gi   gk |   Type|            TP  |         Line  |
          |            Wavelength |            Wavelength |  Int. |    s^-1   |      |                 (eV)         (eV)                 |                                               |                       |                   |         |       |           Ref. |         Ref.  |
          |             Vac (nm)  |             Vac (nm)  |  (?)  |           |      |                                                   |                                               |                       |                   |         |       |                |               |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |                       |       |           |      |                                                   |                                               |                       |                   |         |       |                |               |
K XIX     |                       |           0.25650678  |       | 1.60e+12  | AA   |       0.000             -    (4833.56391)         |                    1s - 7p                    |      2S  - 2P*        | 1/2 - 1/2         |  2 - 2  |       |          T7771 |               |
K XIX     |                       |           0.25844957  |       | 2.55e+12  | AA   |       0.000             -    (4797.22957)         |                    1s - 6p                    |      2S  - 2P*        | 1/2 - 1/2         |  2 - 2  |       |          T7771 |               |
K XIX     |                       |           0.26171799  |       | 4.47e+12  | AA   |       0.000             -    (4737.32009)         |                    1s - 5p                    |      2S  - 2P*        | 1/2 - 3/2         |  2 - 4  |       |          T7771 |               |
K XIX     |                       |           0.26173914  |       | 4.45e+12  | AA   |       0.000             -    (4736.93719)         |                    1s - 5p                    |      2S  - 2P*        | 1/2 - 1/2         |  2 - 2  |       |          T7771 |               |
K XIX     |                       |           0.26798049  |       | 8.88e+12  | AA   |       0.000             -    (4626.61273)         |                    1s - 4p                    |      2S  - 2P*        | 1/2 - 3/2         |  2 - 4  |       |          T7771 |               |
          |                       |                       |       |           |      |                                                   |                                               |                       |                   |         |       |                |               |
K XIX     |                       |           0.26802382  |       | 8.83e+12  | AA   |       0.000             -    (4625.86457)         |                    1s - 4p                    |      2S  - 2P*        | 1/2 - 1/2         |  2 - 2  |       |          T7771 |               |
K XIX     |                       |           0.28258877  |       | 2.18e+13  | AA   |       0.000             -    (4387.44214)         |                    1s - 3p                    |      2S  - 2P*        | 1/2 - 3/2         |  2 - 4  |       |          T7771 |               |
K XIX     |                       |           0.28270309  |       | 2.17e+13  | AA   |       0.000             -    (4385.6680)          |                    1s - 3p                    |      2S  - 2P*        | 1/2 - 1/2         |  2 - 2  |       |          T7771 |               |
K XVIII   |           0.300860    |           0.30087     |       | 3.72e+13  |      |       0.00              -    (4120.825)           |                   1s2 - 1s.3p                 |      1S  - 1P*        |   0 - 1           |  1 - 3  |       |          T6456 |        L6540  |
K XVIII   |           0.30112     |           0.30123     |       | 9.10e+11  |      |       0.00              -    (4115.9725)          |                   1s2 - 1s.3p                 |      1S  - 3P*        |   0 - 1           |  1 - 3  |       |          T6456 |      L4466c7  |
          |                       |                       |       |           |      |                                                   |                                               |                       |                   |         |       |                |               |
K XVII    |           0.30431     |           0.30431     |   13p |           |      |       0.00              -     4074.24             |                1s2.2s - 1s.2s.(1S).3p         |      2S  - 2P*        | 1/2 - 1/2,3/2     |  2 - 6  |       |                |      L4466c7  |
K XVII    |           0.30608     |           0.30608     |     * | 1.25e+13  |      |      33.910             -     4084.66             |                1s2.2p - 1s.2p.(3P*).3p        |      2P* - 2D         | 1/2 - 3/2         |  2 - 4  |       |          T5076 |       L10003  |
K XVII    |           0.30608     |           0.30608     |     * | 1.05e+13  |      |      33.910             -     4084.66             |                1s2.2p - 1s.2s.(1S).3d         |      2P* - 2D         | 1/2 - 3/2         |  2 - 4  |       |          T5076 |       L10003  |
K XVII    |           0.30608     |           0.30608     |     * | 3.12e+13  |      |      37.9416            -     4088.63             |                1s2.2p - 1s.2p.(3P*).3p        |      2P* - 2D         | 3/2 - 5/2         |  4 - 6  |       |          T5076 |       L10003  |
K XVII    |           0.30672     |           0.30657     |    9* |           |      |      33.910             -     4078.09             |                1s2.2p - 1s.2p.(3P*).3p        |      2P* - 2P         | 1/2 - 1/2,3/2     |  2 - 6  |       |                |      L4466c7  |
          |                       |                       |       |           |      |                                                   |                                               |                       |                   |         |       |                |               |
K XVII    |           0.30672     |           0.30688     |    9* |           |      |      37.9416            -     4078.09             |                1s2.2p - 1s.2p.(3P*).3p        |      2P* - 2P         | 3/2 - 1/2,3/2     |  4 - 6  |       |                |      L4466c7  |
K XVII    |           0.30742     |           0.30727     |    9* |           |      |      33.910             -     4068.91             |                1s2.2p - 1s.2s.(3S).3d         |      2P* - 2D         | 1/2 - 3/2,5/2     |  2 - 10 |       |                |      L4466c7  |
K XVII    |           0.30742     |           0.30758     |    9* |           |      |      37.9416            -     4068.91             |                1s2.2p - 1s.2s.(3S).3d         |      2P* - 2D         | 3/2 - 3/2,5/2     |  4 - 10 |       |                |      L4466c7  |
K XIX     |                       |           0.33466905  |       | 8.13e+13  | AA   |       0.000             -    (3704.6805)          |                    1s - 2p                    |      2S  - 2P*        | 1/2 - 3/2         |  2 - 4  |       |          T7771 |               |
