NIST Atomic Spectra Database Lines Data
He : 2440 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 21]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 2000 

Query NIST Bibliographic Databases for 
He (new window) 
He Energy Levels  
He Line Wavelengths and Classification  
He Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |               Ritz    |  Rel. |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |    Ji   Jk    | gi   gk |Type|      TP  |       Line  |
          |            Wavelength |            Wavelength |  Int. |     s^-1   |      |                 (eV)         (eV)                 |                 |            |               |         |    |     Ref. |       Ref.  |
          |             Vac (nm)  |             Vac (nm)  |  (?)  |            |      |                                                   |                 |            |               |         |    |          |             |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |                       |       |            |      |                                                   |                 |            |               |         |    |          |             |
He II     |                       |         23.434716061  |       |  3.1581e+08| AA   |     0.0000000           -    (52.9062055749)      |     1s - 6p     |  2S  - 2P* |   1/2 - 3/2   |  2 - 4  |    |    T8637 |             |
He II     |                       |         23.434727975  |       |  3.1581e+08| AA   |     0.0000000           -    (52.9061786790)      |     1s - 6p     |  2S  - 2P* |   1/2 - 1/2   |  2 - 2  |    |    T8637 |             |
He II     |                       |         23.733066411  |       |  5.5028e+08| AA   |     0.0000000           -    (52.24111726846)     |     1s - 5p     |  2S  - 2P* |   1/2 - 3/2   |  2 - 4  |    |    T8637 |             |
He II     |                       |         23.733087525  |       |  5.5028e+08| AA   |     0.0000000           -    (52.24107079225)     |     1s - 5p     |  2S  - 2P* |   1/2 - 1/2   |  2 - 2  |    |    T8637 |             |
He II     |                       |         24.302644454  |       |  1.0915e+09| AA   |     0.0000000           -    (51.01674872773)     |     1s - 4p     |  2S  - 2P* |   1/2 - 3/2   |  2 - 4  |    |    T8637 |             |
          |                       |                       |       |            |      |                                                   |                 |            |               |         |    |          |             |
He II     |                       |         24.302687696  |       |  1.0915e+09| AA   |     0.0000000           -    (51.01665795346)     |     1s - 4p     |  2S  - 2P* |   1/2 - 1/2   |  2 - 2  |    |    T8637 |             |
He II     |                       |         25.631656279  |       |  2.6774e+09| AA   |     0.0000000           -    (48.37150951279)     |     1s - 3p     |  2S  - 2P* |   1/2 - 3/2   |  2 - 4  |    |    T8637 |             |
He II     |                       |         25.631770296  |       |  2.6774e+09| AA   |     0.0000000           -    (48.3712943431)      |     1s - 3p     |  2S  - 2P* |   1/2 - 1/2   |  2 - 2  |    |    T8637 |             |
He II     |                       |         30.378040982  |       |  1.0029e+10| AA   |     0.0000000           -    (40.8137544573)      |     1s - 2p     |  2S  - 2P* |   1/2 - 3/2   |  2 - 4  |    |    T8637 |             |
He II     |                       |         30.378581505  |       |  1.0029e+10| AA   |     0.0000000           -    (40.8130282623)      |     1s - 2p     |  2S  - 2P* |   1/2 - 1/2   |  2 - 2  |    |    T8637 |             |
          |                       |                       |       |            |      |                                                   |                 |            |               |         |    |          |             |
He I      |         32.02926      |         32.02926      |   10* |            |      |   [20.96421783567]      -     59.67378            |  1s.2p - 2p2    |  3P* - 3P  |     0 - 0,1,2 |  1 - 9  |    |          |      L1341  |
He I      |         32.02926      |         32.02926      |   10* |            |      |   [20.96409534981]      -     59.67378            |  1s.2p - 2p2    |  3P* - 3P  |     1 - 0,1,2 |  3 - 9  |    |          |      L1341  |
He I      |         32.02926      |         32.02926      |   10* |            |      |   [20.96408587426]      -     59.67378            |  1s.2p - 2p2    |  3P* - 3P  |     2 - 0,1,2 |  5 - 9  |    |          |      L1341  |
He I      |         50.561        |         50.55004+     |     2 |            |      |     0.0000000           -    [24.527022]          |    1s2 - 1s.15p |  1S  - 1P* |     0 - 1     |  1 - 3  |    |          |     L14923  |
He I      |         50.575        |         50.56843+     |     3 |            |      |     0.0000000           -    [24.518099]          |    1s2 - 1s.14p |  1S  - 1P* |     0 - 1     |  1 - 3  |    |          |     L14923  |
          |                       |                       |       |            |      |                                                   |                 |            |               |         |    |          |             |
He I      |         50.590        |         50.59125+     |     4 |            |      |     0.0000000           -    [24.507041]          |    1s2 - 1s.13p |  1S  - 1P* |     0 - 1     |  1 - 3  |    |          |     L14923  |
He I      |         50.631        |         50.62003+     |     5 |            |      |     0.0000000           -    [24.493107]          |    1s2 - 1s.12p |  1S  - 1P* |     0 - 1     |  1 - 3  |    |          |     L14923  |
He I      |         50.656        |         50.65705+     |     7 |            |      |     0.0000000           -    [24.475207]          |    1s2 - 1s.11p |  1S  - 1P* |     0 - 1     |  1 - 3  |    |          |     L14922  |
He I      |         50.708        |         50.7058021    |    10 |  1.5929e+07| AAA  |     0.0000000           -    [24.45167722834]     |    1s2 - 1s.10p |  1S  - 1P* |     0 - 1     |  1 - 3  |    | T8636c73 |     L14922  |
He I      |         50.771        |         50.7718095    |    15 |  2.1826e+07| AAA  |     0.0000000           -    [24.41988808530]     |    1s2 - 1s.9p  |  1S  - 1P* |     0 - 1     |  1 - 3  |    | T8636c73 |     L14922  |
          |                       |                       |       |            |      |                                                   |                 |            |               |         |    |          |             |
He I      |         50.863        |         50.8643376    |    20 |  3.1031e+07| AAA  |     0.0000000           -    [24.37546547115]     |    1s2 - 1s.8p  |  1S  - 1P* |     0 - 1     |  1 - 3  |    | T8636c73 |     L14922  |
