NIST Atomic Spectra Database Lines Data
Ca : 726 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 750 

Query NIST Bibliographic Databases for 
Ca (new window) 
Ca Energy Levels  
Ca Line Wavelengths and Classification  
Ca Transition Probabilities  

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |  Rel. |    Aki    | Acc. |             Ei           Ek              |    Configurations      |    Terms     |  Ji   Jk  | gi   gk |Type|             TP  |   Line  |
          |        Wavelength |        Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)             |                        |              |           |         |    |            Ref. |   Ref.  |
          |         Vac (nm)  |         Vac (nm)  |  (?)  |           |      |                                          |                        |              |           |         |    |                 |         |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |       |           |      |                                          |                        |              |           |         |    |                 |         |
Ca XI     |                   |           3.0448  |       | 6.2e+11   | D    |     0.00           -     407.201         |   2s2.2p6 - 2s2.2p5.3d |  1S  - 1P*   |   0 - 1   |  1 - 3  |    |           T1210 |         |
Ca XI     |                   |           3.0867  |       | 4.9e+12   | D    |     0.00           -     401.672         |   2s2.2p6 - 2s2.2p5.3d |  1S  - 3D*   |   0 - 1   |  1 - 3  |    |           T1210 |         |
Ca XI     |                   |           3.1257  |       | 1.70e+10  | E    |     0.00           -     396.663         |   2s2.2p6 - 2s2.2p5.3d |  1S  - 3P*   |   0 - 1   |  1 - 3  |    |           T1210 |         |
Ca XI     |                   |           3.5213  |       | 2.0e+11   | D    |     0.00           -     352.103         |   2s2.2p6 - 2s2.2p5.3s |  1S  - 1P*   |   0 - 1   |  1 - 3  |    |           T1210 |         |
Ca XI     |                   |           3.5576  |       | 1.200e+11 | E    |     0.00           -     348.507         |   2s2.2p6 - 2s2.2p5.3s |  1S  - 3P*   |   0 - 1   |  1 - 3  |    |           T1210 |         |
          |                   |                   |       |           |      |                                          |                        |              |           |         |    |                 |         |
Ca IX     |                   |          10.0206  |       | 2.40e+10  | D    |    18.3387+x       -     142.0678+x      |     3s.3p - 3s.5d      |  3P* - 3D    |   2 - 3   |  5 - 7  |    |         T1261LS |         |
Ca X      |                   |          11.0963  |       | 2.9e+10   | C    |     0.00           -     111.73          |    2p6.3s - 2p6.4p     |  2S  - 2P*   | 1/2 - 3/2 |  2 - 4  |    |           T8043 |         |
Ca X      |                   |          11.1199  |       | 2.92e+10  | C    |     0.00           -     111.498         |    2p6.3s - 2p6.4p     |  2S  - 2P*   | 1/2 - 1/2 |  2 - 2  |    |           T8043 |         |
Ca X      |                   |          11.8123  |       | 5.40e+10  | C    |    51.7153         -     156.6776        |    2p6.3d - 2p6.5f     |  2D  - 2F*   | 3/2 - 5/2 |  4 - 6  |    |     T1619interp |         |
Ca X      |                   |          11.8176  |       | 5.80e+10  | C    |    51.7661         -     156.6813        |    2p6.3d - 2p6.5f     |  2D  - 2F*   | 5/2 - 7/2 |  6 - 8  |    |     T1619interp |         |
          |                   |                   |       |           |      |                                          |                        |              |           |         |    |                 |         |
Ca X      |                   |          11.8180  |       | 4.0e+09   | C    |    51.7661         -     156.6776        |    2p6.3d - 2p6.5f     |  2D  - 2F*   | 5/2 - 5/2 |  6 - 6  |    |     T1619interp |         |
Ca IX     |                   |          12.9195  |       | 2.90e+10  | D    |    17.7516+x       -     113.72+x        |     3s.3p - 3s.4d      |  3P* - 3D    |   0 - 1   |  1 - 3  |    |         T1261LS |         |
Ca IX     |                   |          12.9427  |       | 3.90e+10  | D    |    17.9374+x       -     113.732+x       |     3s.3p - 3s.4d      |  3P* - 3D    |   1 - 2   |  3 - 5  |    |         T1261LS |         |
Ca IX     |                   |          12.9446  |       | 2.20e+10  | D    |    17.9374+x       -     113.72+x        |     3s.3p - 3s.4d      |  3P* - 3D    |   1 - 1   |  3 - 3  |    |         T1261LS |         |
Ca IX     |                   |          12.9935  |       | 5.10e+10  | D    |    18.3387+x       -     113.759+x       |     3s.3p - 3s.4d      |  3P* - 3D    |   2 - 3   |  5 - 7  |    |         T1261LS |         |
          |                   |                   |       |           |      |                                          |                        |              |           |         |    |                 |         |
Ca IX     |                   |          12.9971  |       | 1.30e+10  | D    |    18.3387+x       -     113.732+x       |     3s.3p - 3s.4d      |  3P* - 3D    |   2 - 2   |  5 - 5  |    |         T1261LS |         |
Ca IX     |                   |          12.9990  |       | 1.4e+09   | E    |    18.3387+x       -     113.72+x        |     3s.3p - 3s.4d      |  3P* - 3D    |   2 - 1   |  5 - 3  |    |         T1261LS |         |
Ca X      |                   |          15.1843  |       | 2.3e+10   | C    |    21.5997         -     103.253         |    2p6.3p - 2p6.4s     |  2P* - 2S    | 1/2 - 1/2 |  2 - 2  |    |           T8043 |         |
Ca X      |                   |          15.3021  |       | 4.5e+10   | C    |    22.2288         -     103.253         |    2p6.3p - 2p6.4s     |  2P* - 2S    | 3/2 - 1/2 |  4 - 2  |    |           T8043 |         |
Ca IX     |                   |          16.1980  |       | 7.7e+09   | C    |    17.7516+x       -      94.2947+x      |     3s.3p - 3s.4s      |  3P* - 3S    |   0 - 1   |  1 - 3  |    |         T1261LS |         |
          |                   |                   |       |           |      |                                          |                        |              |           |         |    |                 |         |
