NIST Atomic Spectra Database Lines Data
Sc : 5088 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 6000 

Query NIST Bibliographic Databases for 
Sc (new window) 
Sc Energy Levels  
Sc Line Wavelengths and Classification  
Sc Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |     Rel. |    Aki    | Acc. |              Ei           Ek              |                Configurations                 |           Terms          |   Ji   Jk   | gi   gk |Type|         TP  |      Line  |
          |        Wavelength |        Wavelength |     Int. |    s^-1   |      |             (eV)         (eV)             |                                               |                          |             |         |    |        Ref. |      Ref.  |
          |         Vac (nm)  |         Vac (nm)  |     (?)  |           |      |                                           |                                               |                          |             |         |    |             |            |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |          |           |      |                                           |                                               |                          |             |         |    |             |            |
Sc XXI    |                   |          0.21401  |        g |           |      |       0.00          -     5793.3581       |                    1s - 5p                    |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             |     L3620  |
Sc XXI    |                   |          0.21403  |        g |           |      |       0.00          -     5792.7851       |                    1s - 5p                    |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |             |     L3620  |
Sc XXI    |                   |          0.21913  |        g |           |      |       0.00          -     5658.0635       |                    1s - 4p                    |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             |     L3620  |
Sc XXI    |                   |          0.21917  |        g |           |      |       0.00          -     5656.9441       |                    1s - 4p                    |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |             |     L3620  |
Sc XX     |                   |          0.22721  |          | 1.09e+13  | C+   |       0.00          -    [5456.9174]      |                   1s2 - 1s.5p                 |         1S  - 1P*        |    0 - 1    |  1 - 3  |    | T5297interp |  L6495c13  |
          |                   |                   |          |           |      |                                           |                                               |                          |             |         |    |             |            |
Sc XX     |                   |          0.22726  |          | 5.200e+11 | E    |       0.00          -    [5455.7098]      |                   1s2 - 1s.5p                 |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5297interp |  L6495c13  |
Sc XXI    |                   |          0.23106  |        g |           |      |       0.00          -     5365.7785       |                    1s - 3p                    |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             |     L3620  |
Sc XXI    |                   |          0.23118  |        g |           |      |       0.00          -     5363.1235       |                    1s - 3p                    |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |             |     L3620  |
Sc XX     |                   |          0.23243  |          | 2.17e+13  | C+   |       0.00          -    [5334.3429]      |                   1s2 - 1s.4p                 |         1S  - 1P*        |    0 - 1    |  1 - 3  |    | T5297interp |  L6495c13  |
Sc XX     |                   |          0.23253  |          | 1.0e+12   | E    |       0.00          -    [5331.9624]      |                   1s2 - 1s.4p                 |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5297interp |  L6495c13  |
          |                   |                   |          |           |      |                                           |                                               |                          |             |         |    |             |            |
Sc XX     |                   |          0.24456  |          | 5.32e+13  | C+   |       0.00          -    [5069.6751]      |                   1s2 - 1s.3p                 |         1S  - 1P*        |    0 - 1    |  1 - 3  |    | T5297interp |  L6495c13  |
Sc XX     |                   |          0.24484  |          | 2.4e+12   | E    |       0.00          -    [5063.899]       |                   1s2 - 1s.3p                 |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5297interp |  L6495c13  |
Sc XXI    |                   |          0.27360  |        g |           |      |       0.00          -     4531.5483       |                    1s - 2p                    |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             |     L6087  |
Sc XXI    |                   |          0.27414  |        g |           |      |       0.00          -     4522.5912       |                    1s - 2p                    |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |             |     L6087  |
Sc XX     |                   |          0.28732  |          | 2.00e+14  | B    |       0.00          -    [4315.27]        |                   1s2 - 1s.2p                 |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |       T3585 |  L6495c13  |
          |                   |                   |          |           |      |                                           |                                               |                          |             |         |    |             |            |
Sc XIX    |                   |          0.28827  |          |           |      |      44.312         -     4345.27         |                1s2.2p - 1s.2p2                |         2P* - 2S         |  3/2 - 1/2  |  4 - 2  |    |             |     L4776  |
Sc XX     |                   |          0.28833  |          | 1.14e+09  | B    |       0.00          -    [4300.1201]      |                   1s2 - 1s.2p                 |         1S  - 3P*        |    0 - 2    |  1 - 5  | M2 | T5297interp |  L6495c13  |
Sc XIX    |          0.28848  |          0.28848  |    g,bl* |           |      |       0.00          -     4297.79         |                1s2.2s - 1s.(2S).2s.2p.(1P*)   |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |             |     L4776  |
Sc XIX    |                   |          0.28848  |          | 2.0e+14   | D    |       0.00          -     4297.79         |                1s2.2s - 1s.(2S).2s.2p.(1P*)   |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |       T3506 |            |
Sc XX     |                   |          0.28870  |          | 7.42e+12  | B    |       0.00          -    [4294.6326]      |                   1s2 - 1s.2p                 |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |       T3585 |  L6495c13  |
          |                   |                   |          |           |      |                                           |                                               |                          |             |         |    |             |            |
