NIST Atomic Spectra Database Lines Data
Ti : 4289 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 12000 

Query NIST Bibliographic Databases for 
Ti (new window) 
Ti Energy Levels  
Ti Line Wavelengths and Classification  
Ti Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |            Ritz    |   Rel. |    Aki    | Acc. |               Ei           Ek               |                        Configurations                        |           Terms          |   Ji   Jk   | gi   gk |Type|          TP  |          Line  |
          |         Wavelength |         Wavelength |   Int. |    s^-1   |      |              (eV)         (eV)              |                                                              |                          |             |         |    |         Ref. |          Ref.  |
          |          Vac (nm)  |          Vac (nm)  |   (?)  |           |      |                                             |                                                              |                          |             |         |    |              |                |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
Ti XXII   |                    |         0.1948846  |        | 8.21e+12  | A    |       0.00           -    [6361.9276]       |                            1s - 5p                           |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |  T7228extrap |        L11926  |
Ti XXII   |                    |         0.1995429  |        | 1.63e+13  | A    |       0.00           -    [6213.4094]       |                            1s - 4p                           |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |  T7228extrap |        L11926  |
Ti XXI    |         0.2015     |         0.201*     |        |           |      |       0.00           -     6153.3           |                           1s2 - 1s.8p                        |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |              |        L11926  |
Ti XXI    |         0.2015     |         0.201*     |        |           |      |       0.00           -     6153.3           |                           1s2 - 1s.8p                        |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |              |        L11926  |
Ti XXI    |         0.2026     |         0.203*     |        |           |      |       0.00           -     6119.9           |                           1s2 - 1s.7p                        |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |              |        L11926  |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
Ti XXI    |         0.2026     |         0.203*     |        |           |      |       0.00           -     6119.9           |                           1s2 - 1s.7p                        |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |              |        L11926  |
Ti XXI    |         0.2041     |         0.2*       |        |           |      |       0.00           -     6080             |                           1s2 - 1s.6p                        |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |              |        L11926  |
Ti XXI    |         0.2041     |         0.2*       |        |           |      |       0.00           -     6080             |                           1s2 - 1s.6p                        |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |              |        L11926  |
Ti XXI    |                    |         0.20634    |        | 1.32e+13  | C+   |       0.00           -    [6008.733]        |                           1s2 - 1s.5p                        |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |  T5297interp |                |
Ti XXI    |                    |         0.20639    |        | 8.4e+11   | E    |       0.00           -    [6007.369]        |                           1s2 - 1s.5p                        |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |  T5297interp |                |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
Ti XXII   |                    |         0.2104080  |        | 4.00e+13  | A    |       0.00           -    [5892.559]        |                            1s - 3p                           |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |  T7228extrap |        L11926  |
Ti XX     |         0.2105     |         0.211*     |        |           |      |      47.8165         -     5937.6           |                        1s2.2p - 1s.2p.5p                     |         2P* - 2D         |  3/2 - 5/2  |  4 - 6  |    |              |        L11926  |
Ti XXII   |                    |         0.2105225  |        | 3.99e+13  | A    |       0.00           -    [5889.3557]       |                            1s - 3p                           |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |  T7228extrap |        L11926  |
Ti XXI    |                    |         0.21109    |        | 2.60e+13  | C+   |       0.00           -    [5873.565]        |                           1s2 - 1s.4p                        |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |  T5297interp |                |
Ti XXI    |                    |         0.21119    |        | 1.5e+12   | E    |       0.00           -    [5870.887]        |                           1s2 - 1s.4p                        |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |  T5297interp |                |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
Ti XXI    |                    |         0.21129    |        | 6.76e+06  | C    |       0.00           -    [5867.986]        |                           1s2 - 1s.4s                        |         1S  - 3S         |    0 - 1    |  1 - 3  | M1 |        T2837 |                |
Ti XX     |         0.2151     |         0.215*     |        |           |      |      47.8165         -     5812.4           |                        1s2.2p - 1s.2p.4p                     |         2P* - 2D         |  3/2 - 5/2  |  4 - 6  |    |              |        L11926  |
Ti XXI    |                    |         0.22213    |        | 6.35e+13  | C+   |       0.00           -    [5581.6034]       |                           1s2 - 1s.3p                        |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |  T5297interp |                |
Ti XXI    |                    |         0.22238    |        | 3.8e+12   | E    |       0.00           -    [5575.2752]       |                           1s2 - 1s.3p                        |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |  T5297interp |                |
Ti XXI    |                    |         0.22266    |        | 1.50e+07  | C    |       0.00           -    [5568.3668]       |                           1s2 - 1s.3s                        |         1S  - 3S         |    0 - 1    |  1 - 3  | M1 |        T2837 |                |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
