NIST Atomic Spectra Database Lines Data
V : 3188 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 12000 

Query NIST Bibliographic Databases for 
V (new window) 
V Energy Levels  
V Line Wavelengths and Classification  
V Transition Probabilities  

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |  Rel. |    Aki    | Acc. |              Ei           Ek              |                Configurations                  |           Terms          |   Ji   Jk   | gi   gk |Type|         TP  |          Line  |
          |        Wavelength |        Wavelength |  Int. |    s^-1   |      |             (eV)         (eV)             |                                                |                          |             |         |    |        Ref. |          Ref.  |
          |         Vac (nm)  |         Vac (nm)  |  (?)  |           |      |                                           |                                                |                          |             |         |    |             |                |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |       |           |      |                                           |                                                |                          |             |         |    |             |                |
V XXIII   |                   |        0.1781981  |       | 9.83e+12  | A    |       0.00          -    [6957.6605]      |                    1s - 5p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |        L11926  |
V XXIII   |                   |        0.1824559  |       | 1.95e+13  | A    |       0.00          -    [6795.2970]      |                    1s - 4p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |        L11926  |
V XXII    |                   |        0.18821    |       | 1.57e+13  | C+   |       0.00          -    [6587.53]        |                   1s2 - 1s.5p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    | T5297interp |                |
V XXII    |                   |        0.18825    |       | 1.2e+12   | E    |       0.00          -    [6586.028]       |                   1s2 - 1s.5p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5297interp |                |
V XXIII   |                   |        0.1923864  |       | 4.79e+13  | A    |       0.00          -    [6444.5395]      |                    1s - 3p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |        L11926  |
          |                   |                   |       |           |      |                                           |                                                |                          |             |         |    |             |                |
V XXIII   |                   |        0.1925009  |       | 4.78e+13  | A    |       0.00          -    [6440.7072]      |                    1s - 3p                     |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    | T7228extrap |        L11926  |
V XXII    |                   |        0.19255    |       | 3.11e+13  | C+   |       0.00          -    [6439.131]       |                   1s2 - 1s.4p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    | T5297interp |                |
V XXII    |                   |        0.19264    |       | 2.3e+12   | E    |       0.00          -    [6436.193]       |                   1s2 - 1s.4p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5297interp |                |
V XXII    |                   |        0.20264    |       | 7.58e+13  | C+   |       0.00          -    [6118.5876]      |                   1s2 - 1s.3p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    | T5297interp |                |
V XXII    |                   |        0.20287    |       | 5.9e+12   | E    |       0.00          -    [6111.639]       |                   1s2 - 1s.3p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5297interp |                |
          |                   |                   |       |           |      |                                           |                                                |                          |             |         |    |             |                |
V XXII    |                   |        0.22736    |       |           |      |   [5180.320]        -   [10633.6]         |                 1s.2p - 2p2                    |         3P* - 1S         |    1 - 0    |  3 - 1  |    |             |        L11926  |
V XXIII   |                   |        0.2277603  |       | 1.80e+14  | A    |       0.00          -    [5443.6263]      |                    1s - 2p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |        L11926  |
V XXII    |                   |        0.22788    |       |           |      |   [5153.8839]       -   [10594.7]         |                 1s.2s - 2s.2p                  |         3S  - 1P*        |    1 - 1    |  3 - 3  |    |             |        L11926  |
V XXIII   |                   |        0.2283024  |       | 1.79e+14  | A    |       0.00          -    [5430.6997]      |                    1s - 2p                     |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    | T7228extrap |        L11926  |
V XXII    |                   |        0.22840    |       | 2.9e+14   | C    |   [5205.1514]       -   [10633.6]         |                 1s.2p - 2p2                    |         1P* - 1S         |    1 - 0    |  3 - 1  |    |       T3506 |        L11926  |
          |                   |                   |       |           |      |                                           |                                                |                          |             |         |    |             |                |
V XXII    |                   |        0.22871    |       |           |      |   [5180.320]        -   [10601.3]         |                 1s.2p - 2p2                    |         3P* - 1D         |    1 - 2    |  3 - 5  |    |             |        L11926  |
V XXII    |                   |        0.22902    |       | 1.7e+14   | C    |   [5181.0303]       -   [10594.7]         |                 1s.2s - 2s.2p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |       T3506 |        L11926  |
V XXII    |                   |        0.22907    |       | 5.6e+13   | D    |   [5188.7322]       -   [10601.3]         |                 1s.2p - 2p2                    |         3P* - 1D         |    2 - 2    |  5 - 5  |    |       T3506 |        L11926  |
V XXII    |                   |        0.22922    |       | 1.7e+14   | C    |   [5153.8839]       -   [10562.8]         |                 1s.2s - 2s.2p                  |         3S  - 3P*        |    1 - 2    |  3 - 5  |    |       T3506 |        L11926  |
V XXII    |                   |        0.22931    |       | 1.0e+14   | C    |   [5180.320]        -   [10587.3]         |                 1s.2p - 2p2                    |         3P* - 3P         |    1 - 2    |  3 - 5  |    |       T3506 |        L11926  |
          |                   |                   |       |           |      |                                           |                                                |                          |             |         |    |             |                |
