NIST Atomic Spectra Database Lines Data
Cr : 3165 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 20000 

Query NIST Bibliographic Databases for 
Cr (new window) 
Cr Energy Levels  
Cr Line Wavelengths and Classification  
Cr Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |        Observed  |          Ritz    |    Rel. |    Aki    | Acc. |             Ei           Ek             |                Configurations                  |           Terms          |   Ji   Jk   | gi   gk |Type|                     TP  |          Line  |
          |       Wavelength |       Wavelength |    Int. |    s^-1   |      |            (eV)         (eV)            |                                                |                          |             |         |    |                    Ref. |          Ref.  |
          |        Vac (nm)  |        Vac (nm)  |    (?)  |           |      |                                         |                                                |                          |             |         |    |                         |                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                  |                  |         |           |      |                                         |                                                |                          |             |         |    |                         |                |
Cr XXIV   |                  |       0.1635535  |         | 1.17e+13  | A    |       0.00         -    [7580.6525]     |                    1s - 5p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             T7228extrap |        L11926  |
Cr XXIV   |                  |       0.1674597  |         | 2.32e+13  | A    |       0.00         -    [7403.8238]     |                    1s - 4p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             T7228extrap |        L11926  |
Cr XXIII  |                  |       0.17236    |         | 1.86e+13  | C+   |       0.00         -    [7193.488]      |                   1s2 - 1s.5p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |             T5297interp |                |
Cr XXIII  |                  |       0.17240    |         | 1.6e+12   | E    |       0.00         -    [7191.839]      |                   1s2 - 1s.5p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |             T5297interp |                |
Cr XXIII  |                  |       0.17634    |         | 3.68e+13  | C+   |       0.00         -    [7031.230]      |                   1s2 - 1s.4p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |             T5297interp |                |
          |                  |                  |         |           |      |                                         |                                                |                          |             |         |    |                         |                |
Cr XXIII  |                  |       0.17642    |         | 3.2e+12   | E    |       0.00         -    [7028.007]      |                   1s2 - 1s.4p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |             T5297interp |                |
Cr XXIV   |                  |       0.1765700  |         | 5.69e+13  | A    |       0.00         -    [7021.8149]     |                    1s - 3p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             T7228extrap |        L11926  |
Cr XXIV   |                  |       0.1766845  |         | 5.68e+13  | A    |       0.00         -    [7017.2647]     |                    1s - 3p                     |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |             T7228extrap |        L11926  |
Cr XXIII  |                  |       0.18558    |         | 8.97e+13  | C+   |       0.00         -    [6680.7716]     |                   1s2 - 1s.3p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |             T5297interp |                |
Cr XXIII  |                  |       0.18580    |         | 8.4e+12   | E    |       0.00         -    [6673.1279]     |                   1s2 - 1s.3p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |             T5297interp |                |
          |                  |                  |         |           |      |                                         |                                                |                          |             |         |    |                         |                |
Cr XXIII  |                  |       0.20864    |         |           |      |   [5654.8396]      -   [11597.4]        |                 1s.2p - 2p2                    |         3P* - 1S         |    1 - 0    |  3 - 1  |    |                         |        L11926  |
Cr XXIV   |                  |       0.2090144  |         | 2.14e+14  | A    |       0.00         -    [5931.850]      |                    1s - 2p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             T7228extrap |        L11926  |
Cr XXIII  |                  |       0.20913    |         |           |      |   [5626.9121]      -   [11555.5]        |                 1s.2s - 2s.2p                  |         3S  - 1P*        |    1 - 1    |  3 - 3  |    |                         |        L11926  |
Cr XXIV   |                  |       0.2095567  |         | 2.12e+14  | A    |       0.00         -    [5916.4995]     |                    1s - 2p                     |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |             T7228extrap |        L11926  |
Cr XXIII  |                  |       0.20960    |         | 3.5e+14   | C    |   [5682.0504]      -   [11597.4]        |                 1s.2p - 2p2                    |         1P* - 1S         |    1 - 0    |  3 - 1  |    |                   T3506 |        L11926  |
          |                  |                  |         |           |      |                                         |                                                |                          |             |         |    |                         |                |
Cr XXIII  |                  |       0.20981    |         |           |      |   [5654.8396]      -   [11564.1]        |                 1s.2p - 2p2                    |         3P* - 1D         |    1 - 2    |  3 - 5  |    |                         |        L11926  |
Cr XXIII  |                  |       0.21014    |         | 2.0e+14   | C    |   [5655.4657]      -   [11555.5]        |                 1s.2s - 2s.2p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |                   T3506 |        L11926  |
Cr XXIII  |                  |       0.21018    |         | 7.9e+13   | D    |   [5665.0633]      -   [11564.1]        |                 1s.2p - 2p2                    |         3P* - 1D         |    2 - 2    |  5 - 5  |    |                   T3506 |        L11926  |
Cr XXIII  |                  |       0.21030    |         | 2.1e+14   | C    |   [5626.9121]      -   [11522.5]        |                 1s.2s - 2s.2p                  |         3S  - 3P*        |    1 - 2    |  3 - 5  |    |                   T3506 |        L11926  |
