NIST Atomic Spectra Database Lines Data
Mn : 2758 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 27000 

Query NIST Bibliographic Databases for 
Mn (new window) 
Mn Energy Levels  
Mn Line Wavelengths and Classification  
Mn Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |  Rel. |    Aki    | Acc. |             Ei           Ek              |                Configurations                  |           Terms          |   Ji   Jk   | gi   gk |Type|         TP  |    Line  |
          |        Wavelength |        Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)             |                                                |                          |             |         |    |        Ref. |    Ref.  |
          |         Vac (nm)  |         Vac (nm)  |  (?)  |           |      |                                          |                                                |                          |             |         |    |             |          |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |       |           |      |                                          |                                                |                          |             |         |    |             |          |
Mn XXV    |                   |        0.1506305  |       | 1.38e+13  | A    |       0.00         -     [8231.0153]     |                    1s - 5p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Mn XXV    |                   |        0.1542265  |       | 2.73e+13  | A    |       0.00         -     [8039.0965]     |                    1s - 4p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Mn XXIV   |                   |        0.15841    |       | 2.18e+13  | C+   |       0.00         -     [7826.700]      |                   1s2 - 1s.5p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    | T5297interp |          |
Mn XXIV   |                   |        0.15845    |       | 2.2e+12   | E    |       0.00         -     [7824.878]      |                   1s2 - 1s.5p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5297interp |          |
Mn XXIV   |                   |        0.16207    |       | 4.32e+13  | C+   |       0.00         -     [7649.973]      |                   1s2 - 1s.4p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    | T5297interp |          |
          |                   |                   |       |           |      |                                          |                                                |                          |             |         |    |             |          |
Mn XXIV   |                   |        0.16215    |       | 4.3e+12   | E    |       0.00         -     [7646.415]      |                   1s2 - 1s.4p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5297interp |          |
Mn XXV    |                   |        0.1626130  |       | 6.71e+13  | A    |       0.00         -     [7624.4933]     |                    1s - 3p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Mn XXV    |                   |        0.1627276  |       | 6.70e+13  | A    |       0.00         -     [7619.126]      |                    1s - 3p                     |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    | T7228extrap |  L11926  |
Mn XXIV   |                   |        0.17058    |       | 1.06e+14  | C+   |       0.00         -     [7268.263]      |                   1s2 - 1s.3p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    | T5297interp |          |
Mn XXIV   |                   |        0.17078    |       | 1.1e+13   | E    |       0.00         -     [7259.832]      |                   1s2 - 1s.3p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5297interp |          |
          |                   |                   |       |           |      |                                          |                                                |                          |             |         |    |             |          |
Mn XXIV   |                   |        0.19212    |       |           |      |   [6150.571]       -    [12604.11]       |                 1s.2p - 2p2                    |         3P* - 1S         |    1 - 0    |  3 - 1  |    |             |  L11926  |
Mn XXV    |                   |        0.1924723  |       | 2.52e+14  | A    |       0.00         -     [6441.6643]     |                    1s - 2p                     |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Mn XXIV   |                   |        0.19258    |       |           |      |   [6121.1292]      -    [12559.23]       |                 1s.2s - 2s.2p                  |         3S  - 1P*        |    1 - 1    |  3 - 3  |    |             |  L11926  |
Mn XXIV   |                   |        0.19301    |       | 4.2e+14   | C    |   [6180.4408]      -    [12604.11]       |                 1s.2p - 2p2                    |         1P* - 1S         |    1 - 0    |  3 - 1  |    |       T3506 |  L11926  |
Mn XXV    |                   |        0.1930147  |       | 2.50e+14  | A    |       0.00         -     [6423.5614]     |                    1s - 2p                     |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    | T7228extrap |  L11926  |
          |                   |                   |       |           |      |                                          |                                                |                          |             |         |    |             |          |
Mn XXIV   |                   |        0.19314    |       |           |      |   [6150.571]       -    [12570.01]       |                 1s.2p - 2p2                    |         3P* - 1D         |    1 - 2    |  3 - 5  |    |             |  L11926  |
Mn XXIV   |                   |        0.19348    |       | 2.4e+14   | C    |   [6151.1086]      -    [12559.23]       |                 1s.2s - 2s.2p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |       T3506 |  L11926  |
Mn XXIV   |                   |        0.19351    |       | 1.1e+14   | C    |   [6162.8983]      -    [12570.01]       |                 1s.2p - 2p2                    |         3P* - 1D         |    2 - 2    |  5 - 5  |    |       T3506 |  L11926  |
Mn XXIV   |                   |        0.19361    |       | 2.4e+14   | C    |   [6121.1292]      -    [12524.9]        |                 1s.2s - 2s.2p                  |         3S  - 3P*        |    1 - 2    |  3 - 5  |    |       T3506 |  L11926  |
Mn XXIV   |                   |        0.19368    |       | 1.5e+14   | C    |   [6150.571]       -    [12552.2]        |                 1s.2p - 2p2                    |         3P* - 3P         |    1 - 2    |  3 - 5  |    |       T3506 |  L11926  |
