NIST Atomic Spectra Database Lines Data
Co : 2405 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 21000 

Query NIST Bibliographic Databases for 
Co (new window) 
Co Energy Levels  
Co Line Wavelengths and Classification  
Co Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |   Rel. |    Aki    | Acc. |             Ei           Ek              |                   Configurations                    |      Terms      |   Ji   Jk   | gi   gk |Type|         TP  |    Line  |
          |        Wavelength |        Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)             |                                                     |                 |             |         |    |        Ref. |    Ref.  |
          |         Vac (nm)  |         Vac (nm)  |   (?)  |           |      |                                          |                                                     |                 |             |         |    |             |          |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |        |           |      |                                          |                                                     |                 |             |         |    |             |          |
Co XXVII  |                   |        0.1289581  |        | 1.88e+13  | A    |       0.00         -     [9614.3020]     |                       1s - 5p                       |    2S  - 2P*    |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Co XXVII  |                   |        0.1320339  |        | 3.73e+13  | A    |       0.00         -     [9390.3332]     |                       1s - 4p                       |    2S  - 2P*    |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Co XXVI   |                   |        0.13513    |        | 2.92e+13  | B    |       0.00         -     [9175.500]      |                      1s2 - 1s.5p                    |    1S  - 1P*    |    0 - 1    |  1 - 3  |    | T5298interp |          |
Co XXVI   |                   |        0.13516    |        | 4.0e+12   | E    |       0.00         -     [9173.280]      |                      1s2 - 1s.5p                    |    1S  - 3P*    |    0 - 1    |  1 - 3  |    | T5298interp |          |
Co XXVI   |                   |        0.13826    |        | 5.68e+13  | B    |       0.00         -     [8967.962]      |                      1s2 - 1s.4p                    |    1S  - 1P*    |    0 - 1    |  1 - 3  |    | T5298interp |          |
          |                   |                   |        |           |      |                                          |                                                     |                 |             |         |    |             |          |
Co XXVI   |                   |        0.13832    |        | 7.7e+12   | E    |       0.00         -     [8963.623]      |                      1s2 - 1s.4p                    |    1S  - 3P*    |    0 - 1    |  1 - 3  |    | T5298interp |          |
Co XXVII  |                   |        0.1392065  |        | 9.17e+13  | A    |       0.00         -     [8906.4973]     |                       1s - 3p                       |    2S  - 2P*    |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Co XXVII  |                   |        0.1393211  |        | 9.15e+13  | A    |       0.00         -     [8899.1699]     |                       1s - 3p                       |    2S  - 2P*    |  1/2 - 1/2  |  2 - 2  |    | T7228extrap |  L11926  |
Co XXVI   |                   |        0.14553    |        | 1.42e+14  | B    |       0.00         -     [8519.636]      |                      1s2 - 1s.3p                    |    1S  - 1P*    |    0 - 1    |  1 - 3  |    | T5298interp |          |
Co XXVI   |                   |        0.14570    |        | 1.9e+13   | E    |       0.00         -     [8509.345]      |                      1s2 - 1s.3p                    |    1S  - 3P*    |    0 - 1    |  1 - 3  |    | T5298interp |          |
          |                   |                   |        |           |      |                                          |                                                     |                 |             |         |    |             |          |
Co XXVI   |                   |        0.16440    |        |           |      |   [7205.9215]      -    [14747.42]       |                    1s.2p - 2p2                      |    3P* - 1S     |    1 - 0    |  3 - 1  |    |             |  L11926  |
Co XXVII  |                   |        0.1647303  |        | 3.45e+14  | A    |       0.00         -     [7526.4962]     |                       1s - 2p                       |    2S  - 2P*    |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Co XXVI   |                   |        0.16483    |        | 1.5e+13   | D    |   [7173.4004]      -    [14695.23]       |                    1s.2s - 2s.2p                    |    3S  - 1P*    |    1 - 1    |  3 - 3  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16518    |        |           |      |   [7205.9215]      -    [14711.84]       |                    1s.2p - 2p2                      |    3P* - 1D     |    1 - 2    |  3 - 5  |    |             |  L11926  |
Co XXVI   |                   |        0.16519    |        | 5.9e+14   | C    |   [7242.0939]      -    [14747.42]       |                    1s.2p - 2p2                      |    1P* - 1S     |    1 - 0    |  3 - 1  |    |       T3506 |  L11926  |
          |                   |                   |        |           |      |                                          |                                                     |                 |             |         |    |             |          |
Co XXVII  |                   |        0.1652730  |        | 3.42e+14  | A    |       0.00         -     [7501.7812]     |                       1s - 2p                       |    2S  - 2P*    |  1/2 - 1/2  |  2 - 2  |    | T7228extrap |  L11926  |
Co XXVI   |                   |        0.16556    |        | 3.2e+14   | C    |   [7206.296]       -    [14695.23]       |                    1s.2s - 2s.2p                    |    1S  - 1P*    |    0 - 1    |  1 - 3  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16557    |        | 1.8e+14   | C    |   [7223.4652]      -    [14711.84]       |                    1s.2p - 2p2                      |    3P* - 1D     |    2 - 2    |  5 - 5  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16563    |        | 3.3e+14   | C    |   [7173.4004]      -    [14659.02]       |                    1s.2s - 2s.2p                    |    3S  - 3P*    |    1 - 2    |  3 - 5  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16569    |        | 2.1e+14   | C    |   [7205.9215]      -    [14688.90]       |                    1s.2p - 2p2                      |    3P* - 3P     |    1 - 2    |  3 - 5  |    |       T3506 |  L11926  |
