NIST Atomic Spectra Database Lines Data
Ni : 2659 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 8200 

Query NIST Bibliographic Databases for 
Ni (new window) 
Ni Energy Levels  
Ni Line Wavelengths and Classification  
Ni Transition Probabilities  

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |  Rel. |    Aki    | Acc. |               Ei           Ek                |                Configurations                 |           Terms          |   Ji   Jk   | gi   gk |Type|         TP  |    Line  |
          |          Wavelength |          Wavelength |  Int. |    s^-1   |      |              (eV)         (eV)               |                                               |                          |             |         |    |        Ref. |    Ref.  |
          |           Vac (nm)  |           Vac (nm)  |  (?)  |           |      |                                              |                                               |                          |             |         |    |             |          |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |                     |       |           |      |                                              |                                               |                          |             |         |    |             |          |
Ni XXVIII |                     |          0.1198208  |       | 2.18e+13  | A    |       0.00           -    [10347.464]        |                    1s - 5p                    |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Ni XXVIII |                     |          0.1226773  |       | 4.33e+13  | A    |       0.00           -    [10106.532]        |                    1s - 4p                    |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Ni XXVII  |                     |          0.12535    |       | 3.35e+13  | B    |       0.00           -     [9891.099]        |                   1s2 - 1s.5p                 |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |       T3221 |          |
Ni XXVII  |                     |          0.12538    |       | 5.2e+12   | E    |       0.00           -     [9888.644]        |                   1s2 - 1s.5p                 |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5298interp |          |
Ni XXVII  |                     |          0.12825    |       | 6.38e+13  | B    |       0.00           -     [9667.196]        |                   1s2 - 1s.4p                 |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |       T3221 |          |
          |                     |                     |       |           |      |                                              |                                               |                          |             |         |    |             |          |
Ni XXVII  |                     |          0.12832    |       | 1.0e+13   | E    |       0.00           -     [9662.398]        |                   1s2 - 1s.4p                 |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5298interp |          |
Ni XXVIII |                     |          0.1293381  |       | 1.06e+14  | A    |       0.00           -     [9586.0547]       |                    1s - 3p                    |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Ni XXVIII |                     |          0.1294528  |       | 1.06e+14  | A    |       0.00           -     [9577.5630]       |                    1s - 3p                    |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    | T7228extrap |  L11926  |
Ni XXVI   |          0.1303     |          0.1303*    |       |           |      |      74.9574         -      9590.2           |                1s2.2p - 1s.2p.4p              |         2P* - 2D         |  3/2 - 5/2  |  4 - 6  |    |             |  L11926  |
Ni XXVII  |                     |          0.13501    |       | 1.63e+14  | B    |       0.00           -     [9183.596]        |                   1s2 - 1s.3p                 |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |       T3221 |          |
          |                     |                     |       |           |      |                                              |                                               |                          |             |         |    |             |          |
Ni XXVII  |                     |          0.13517    |       | 2.4e+13   | E    |       0.00           -     [9172.214]        |                   1s2 - 1s.3p                 |         1S  - 3P*        |    0 - 1    |  1 - 3  |    | T5298interp |          |
Ni XXVI   |          0.1367     |          0.1367*    |       |           |      |      74.9574         -      9145.1           |                1s2.2p - 1s.2p.3p              |         2P* - 2D         |  3/2 - 5/2  |  4 - 6  |    |             |  L11926  |
Ni XXVII  |                     |          0.15271    |       |           |      |   [7765.6952]        -    [15884.48]         |                 1s.2p - 2p2                   |         3P* - 1S         |    1 - 0    |  3 - 1  |    |             |  L11926  |
Ni XXVIII |                     |          0.1530340  |       | 4.00e+14  | A    |       0.00           -     [8101.7407]       |                    1s - 2p                    |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    | T7228extrap |  L11926  |
Ni XXVII  |                     |          0.15313    |       | 2.0e+13   | D    |   [7731.6132]        -    [15828.07]         |                 1s.2s - 2s.2p                 |         3S  - 1P*        |    1 - 1    |  3 - 3  |    |       T7228 |  L11926  |
          |                     |                     |       |           |      |                                              |                                               |                          |             |         |    |             |          |
Ni XXVII  |                     |          0.15339    |       |           |      |   [7765.6952]        -    [15848.53]         |                 1s.2p - 2p2                   |         3P* - 1D         |    1 - 2    |  3 - 5  |    |             |  L11926  |
Ni XXVII  |                     |          0.15347    |       | 6.9e+14   | C    |   [7805.5847]        -    [15884.48]         |                 1s.2p - 2p2                   |         1P* - 1S         |    1 - 0    |  3 - 1  |    |       T7228 |  L11926  |
Ni XXVIII |                     |          0.1535769  |       | 3.96e+14  | A    |       0.00           -     [8073.1016]       |                    1s - 2p                    |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    | T7228extrap |  L11926  |
Ni XXVII  |                     |          0.15379    |       | 3.7e+14   | C    |   [7766.0015]        -    [15828.07]         |                 1s.2s - 2s.2p                 |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15379    |       | 2.3e+14   | C    |   [7786.4167]        -    [15848.53]         |                 1s.2p - 2p2                   |         3P* - 1D         |    2 - 2    |  5 - 5  |    |       T7228 |  L11926  |
