NIST Atomic Spectra Database Lines Data
Cu : 1442 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 10000 

Query NIST Bibliographic Databases for 
Cu (new window) 
Cu Energy Levels  
Cu Line Wavelengths and Classification  
Cu Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |   Rel. |    Aki    | Acc. |             Ei           Ek              |           Configurations                      |           Terms          |  Ji   Jk   | gi   gk |Type|    TP  |    Line  |
          |        Wavelength |        Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)             |                                               |                          |            |         |    |   Ref. |    Ref.  |
          |         Vac (nm)  |         Vac (nm)  |   (?)  |           |      |                                          |                                               |                          |            |         |    |        |          |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |        |           |      |                                          |                                               |                          |            |         |    |        |          |
Cu XXIX   |                   |        0.1116122  |        |           |      |       0.00         -    [11108.481]      |               1s - 5p                         |         2S  - 2P*        | 1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Cu XXIX   |                   |        0.1142716  |        |           |      |       0.00         -    [10849.958]      |               1s - 4p                         |         2S  - 2P*        | 1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Cu XXVIII |                   |        0.116586   |        |           |      |       0.00         -    [10634.52]       |              1s2 - 1s.5p                      |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |        |  L11926  |
Cu XXVIII |                   |        0.116616   |        |           |      |       0.00         -    [10631.81]       |              1s2 - 1s.5p                      |         1S  - 3P*        |   0 - 1    |  1 - 3  |    |        |  L11926  |
Cu XXVIII |                   |        0.119288   |        |           |      |       0.00         -    [10393.67]       |              1s2 - 1s.4p                      |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |        |  L11926  |
          |                   |                   |        |           |      |                                          |                                               |                          |            |         |    |        |          |
Cu XXVIII |                   |        0.119349   |        |           |      |       0.00         -    [10388.35]       |              1s2 - 1s.4p                      |         1S  - 3P*        |   0 - 1    |  1 - 3  |    |        |  L11926  |
Cu XXIX   |                   |        0.1204725  |        |           |      |       0.00         -    [10291.49]       |               1s - 3p                         |         2S  - 2P*        | 1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Cu XXIX   |                   |        0.1205873  |        |           |      |       0.00         -    [10281.696]      |               1s - 3p                         |         2S  - 2P*        | 1/2 - 1/2  |  2 - 2  |    |        |  L11926  |
Cu XXVII  |        0.1213     |        0.1213*    |        |           |      |      80.7648       -     10302           |           1s2.2p - 1s.2p.(3P*).4p             |         2P* - 2D         | 3/2 - 5/2  |  4 - 6  |    |        |  L11926  |
Cu XXVIII |                   |        0.125574   |        |           |      |       0.00         -     [9873.394]      |              1s2 - 1s.3p                      |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |        |  L11926  |
          |                   |                   |        |           |      |                                          |                                               |                          |            |         |    |        |          |
Cu XXVIII |                   |        0.125734   |        |           |      |       0.00         -     [9860.773]      |              1s2 - 1s.3p                      |         1S  - 3P*        |   0 - 1    |  1 - 3  |    |        |  L11926  |
Cu XXVII  |        0.1272     |        0.1272*    |        |           |      |      80.7648       -      9827.0         |           1s2.2p - 1s.2p.(3P*).3p             |         2P* - 2D         | 3/2 - 5/2  |  4 - 6  |    |        |  L11926  |
Cu XXVIII |                   |        0.14222    |        |           |      |   [8346.9815]      -    [17065.06]       |            1s.2p - 2p2                        |         3P* - 1S         |   1 - 0    |  3 - 1  |    |        |  L11926  |
Cu XXIX   |                   |        0.1425264  |        |           |      |       0.00         -     [8699.0358]     |               1s - 2p                         |         2S  - 2P*        | 1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Cu XXVIII |                   |        0.14262    |        |           |      |   [8311.3273]      -    [17004.68]       |            1s.2s - 2s.2p                      |         3S  - 1P*        |   1 - 1    |  3 - 3  |    |        |  L11926  |
          |                   |                   |        |           |      |                                          |                                               |                          |            |         |    |        |          |
Cu XXVIII |                   |        0.14281    |        |           |      |   [8346.9815]      -    [17028.98]       |            1s.2p - 2p2                        |         3P* - 1D         |   1 - 2    |  3 - 5  |    |        |  L11926  |
Cu XXVIII |                   |        0.14294    |        |           |      |   [8391.0120]      -    [17065.06]       |            1s.2p - 2p2                        |         1P* - 1S         |   1 - 0    |  3 - 1  |    |        |  L11926  |
Cu XXIX   |                   |        0.1430694  |        |           |      |       0.00         -     [8666.0163]     |               1s - 2p                         |         2S  - 2P*        | 1/2 - 1/2  |  2 - 2  |    |        |  L11926  |
Cu XXVIII |                   |        0.14321    |        |           |      |   [8347.2319]      -    [17004.68]       |            1s.2s - 2s.2p                      |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |        |  L11926  |
Cu XXVIII |                   |        0.14321    |        |           |      |   [8371.3096]      -    [17028.98]       |            1s.2p - 2p2                        |         3P* - 1D         |   2 - 2    |  5 - 5  |    |        |  L11926  |
          |                   |                   |        |           |      |                                          |                                               |                          |            |         |    |        |          |
Cu XXVIII |                   |        0.14326    |        |           |      |   [8311.3273]      -    [16965.75]       |            1s.2s - 2s.2p                      |         3S  - 3P*        |   1 - 2    |  3 - 5  |    |        |  L11926  |
