NIST Atomic Spectra Database Lines Data
Li : 1151 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 21]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 3600 

Query NIST Bibliographic Databases for 
Li (new window) 
Li Energy Levels  
Li Line Wavelengths and Classification  
Li Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |              Ritz    |  Rel. |     Aki    | Acc. |                Ei           Ek                 |   Configurations    |    Terms   |  Ji   Jk   | gi   gk |Type|            TP  |         Line  |
          |           Wavelength |           Wavelength |  Int. |     s^-1   |      |               (eV)         (eV)                |                     |            |            |         |    |           Ref. |         Ref.  |
          |            Vac (nm)  |            Vac (nm)  |  (?)  |            |      |                                                |                     |            |            |         |    |                |               |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                      |                      |       |            |      |                                                |                     |            |            |         |    |                |               |
Li III    |        10.29         |        10.28563162   |       |            |      |     0.000000          -    (120.541154067)     |       1s - 8p       |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    |                |        L7397  |
Li III    |        10.29         |        10.28563652   |       |            |      |     0.000000          -    (120.541096613)     |       1s - 8p       |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    |                |        L7397  |
Li III    |        10.34         |        10.33585091   |       |            |      |     0.000000          -    (119.955475030)     |       1s - 7p       |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    |                |        L7397  |
Li III    |        10.34         |        10.33585830   |       |            |      |     0.000000          -    (119.955389268)     |       1s - 7p       |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    |                |        L7397  |
Li III    |        10.41         |        10.41419318   |       |  1.5992e+09| AA   |     0.000000          -    (119.053092635)     |       1s - 6p       |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    |          T8637 |        L7397  |
          |                      |                      |       |            |      |                                                |                     |            |            |         |    |                |               |
Li III    |        10.41         |        10.41420509   |       |  1.5992e+09| AA   |     0.000000          -    (119.052956446)     |       1s - 6p       |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    |          T8637 |        L7397  |
Li III    |        10.55         |        10.54677267   |       |  2.7865e+09| AA   |     0.000000          -    (117.556521218)     |       1s - 5p       |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    |          T8637 |        L7397  |
Li III    |        10.55         |        10.54679379   |       |  2.7864e+09| AA   |     0.000000          -    (117.556285882)     |       1s - 5p       |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    |          T8637 |        L7397  |
Li III    |        10.80         |        10.79987906   |       |  5.5273e+09| AA   |     0.000000          -    (114.801462045)     |       1s - 4p       |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    |          T8637 |        L7397  |
Li III    |        10.80         |        10.79992230   |       |  5.5272e+09| AA   |     0.000000          -    (114.801002399)     |       1s - 4p       |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    |          T8637 |        L7397  |
          |                      |                      |       |            |      |                                                |                     |            |            |         |    |                |               |
Li III    |        11.39         |        11.39045690   |       |  1.3558e+10| AA   |     0.000000          -    (108.84918110)      |       1s - 3p       |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    |          T8637 |        L7397  |
Li III    |        11.39         |        11.39057091   |       |  1.3557e+10| AA   |     0.000000          -    (108.84809156)      |       1s - 3p       |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    |          T8637 |        L7397  |
Li II     |        12.55         |        12.542        |     * |            |      |    61.280571          -     160.138            |    1s.2p - 2p.3p    |  3P* - 3P  |   1 - 1    |  3 - 3  |    |                |  L3160,L1992  |
Li II     |        12.55         |        12.542        |     * |            |      |    61.280571          -     160.138            |    1s.2p - 2p.3p    |  3P* - 3P  |   1 - 0    |  3 - 1  |    |                |  L3160,L1992  |
Li II     |        12.55         |        12.542        |     * |            |      |    61.280571          -     160.138            |    1s.2p - 2p.3p    |  3P* - 3P  |   1 - 2    |  3 - 5  |    |                |  L3160,L1992  |
          |                      |                      |       |            |      |                                                |                     |            |            |         |    |                |               |
Li II     |        12.55         |        12.542        |     * |            |      |    61.280853          -     160.138            |    1s.2p - 2p.3p    |  3P* - 3P  |   2 - 1    |  5 - 3  |    |                |  L3160,L1992  |
Li II     |        12.55         |        12.542        |     * |            |      |    61.280853          -     160.138            |    1s.2p - 2p.3p    |  3P* - 3P  |   2 - 2    |  5 - 5  |    |                |  L3160,L1992  |
Li II     |        12.55         |        12.542        |     * |            |      |    61.281241          -     160.138            |    1s.2p - 2p.3p    |  3P* - 3P  |   0 - 1    |  1 - 3  |    |                |  L3160,L1992  |
Li II     |        12.55         |        12.548        |     * |            |      |    61.280571          -     160.088            |    1s.2p - 2p.3p    |  3P* - 3D  |   1 - 1    |  3 - 3  |    |                |  L3160,L1992  |
Li II     |        12.55         |        12.548        |     * |            |      |    61.280571          -     160.088            |    1s.2p - 2p.3p    |  3P* - 3D  |   1 - 2    |  3 - 5  |    |                |  L3160,L1992  |
          |                      |                      |       |            |      |                                                |                     |            |            |         |    |                |               |
Li II     |        12.55         |        12.548        |     * |            |      |    61.280853          -     160.088            |    1s.2p - 2p.3p    |  3P* - 3D  |   2 - 3    |  5 - 7  |    |                |  L3160,L1992  |
