NIST Atomic Spectra Database Lines Data
Zn : 323 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 1000 

Query NIST Bibliographic Databases for 
Zn (new window) 
Zn Energy Levels  
Zn Line Wavelengths and Classification  
Zn Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed  |      Ritz    |  Rel. |    Aki    | Acc. |   Ei           Ek   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |   Line  |
          |   Wavelength |   Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |                 |            |           |         |    |   Ref. |   Ref.  |
          |    Vac (nm)  |    Vac (nm)  |  (?)  |           |      |                     |                 |            |           |         |    |        |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Zn IV     |      41.267  |              |    30 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      42.342  |              |    30 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      42.354  |              |    50 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      42.590  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      42.854  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Zn IV     |      42.879  |              |    80 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      42.930  |              |   150 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      43.059  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      43.154  |              |   150 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      43.162  |              |   120 |           |      |                     |                 |            |           |         |    |        |  L3581  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Zn IV     |      43.441  |              |    10 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      43.502  |              |   150 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      43.576  |              |   150 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      43.625  |              |    80 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      43.638  |              |    30 |           |      |                     |                 |            |           |         |    |        |  L3581  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Zn IV     |      43.682  |              |    50 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      44.115  |              |    50 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      44.152  |              |    20 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      44.156  |              |    20 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      44.170  |              |   100 |           |      |                     |                 |            |           |         |    |        |  L3581  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Zn IV     |      44.239  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      44.439  |              |   150 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      44.446  |              |   100 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      44.658  |              |   100 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      44.785  |              |    30 |           |      |                     |                 |            |           |         |    |        |  L3581  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Zn IV     |      44.913  |              |    10 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      44.998  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      45.099  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      45.162  |              |    30 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      45.280  |              |    20 |           |      |                     |                 |            |           |         |    |        |  L3581  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Zn IV     |      45.667  |              |    80 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      45.732  |              |   150 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      46.693  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      46.843  |              |   150 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      47.209  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Zn IV     |      47.266  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      47.302  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      47.351  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      47.456  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      47.578  |              |    50 |           |      |                     |                 |            |           |         |    |        |  L3581  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Zn IV     |      47.642  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      47.865  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
Zn IV     |      47.890  |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3581  |
