NIST Atomic Spectra Database Lines Data
Ga : 2903 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 1450 

Query NIST Bibliographic Databases for 
Ga (new window) 
Ga Energy Levels  
Ga Line Wavelengths and Classification  
Ga Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Configurations                      |           Terms          |   Ji   Jk   | gi   gk |Type|    TP  |    Line  |
          |          Wavelength |          Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |                                                    |                          |             |         |    |   Ref. |    Ref.  |
          |           Vac (nm)  |           Vac (nm)  |   (?)  |           |      |                                               |                                                    |                          |             |         |    |        |          |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |          |
Ga XXXI   |                     |         0.09751318  |        |           |      |        0.00           -    [12714.6082]       |                    1s - 5p                         |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |  L12180  |
Ga XXXI   |                     |         0.09983410  |        |           |      |        0.00           -    [12419.0218]       |                    1s - 4p                         |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |  L12180  |
Ga XXX    |                     |         0.101584    |        |           |      |        0.00           -    [12205.10]         |                   1s2 - 1s.5p                      |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |  L12180  |
Ga XXX    |                     |         0.101612    |        |           |      |        0.00           -    [12201.76]         |                   1s2 - 1s.5p                      |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |  L12180  |
Ga XXX    |                     |         0.103940    |        |           |      |        0.00           -    [11928.42]         |                   1s2 - 1s.4p                      |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |  L12180  |
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |          |
Ga XXX    |                     |         0.103997    |        |           |      |        0.00           -    [11921.89]         |                   1s2 - 1s.4p                      |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |  L12180  |
Ga XXXI   |                     |         0.10524532  |        |           |      |        0.00           -    [11780.494]        |                    1s - 3p                         |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |  L12180  |
Ga XXXI   |                     |         0.10536014  |        |           |      |        0.00           -    [11767.656]        |                    1s - 3p                         |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |        |  L12180  |
Ga XXX    |                     |         0.109423    |        |           |      |        0.00           -    [11330.768]        |                   1s2 - 1s.3p                      |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |  L12180  |
Ga XXX    |                     |         0.109572    |        |           |      |        0.00           -    [11315.27]         |                   1s2 - 1s.3p                      |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |  L12180  |
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |          |
Ga XXX    |                     |         0.12417     |        |           |      |    [9574.5787]        -    [19559.7]          |                 1s.2p - 2p2                        |         3P* - 1S         |    1 - 0    |  3 - 1  |    |        |  L12180  |
Ga XXXI   |                     |         0.12447853  |        |           |      |        0.00           -     [9960.2872]       |                    1s - 2p                         |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |  L12180  |
Ga XXX    |                     |         0.12457     |        |           |      |    [9535.7667]        -    [19489.1]          |                 1s.2s - 2s.2p                      |         3S  - 1P*        |    1 - 1    |  3 - 3  |    |        |  L12180  |
Ga XXX    |                     |         0.12464     |        |           |      |    [9574.5787]        -    [19522.6]          |                 1s.2p - 2p2                        |         3P* - 1D         |    1 - 2    |  3 - 5  |    |        |  L12180  |
Ga XXX    |                     |         0.12483     |        |           |      |    [9628.327]         -    [19559.7]          |                 1s.2p - 2p2                        |         1P* - 1S         |    1 - 0    |  3 - 1  |    |        |  L12180  |
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |          |
Ga XXXI   |                     |         0.12502192  |        |           |      |        0.00           -     [9916.9959]       |                    1s - 2p                         |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |        |  L12180  |
Ga XXX    |                     |         0.12504     |        |           |      |    [9607.5461]        -    [19522.6]          |                 1s.2p - 2p2                        |         3P* - 1D         |    2 - 2    |  5 - 5  |    |        |  L12180  |
Ga XXX    |                     |         0.12506     |        |           |      |    [9574.7857]        -    [19489.1]          |                 1s.2s - 2s.2p                      |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |  L12180  |
Ga XXX    |                     |         0.12508     |        |           |      |    [9535.7667]        -    [19448.2]          |                 1s.2s - 2s.2p                      |         3S  - 3P*        |    1 - 2    |  3 - 5  |    |        |  L12180  |
Ga XXX    |                     |         0.12512     |        |           |      |    [9574.5787]        -    [19484.1]          |                 1s.2p - 2p2                        |         3P* - 3P         |    1 - 2    |  3 - 5  |    |        |  L12180  |
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |          |
Ga XXX    |                     |         0.12520     |        |           |      |    [9571.9366]        -    [19475.4]          |                 1s.2p - 2p2                        |         3P* - 3P         |    0 - 1    |  1 - 3  |    |        |  L12180  |
