NIST Atomic Spectra Database Lines Data
Ge : 420 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 2600 

Query NIST Bibliographic Databases for 
Ge (new window) 
Ge Energy Levels  
Ge Line Wavelengths and Classification  
Ge Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed  |      Ritz    |  Rel. |    Aki    | Acc. |   Ei           Ek   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |   Line  |
          |   Wavelength |   Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |                 |            |           |         |    |   Ref. |   Ref.  |
          |    Vac (nm)  |    Vac (nm)  |  (?)  |           |      |                     |                 |            |           |         |    |        |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge V      |     29.451   |              |   700 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     29.564   |              |  1000 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     30.498   |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge IV     |     44.011   |              |     1 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge IV     |     44.195   |              |     1 |           |      |                     |                 |            |           |         |    |        |  L3302  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge III    |     54.290   |              |     2 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge V      |     62.152   |              |    20 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge III    |     66.377   |              |     2 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge III    |     67.088   |              |     3 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge III    |     68.028   |              |     2 |           |      |                     |                 |            |           |         |    |        |  L3302  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge V      |     71.626   |              |    35 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     72.421   |              |    50 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     73.354   |              |    35 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     73.535   |              |    35 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     74.152   |              |    35 |           |      |                     |                 |            |           |         |    |        |  L3608  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge V      |     74.688   |              |    60 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     75.026   |              |    40 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     75.584   |              |    35 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     76.005   |              |    60 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge II     |     82.297   |              |     1 |           |      |                     |                 |            |           |         |    |        |  L3335  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge II     |     83.508   |              |     3 |           |      |                     |                 |            |           |         |    |        |  L3335  |
Ge IV     |     84.780   |              |     3 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge II     |     85.050   |              |    10 |           |      |                     |                 |            |           |         |    |        |  L3335  |
Ge II     |     86.2234  |              |    10 |           |      |                     |                 |            |           |         |    |        |  L3460  |
Ge IV     |     86.830   |              |     3 |           |      |                     |                 |            |           |         |    |        |  L3302  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge II     |     87.5493  |              |    15 |           |      |                     |                 |            |           |         |    |        |  L3460  |
Ge II     |     90.5977  |              |    15 |           |      |                     |                 |            |           |         |    |        |  L3460  |
Ge IV     |     91.500   |              |     8 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge II     |     92.0554  |              |    20 |           |      |                     |                 |            |           |         |    |        |  L3460  |
Ge IV     |     93.670   |              |     8 |           |      |                     |                 |            |           |         |    |        |  L3302  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge IV     |     93.890   |              |     4 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge III    |     95.276   |              |     2 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge V      |     95.851   |              |    60 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     97.135   |              |   300 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |     98.492   |              |   150 |           |      |                     |                 |            |           |         |    |        |  L3608  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge V      |     98.813   |              |   200 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge III    |     98.896   |              |    12 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge V      |     99.066   |              |   300 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge III    |     99.572   |              |    15 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge III    |     99.650   |              |    10 |           |      |                     |                 |            |           |         |    |        |  L3302  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge II     |     99.9101  |              |    50 | 1.9e+08   |      |                     |                 |            | 1/2 - 3/2 |  2 - 4  |    |  T3464 |  L3460  |
Ge V      |    100.438   |              |   300 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge III    |    101.121   |              |    15 |           |      |                     |                 |            |           |         |    |        |  L3302  |
