NIST Atomic Spectra Database Lines Data
As : 168 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 1000 

Query NIST Bibliographic Databases for 
As (new window) 
As Energy Levels  
As Line Wavelengths and Classification  
As Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed  |      Ritz    |  Rel. |    Aki    | Acc. |   Ei           Ek   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |   Line  |
          |   Wavelength |   Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |                 |            |           |         |    |   Ref. |   Ref.  |
          |    Vac (nm)  |    Vac (nm)  |  (?)  |           |      |                     |                 |            |           |         |    |        |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
As V      |     60.07    |              |    25 |           |      |                     |                 |            |           |         |    |        |  L3372  |
As V      |     61.60    |              |    40 |           |      |                     |                 |            |           |         |    |        |  L3372  |
As V      |     71.55    |              |   120 |           |      |                     |                 |            |           |         |    |        |  L3372  |
As V      |     73.48    |              |   150 |           |      |                     |                 |            |           |         |    |        |  L3372  |
As V      |     73.72    |              |    60 |           |      |                     |                 |            |           |         |    |        |  L3372  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
As II     |     76.124   |              |   165 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |     80.283   |              |   165 |           |      |                     |                 |            |           |         |    |        |   L820  |
As III    |     84.99    |              |   185 |           |      |                     |                 |            |           |         |    |        |  L3275  |
As III    |     86.63    |              |   185 |           |      |                     |                 |            |           |         |    |        |  L3275  |
As III    |     87.17    |              |   510 |           |      |                     |                 |            |           |         |    |        |  L3275  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
As III    |     88.90    |              |   325 |           |      |                     |                 |            |           |         |    |        |  L3275  |
As III    |     92.75    |              |   325 |           |      |                     |                 |            |           |         |    |        |  L3275  |
As III    |     93.72    |              |   325 |           |      |                     |                 |            |           |         |    |        |  L3275  |
As III    |     95.36    |              |   325 |           |      |                     |                 |            |           |         |    |        |  L3275  |
As III    |     96.38    |              |   325 |           |      |                     |                 |            |           |         |    |        |  L3275  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
As V      |     98.77    |              |   250 |           |      |                     |                 |            |           |         |    |        |  L3372  |
As II     |    102.196   |              |   340 |           |      |                     |                 |            |           |         |    |        |   L820  |
As V      |    102.95    |              |   250 |           |      |                     |                 |            |           |         |    |        |  L3372  |
As V      |    105.16    |              |    40 |           |      |                     |                 |            |           |         |    |        |  L3372  |
As V      |    105.66    |              |    60 |           |      |                     |                 |            |           |         |    |        |  L3372  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
As II     |    108.235   |              |   340 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    113.940   |              |   500 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    114.931   |              |   615 |           |      |                     |                 |            |           |         |    |        |   L820  |
As III    |    117.22    |              |   120 |           |      |                     |                 |            |           |         |    |        |  L3275  |
As II     |    118.151   |              |   555 |           |      |                     |                 |            |           |         |    |        |   L820  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
As II     |    118.987   |              |   555 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    119.638   |              |   615 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    119.656   |              |   615 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    120.744   |              |   340 |           |      |                     |                 |            |           |         |    |        |   L820  |
As III    |    120.93    |              |   185 |           |      |                     |                 |            |           |         |    |        |  L3275  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
As II     |    121.117   |              |   800 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    121.810   |              |   800 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    122.315   |              |   340 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    124.131   |              |   760 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    124.308   |              |   965 |           |      |                     |                 |            |           |         |    |        |   L820  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
As II     |    124.567   |              |   870 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    125.858   |              |   800 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    126.377   |              |   965 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    126.634   |              |   800 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    126.759   |              |   800 |           |      |                     |                 |            |           |         |    |        |   L820  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
As II     |    128.099   |              |   715 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    128.754   |              |   715 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    130.570   |              |   715 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    130.774   |              |   340 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    133.315   |              |   760 |           |      |                     |                 |            |           |         |    |        |   L820  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
As II     |    134.155   |              |   965 |           |      |                     |                 |            |           |         |    |        |   L820  |
As II     |    135.593   |              |   760 |           |      |                     |                 |            |           |         |    |        |   L820  |
