NIST Atomic Spectra Database Lines Data
Se : 255 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 900 

Query NIST Bibliographic Databases for 
Se (new window) 
Se Energy Levels  
Se Line Wavelengths and Classification  
Se Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed  |      Ritz    |  Rel. |    Aki    | Acc. |   Ei           Ek   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |   Line  |
          |   Wavelength |   Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |                 |            |           |         |    |   Ref. |   Ref.  |
          |    Vac (nm)  |    Vac (nm)  |  (?)  |           |      |                     |                 |            |           |         |    |        |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Se V      |     59.60    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se V      |     60.10    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se V      |     60.87    |              |   220 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se V      |     61.30    |              |   360 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se V      |     61.43    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Se IV     |     63.60    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se IV     |     65.27    |              |   360 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se IV     |     65.42    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se IV     |     67.01    |              |   450 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se IV     |     67.19    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Se III    |     70.92    |              |   220 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se III    |     70.94    |              |   220 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se III    |     72.06    |              |   220 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se IV     |     72.28    |              |   220 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se III    |     72.43    |              |   360 |           |      |                     |                 |            |           |         |    |        |  L3478  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Se III    |     72.64    |              |   285 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se IV     |     73.46    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se III    |     73.72    |              |   220 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se III    |     74.19    |              |   220 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se IV     |     74.64    |              |   450 |           |      |                     |                 |            |           |         |    |        |   L710  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Se IV     |     75.90    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se V      |     75.91    |              |   450 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se IV     |     77.65    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se III    |     77.73    |              |   285 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se V      |     78.58    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Se III    |     79.08    |              |   220 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se IV     |     80.38    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se V      |     80.43    |              |   285 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se V      |     80.87    |              |   360 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se V      |     81.48    |              |   220 |           |      |                     |                 |            |           |         |    |        |   L710  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Se V      |     82.07    |              |   220 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se II     |     82.85    |              |   285 |           |      |                     |                 |            |           |         |    |        |  L3276  |
Se V      |     83.03    |              |   360 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se II     |     83.27    |              |   360 |           |      |                     |                 |            |           |         |    |        |  L3276  |
Se V      |     83.95    |              |   450 |           |      |                     |                 |            |           |         |    |        |   L710  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Se III    |     84.30    |              |   360 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se V      |     84.58    |              |   360 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se III    |     87.92    |              |   220 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se II     |     90.66    |              |   285 |           |      |                     |                 |            |           |         |    |        |  L3276  |
Se II     |     91.29    |              |   360 |           |      |                     |                 |            |           |         |    |        |  L3276  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Se III    |     95.37    |              |   285 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se III    |     95.44    |              |   220 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se III    |     95.47    |              |   220 |           |      |                     |                 |            |           |         |    |        |  L3478  |
Se IV     |     95.96    |              |   360 |           |      |                     |                 |            |           |         |    |        |   L710  |
Se III    |     97.41    |              |   160 |           |      |                     |                 |            |           |         |    |        |  L3478  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
