NIST Atomic Spectra Database Lines Data
Br : 516 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 75000 

Query NIST Bibliographic Databases for 
Br (new window) 
Br Energy Levels  
Br Line Wavelengths and Classification  
Br Transition Probabilities  

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed  |      Ritz    |   Rel. |    Aki    | Acc. |         Ei           Ek         |    Configurations     |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |   Line  |
          |   Wavelength |   Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |                       |            |           |         |    |   Ref. |   Ref.  |
          |    Vac (nm)  |    Vac (nm)  |   (?)  |           |      |                                 |                       |            |           |         |    |        |         |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br IV     |     36.6636  |     36.663+  |    100 |           |      |     0.32509    -     34.1420    |   4s2.4p2 -           |  3P  - 2   |   1 - 1,2 |  3 - 8  |    |        |  L1157  |
Br IV     |     37.0694  |     37.070+  |    200 |           |      |     0.69579    -     34.1420    |   4s2.4p2 -           |  3P  - 2   |   2 - 1,2 |  5 - 8  |    |        |  L1157  |
Br IV     |     37.9734  |     37.974+  |    700 |           |      |     0.32509    -     32.9750    |   4s2.4p2 -           |  3P  - 1   |   1 - 2   |  3 - 5  |    |        |  L1157  |
Br IV     |     38.4101  |     38.410+  |    600 |           |      |     0.69579    -     32.9750    |   4s2.4p2 -           |  3P  - 1   |   2 - 2   |  5 - 5  |    |        |  L1157  |
Br IV     |     40.0370  |     40.037+  |    700 |           |      |     2.00735    -     32.9750    |   4s2.4p2 -           |  1D  - 1   |   2 - 2   |  5 - 5  |    |        |  L1157  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br V      |     46.837   |              |    600 |           |      |                                 |                       |            |           |         |    |        |   L930  |
Br V      |     48.211   |              |    800 |           |      |                                 |                       |            |           |         |    |        |   L930  |
Br V      |     53.197   |              |    900 |           |      |                                 |                       |            |           |         |    |        |   L930  |
Br IV     |     53.4457  |     53.4469+ |    350 |           |      |     0.0000     -     23.19764   |   4s2.4p2 - 4s2.4p.5s |  3P  - 1P  |   0 - 1   |  1 - 3  |    |        |  L1157  |
Br IV     |     54.2055  |     54.2065+ |    800 |           |      |     0.32509    -     23.19764   |   4s2.4p2 - 4s2.4p.5s |  3P  - 1P  |   1 - 1   |  3 - 3  |    |        |  L1157  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br IV     |     54.5429  |     54.5439+ |   1000 |           |      |     0.32509    -     23.05619   |   4s2.4p2 - 4s2.4p.5s |  3P  - 3P  |   1 - 2   |  3 - 5  |    |        |  L1157  |
Br V      |     54.790   |              |   1000 |           |      |                                 |                       |            |           |         |    |        |   L930  |
Br V      |     54.977   |              |    700 |           |      |                                 |                       |            |           |         |    |        |   L930  |
Br IV     |     54.9940  |     54.9934+ |    800 |           |      |     0.0000     -     22.54529   |   4s2.4p2 - 4s2.4p.5s |  3P  - 3P  |   0 - 1   |  1 - 3  |    |        |  L1157  |
Br IV     |     55.4481  |     55.4481+ |    900 |           |      |     0.69579    -     23.05619   |   4s2.4p2 - 4s2.4p.5s |  3P  - 3P  |   2 - 2   |  5 - 5  |    |        |  L1157  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br IV     |     55.5727  |     55.5711+ |    700 |           |      |     0.0000     -     22.31092   |   4s2.4p2 - 4s2.4p.4d |  3P  - 3P  |   0 - 1   |  1 - 3  |    |        |  L1157  |
Br IV     |     55.5934  |     55.5922+ |    600 |           |      |     0.32509    -     22.62752   |   4s2.4p2 - 4s2.4p.4d |  3P  - 1D  |   1 - 2   |  3 - 5  |    |        |  L1157  |
Br IV     |     55.7984  |     55.7980+ |    900 |           |      |     0.32509    -     22.54529   |   4s2.4p2 - 4s2.4p.5s |  3P  - 3P  |   1 - 1   |  3 - 3  |    |        |  L1157  |
Br IV     |     55.9756  |     55.9762+ |   1000 |           |      |     0.32509    -     22.47452   |   4s2.4p2 - 4s2.4p.4d |  3P  - 1P  |   1 - 1   |  3 - 3  |    |        |  L1157  |
Br IV     |     56.3788  |     56.379+  |    900 |           |      |     0.32509    -     22.31636   |   4s2.4p2 - 4s2.4p.5s |  3P  - 3P  |   1 - 0   |  3 - 1  |    |        |  L1157  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br IV     |     56.3937  |     56.393+  |    800 |           |      |     0.32509    -     22.31092   |   4s2.4p2 - 4s2.4p.4d |  3P  - 3P  |   1 - 1   |  3 - 3  |    |        |  L1157  |
Br IV     |     56.5314  |     56.532+  |    900 |           |      |     0.69579    -     22.62752   |   4s2.4p2 - 4s2.4p.4d |  3P  - 1D  |   2 - 2   |  5 - 5  |    |        |  L1157  |
Br IV     |     56.7443  |     56.745+  |    800 |           |      |     0.69579    -     22.54529   |   4s2.4p2 - 4s2.4p.5s |  3P  - 3P  |   2 - 1   |  5 - 3  |    |        |  L1157  |
Br IV     |     56.9194  |     56.920+  |   1000 |           |      |     0.32509    -     22.10725   |   4s2.4p2 - 4s2.4p.4d |  3P  - 3P  |   1 - 0   |  3 - 1  |    |        |  L1157  |
