NIST Atomic Spectra Database Lines Data
Kr : 4609 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 20000 

Query NIST Bibliographic Databases for 
Kr (new window) 
Kr Energy Levels  
Kr Line Wavelengths and Classification  
Kr Transition Probabilities  

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Configurations                      |           Terms          |   Ji   Jk   | gi   gk |Type|    TP  |     Line  |
          |          Wavelength |          Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |                                                    |                          |             |         |    |   Ref. |     Ref.  |
          |           Vac (nm)  |           Vac (nm)  |   (?)  |           |      |                                               |                                                    |                          |             |         |    |        |           |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |           |
Kr XXXVI  |                     |         0.07196891  |        |           |      |        0.00           -    [17227.4644]       |                    1s - 5p                         |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |           |
Kr XXXVI  |                     |         0.07367656  |        |           |      |        0.00           -    [16828.1721]       |                    1s - 4p                         |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |           |
Kr XXXV   |                     |         0.0745699   |        |           |      |        0.00           -    [16626.578]        |                   1s2 - 1s.5p                      |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |           |
Kr XXXV   |                     |         0.0745948   |        |           |      |        0.00           -    [16621.023]        |                   1s2 - 1s.5p                      |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |           |
Kr XXXV   |                     |         0.0763012   |        |           |      |        0.00           -    [16249.318]        |                   1s2 - 1s.4p                      |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |           |
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |           |
Kr XXXV   |                     |         0.0763521   |        |           |      |        0.00           -    [16238.482]        |                   1s2 - 1s.4p                      |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |           |
Kr XXXVI  |                     |         0.07765678  |        |           |      |        0.00           -    [15965.6624]       |                    1s - 3p                         |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |           |
Kr XXXVI  |                     |         0.07777188  |        |           |      |        0.00           -    [15942.0335]       |                    1s - 3p                         |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |        |           |
Kr XXXV   |                     |         0.0803294   |        |           |      |        0.00           -    [15434.482]        |                   1s2 - 1s.3p                      |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |           |
Kr XXXV   |                     |         0.0804637   |        |           |      |        0.00           -    [15408.706]        |                   1s2 - 1s.3p                      |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |           |
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |           |
Kr XXXV   |                     |         0.091448    |        |           |      |   [13026.1671]        -    [26586.30]         |                 1s.2p - 2p2                        |         3P* - 1S         |    1 - 0    |  3 - 1  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.091717    |        |           |      |   [13026.1671]        -    [26547.00]         |                 1s.2p - 2p2                        |         3P* - 3P         |    1 - 2    |  3 - 5  |    |        |  L7187c3  |
Kr XXXVI  |                     |         0.09177942  |        |           |      |        0.00           -    [13508.9318]       |                    1s - 2p                         |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |           |
Kr XXXV   |                     |         0.091852    |        |           |      |   [12979.3061]        -    [26478.44]         |                 1s.2s - 2s.2p                      |         3S  - 1P*        |    1 - 1    |  3 - 3  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.092027    |        |           |      |   [13114.5059]        -    [26586.30]         |                 1s.2p - 2p2                        |         1P* - 1S         |    1 - 0    |  3 - 1  |    |        |  L7187c3  |
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |           |
Kr XXXV   |                     |         0.092138    |        |           |      |   [13090.9216]        -    [26547.00]         |                 1s.2p - 2p2                        |         3P* - 3P         |    2 - 2    |  5 - 5  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.092160    |        |           |      |   [12979.3061]        -    [26433.18]         |                 1s.2s - 2s.2p                      |         3S  - 3P*        |    1 - 2    |  3 - 5  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.092173    |        |           |      |   [13026.585]         -    [26478.44]         |                 1s.2s - 2s.2p                      |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.092198    |        |           |      |   [13026.1671]        -    [26476.58]         |                 1s.2p - 2p2                        |         3P* - 1D         |    1 - 2    |  3 - 5  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.092252    |        |           |      |   [13023.5585]        -    [26465.42]         |                 1s.2p - 2p2                        |         3P* - 3P         |    0 - 1    |  1 - 3  |    |        |  L7187c3  |
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |           |
Kr XXXV   |                     |         0.092271    |        |           |      |   [13026.1671]        -    [26465.42]         |                 1s.2p - 2p2                        |         3P* - 3P         |    1 - 1    |  3 - 3  |    |        |  L7187c3  |
