NIST Atomic Spectra Database Lines Data
Rb : 2678 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 90000 

Query NIST Bibliographic Databases for 
Rb (new window) 
Rb Energy Levels  
Rb Line Wavelengths and Classification  
Rb Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |            Ritz    |   Rel. |    Aki    | Acc. |               Ei           Ek               |             Configurations                           |        Terms          |   Ji   Jk   | gi   gk |   Type|    TP  |      Line  |
          |         Wavelength |         Wavelength |   Int. |    s^-1   |      |              (eV)         (eV)              |                                                      |                       |             |         |       |   Ref. |      Ref.  |
          |          Vac (nm)  |          Vac (nm)  |   (?)  |           |      |                                             |                                                      |                       |             |         |       |        |            |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |                    |        |           |      |                                             |                                                      |                       |             |         |       |        |            |
Rb XXXVII |                    |        0.0667255   |        | 2.24e+13  |      |        0.00          -    (18581.2364)      |                 1s - 7p                              |      2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.0672295   |        | 3.58e+13  |      |        0.00          -    (18441.9416)      |                 1s - 6p                              |      2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.0680629   |        | 6.40e+13  |      |        0.00          -    (18216.1227)      |                 1s - 5p                              |      2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.0680842   |        | 6.27e+13  |      |        0.00          -    (18210.4322)      |                 1s - 5p                              |      2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.0696768   |        | 1.27e+14  |      |        0.00          -    (17794.1862)      |                 1s - 4p                              |      2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |       |  T2697 |     L3620  |
          |                    |                    |        |           |      |                                             |                                                      |                       |             |         |       |        |            |
Rb XXXVII |                    |        0.0697204   |        | 1.25e+14  |      |        0.00          -    (17783.0525)      |                 1s - 4p                              |      2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.0734383   |        | 3.11e+14  |      |        0.00          -    (16882.7710)      |                 1s - 3p                              |      2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.0735535   |        | 3.10e+14  |      |        0.00          -    (16856.3376)      |                 1s - 3p                              |      2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.086780    |        | 1.15e+15  |      |        0.00          -    (14287.1818)      |                 1s - 2p                              |      2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.087325    |        | 1.18e+15  |      |        0.00          -    (14198.0868)      |                 1s - 2p                              |      2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |       |  T2697 |     L3620  |
          |                    |                    |        |           |      |                                             |                                                      |                       |             |         |       |        |            |
Rb XXXVI  |                    |        0.08932442  |        | 1.66e+15  |      |        0.00          -    (13880.216)       |                1s2 - 1s.2p                           |      1S  - 1P*        |    0 - 1    |  1 - 3  |       |  T6910 |    L10054  |
Rb XXXVI  |                    |        0.08995547  |        | 4.58e+14  |      |        0.00          -    (13782.851)       |                1s2 - 1s.2p                           |      1S  - 3P*        |    0 - 1    |  1 - 3  |       |  T6910 |    L10054  |
Rb XXXVII |                    |        0.2828624   |        | 2.98e+11  |      |   (14198.0868)       -    (18581.2844)      |                 2p - 7s                              |      2P* - 2S         |  1/2 - 1/2  |  2 - 2  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.282997    |        | 3.47e+12  |      |   (14200.1201)       -    (18581.2364)      |                 2s - 7p                              |      2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.2887313   |        | 6.80e+11  |      |   (14287.1818)       -    (18581.2844)      |                 2p - 7s                              |      2P* - 2S         |  3/2 - 1/2  |  4 - 2  |       |  T2697 |     L3620  |
          |                    |                    |        |           |      |                                             |                                                      |                       |             |         |       |        |            |
Rb XXXVII |                    |        0.2921447   |        | 4.79e+11  |      |   (14198.0868)       -    (18442.0173)      |                 2p - 6s                              |      2P* - 2S         |  1/2 - 1/2  |  2 - 2  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.292290    |        | 5.53e+12  |      |   (14200.1201)       -    (18441.9416)      |                 2s - 6p                              |      2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.2984094   |        | 1.09e+12  |      |   (14287.1818)       -    (18442.0173)      |                 2p - 6s                              |      2P* - 2S         |  3/2 - 1/2  |  4 - 2  |       |  T2697 |     L3620  |
Rb XXXVII |                    |        0.3085700   |        | 1.56e+13  |      |   (14198.0868)       -    (18216.11191)     |                 2p - 5d                              |      2P* - 2D         |  1/2 - 3/2  |  2 - 4  |       |  T2697 |     L3620  |
