NIST Atomic Spectra Database Lines Data
Sr : 590 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 46000 

Query NIST Bibliographic Databases for 
Sr (new window) 
Sr Energy Levels  
Sr Line Wavelengths and Classification  
Sr Transition Probabilities  

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed  |        Ritz    |     Rel. |    Aki    | Acc. |          Ei           Ek           | Configurations            |    Terms          |  Ji   Jk  | gi   gk |Type|    TP  |    Line  |
          |     Wavelength |     Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)          |                           |                   |           |         |    |   Ref. |    Ref.  |
          |      Vac (nm)  |      Vac (nm)  |     (?)  |           |      |                                    |                           |                   |           |         |    |        |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                |                |          |           |      |                                    |                           |                   |           |         |    |        |          |
Sr IV     |     28.431     |                |       12 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     29.109     |                |       12 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     29.119     |                |       12 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     29.322     |                |       12 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     29.812     |                |       15 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
          |                |                |          |           |      |                                    |                           |                   |           |         |    |        |          |
Sr IV     |     30.012     |                |       15 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     30.027     |                |       12 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     30.167     |                |       12 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr III    |     30.718     |                |       25 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
Sr III    |     31.611     |                |       50 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
          |                |                |          |           |      |                                    |                           |                   |           |         |    |        |          |
Sr III    |     32.161     |                |       50 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
Sr III    |     33.067     |                |      125 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
Sr III    |     35.162     |                |      500 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
Sr III    |     35.880     |                |       75 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
Sr III    |     36.349     |                |      250 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
          |                |                |          |           |      |                                    |                           |                   |           |         |    |        |          |
Sr III    |     37.121     |                |      150 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
Sr IV     |     37.853     |                |       20 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     39.244     |                |       75 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     39.300     |                |       50 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     39.490     |                |       45 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
          |                |                |          |           |      |                                    |                           |                   |           |         |    |        |          |
Sr IV     |     39.622     |                |       50 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     39.992     |                |       40 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     40.385     |                |       35 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     40.694     |                |       35 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     41.293     |                |       30 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
          |                |                |          |           |      |                                    |                           |                   |           |         |    |        |          |
Sr IV     |     41.307     |                |       40 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     41.532     |                |       40 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     41.978     |                |       30 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     43.021     |                |       25 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     43.065     |                |       30 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
          |                |                |          |           |      |                                    |                           |                   |           |         |    |        |          |
Sr III    |     43.724     |                |     1000 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
Sr IV     |     44.273     |                |       25 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     47.176     |                |       25 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr IV     |     48.420     |                |       25 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr III    |     49.179     |                |     1875 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
          |                |                |          |           |      |                                    |                           |                   |           |         |    |        |          |
Sr III    |     50.704     |                |     1250 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
Sr IV     |     50.814     |                |      25p |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
Sr III    |     51.438     |                |     3750 |           |      |                                    |                           |                   |           |         |    |        |   L1483  |
Sr V      |     51.728     |                |       10 |           |      |                                    |                           |                   |           |         |    |        |   L2287  |
Sr IV     |     53.419     |                |       25 |           |      |                                    |                           |                   |           |         |    |        |   L3647  |
          |                |                |          |           |      |                                    |                           |                   |           |         |    |        |          |
Sr V      |     54.051     |                |        6 |           |      |                                    |                           |                   |           |         |    |        |   L2287  |
