NIST Atomic Spectra Database Lines Data
Y : 624 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 99000 

Query NIST Bibliographic Databases for 
Y (new window) 
Y Energy Levels  
Y Line Wavelengths and Classification  
Y Transition Probabilities  

------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed  |      Ritz    |  Rel. |    Aki    | Acc. |   Ei           Ek   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |    Line  |
          |   Wavelength |   Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |                 |            |           |         |    |   Ref. |    Ref.  |
          |    Vac (nm)  |    Vac (nm)  |  (?)  |           |      |                     |                 |            |           |         |    |        |          |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |              |              |       |           |      |                     |                 |            |           |         |    |        |          |
Y IV      |    21.180    |              |     3 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    21.451    |              |     3 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    21.597    |              |     6 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    21.739    |              |     6 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    22.171    |              |    12 |           |      |                     |                 |            |           |         |    |        |   L1483  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |          |
Y IV      |    22.218    |              |     3 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    22.298    |              |     6 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    22.884    |              |     2 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    22.894    |              |    20 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    22.978    |              |     3 |           |      |                     |                 |            |           |         |    |        |   L1483  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |          |
Y IV      |    23.517    |              |     3 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    23.577    |              |    25 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    24.212    |              |     1 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    24.230    |              |    30 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    24.414    |              |     3 |           |      |                     |                 |            |           |         |    |        |   L1483  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |          |
Y IV      |    26.372    |              |     3 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    26.464    |              |   150 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    27.240    |              |    30 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    27.303    |              |   150 |           |      |                     |                 |            |           |         |    |        |   L1483  |
Y IV      |    27.860    |              |    10 |           |      |                     |                 |            |           |         |    |        |   L1483  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |          |
Y V       |    28.918    |              |     5 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    29.999    |              |    50 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    31.289    |              |     3 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    31.335    |              |   200 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    32.047    |              |    40 |           |      |                     |                 |            |           |         |    |        |   L1577  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |          |
Y V       |    32.169    |              |    40 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    32.558    |              |   150 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    32.657    |              |   200 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    32.834    |              |   175 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    33.040    |              |    50 |           |      |                     |                 |            |           |         |    |        |   L1577  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |          |
Y V       |    33.309    |              |   900 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    33.380    |              |   500 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    33.512    |              |   100 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    33.514    |              |   400 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    33.662    |              |   500 |           |      |                     |                 |            |           |         |    |        |   L1577  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |          |
Y V       |    33.902    |              |   500 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    34.002    |              |   200 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    34.042    |              |     5 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    34.459    |              |   500 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    34.965    |              |   100 |           |      |                     |                 |            |           |         |    |        |   L1577  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |          |
Y V       |    34.975    |              |     2 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    35.136    |              |    10 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    35.398    |              |   100 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y V       |    35.556    |              |   100 |           |      |                     |                 |            |           |         |    |        |   L1577  |
Y IV      |    35.586    |              |   900 |           |      |                     |                 |            |           |         |    |        |   L1483  |
