NIST Atomic Spectra Database Lines Data
Be : 1724 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 21]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 2360 

Query NIST Bibliographic Databases for 
Be (new window) 
Be Energy Levels  
Be Line Wavelengths and Classification  
Be Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |               Ritz    |    Rel. |     Aki    | Acc. |                 Ei           Ek                  |                 Configurations                   |    Terms    |  Ji   Jk   | gi   gk |Type|      TP  |     Line  |
          |            Wavelength |            Wavelength |    Int. |     s^-1   |      |                (eV)         (eV)                 |                                                  |             |            |         |    |     Ref. |     Ref.  |
          |             Vac (nm)  |             Vac (nm)  |    (?)  |            |      |                                                  |                                                  |             |            |         |    |          |           |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |                       |         |            |      |                                                  |                                                  |             |            |         |    |          |           |
Be IV     |          5.813        |          5.81332247   |         |            |      |      0.000000          -    (213.275955650)      |                     1s - 7p                      |  2S  - 2P*  | 1/2 - 3/2  |  2 - 4  |    |          |    L3412  |
Be IV     |          5.813        |          5.81332986   |         |            |      |      0.000000          -    (213.275684539)      |                     1s - 7p                      |  2S  - 2P*  | 1/2 - 1/2  |  2 - 2  |    |          |    L3412  |
Be IV     |          5.857        |          5.85738306   |         |  5.0556e+09| AA   |      0.000000          -    (211.671644644)      |                     1s - 6p                      |  2S  - 2P*  | 1/2 - 3/2  |  2 - 4  |    |    T8637 |    L3412  |
Be IV     |          5.857        |          5.85739497   |         |  5.0555e+09| AA   |      0.000000          -    (211.671214122)      |                     1s - 6p                      |  2S  - 2P*  | 1/2 - 1/2  |  2 - 2  |    |    T8637 |    L3412  |
Be IV     |          5.932        |          5.93194739   |         |  8.8091e+09| AA   |      0.000000          -    (209.010940987)      |                     1s - 5p                      |  2S  - 2P*  | 1/2 - 3/2  |  2 - 4  |    |    T8637 |    L3412  |
          |                       |                       |         |            |      |                                                  |                                                  |             |            |         |    |          |           |
Be IV     |          5.932        |          5.93196850   |         |  8.8089e+09| AA   |      0.000000          -    (209.010197035)      |                     1s - 5p                      |  2S  - 2P*  | 1/2 - 1/2  |  2 - 2  |    |    T8637 |    L3412  |
Be IV     |          6.074        |          6.07429754   |         |  1.7474e+10| AA   |      0.000000          -    (204.112804539)      |                     1s - 4p                      |  2S  - 2P*  | 1/2 - 3/2  |  2 - 4  |    |    T8637 |    L3412  |
Be IV     |          6.074        |          6.07434078   |         |  1.7473e+10| AA   |      0.000000          -    (204.111351479)      |                     1s - 4p                      |  2S  - 2P*  | 1/2 - 1/2  |  2 - 2  |    |    T8637 |    L3412  |
Be IV     |          6.406        |          6.40644408   |         |  4.2862e+10| AA   |      0.000000          -    (193.530434348)      |                     1s - 3p                      |  2S  - 2P*  | 1/2 - 3/2  |  2 - 4  |    |    T8637 |    L3412  |
Be IV     |          6.406        |          6.40655810   |         |  4.2859e+10| AA   |      0.000000          -    (193.52699000)       |                     1s - 3p                      |  2S  - 2P*  | 1/2 - 1/2  |  2 - 2  |    |    T8637 |    L3412  |
          |                       |                       |         |            |      |                                                  |                                                  |             |            |         |    |          |           |
Be IV     |          7.593        |          7.59259349   |         |  1.6056e+11| AA   |      0.000000          -    (163.29623163)       |                     1s - 2p                      |  2S  - 2P*  | 1/2 - 3/2  |  2 - 4  |    |    T8637 |    L3412  |
Be IV     |          7.593        |          7.59313402   |         |  1.6053e+11| AA   |      0.000000          -    (163.28460712)       |                     1s - 2p                      |  2S  - 2P*  | 1/2 - 1/2  |  2 - 2  |    |    T8637 |    L3412  |
Be III    |          7.610        |          7.6098       |      1w |            |      |    139.8176            -     302.7446            |                  1s.3s - 2,3.sp+                 |  1S  - 1P*  |   0 - 1    |  1 - 3  |    |          |     L539  |
Be III    |          7.648        |          7.6481       |      2* |            |      |    139.0091            -     301.1204            |                  1s.3s - 2,3.sp-                 |  3S  - 3P*  |   1 - 2    |  3 - 5  |    |          |     L539  |
Be III    |          7.648        |          7.6481       |      2* |            |      |    139.0091            -     301.1204            |                  1s.3s - 2,3.sp-                 |  3S  - 3P*  |   1 - 1    |  3 - 3  |    |          |     L539  |
          |                       |                       |         |            |      |                                                  |                                                  |             |            |         |    |          |           |
Be III    |          7.648        |          7.6481       |      2* |            |      |    139.0091            -     301.1204            |                  1s.3s - 2,3.sp-                 |  3S  - 3P*  |   1 - 0    |  3 - 1  |    |          |     L539  |
Be III    |          7.853        |          7.8530       |      3* |            |      |    118.591             -     276.4719            |                  1s.2s - 2s.2p                   |  3S  - 3P*  |   1 - 2    |  3 - 5  |    |          |     L539  |
Be III    |          7.853        |          7.8530       |      3* |            |      |    118.591             -     276.4719            |                  1s.2s - 2s.2p                   |  3S  - 3P*  |   1 - 1    |  3 - 3  |    |          |     L539  |
Be III    |          7.853        |          7.8530       |      3* |            |      |    118.591             -     276.4719            |                  1s.2s - 2s.2p                   |  3S  - 3P*  |   1 - 0    |  3 - 1  |    |          |     L539  |
Be III    |          7.866        |          7.8658       |      4* |            |      |    121.920             -     279.5447            |                  1s.2p - 2p2                     |  3P* - 3P   |   1 - 1    |  3 - 3  |    |          |     L539  |
          |                       |                       |         |            |      |                                                  |                                                  |             |            |         |    |          |           |
