NIST Atomic Spectra Database Lines Data
Zr : 1336 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 15000000 

Query NIST Bibliographic Databases for 
Zr (new window) 
Zr Energy Levels  
Zr Line Wavelengths and Classification  
Zr Transition Probabilities  

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed  |       Ritz    |     Rel. |    Aki    | Acc. |          Ei           Ek          | Configurations           |    Terms       |  Ji   Jk   | gi   gk |Type|    TP  |          Line  |
          |    Wavelength |    Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)         |                          |                |            |         |    |   Ref. |          Ref.  |
          |     Vac (nm)  |     Vac (nm)  |     (?)  |           |      |                                   |                          |                |            |         |    |        |                |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |               |               |          |           |      |                                   |                          |                |            |         |    |        |                |
Zr V      |     29.219    |               |      300 |           |      |                                   |                          |                |            |         |    |        |         L4594  |
Zr V      |     30.401    |               |      500 |           |      |                                   |                          |                |            |         |    |        |         L4594  |
Zr V      |     30.524    |               |      300 |           |      |                                   |                          |                |            |         |    |        |         L4594  |
Zr V      |     36.818    |               |     400p |           |      |                                   |                          |                |            |         |    |        |         L4594  |
Zr IV     |     44.5599   |     44.55933  |       4p |           |      |     0.0000      -     27.824520   | 4p6.4d - 4p6.6f          |  2D  - 2F*     | 3/2 - 5/2  |  4 - 6  |    |        |  L5042,L11645  |
          |               |               |          |           |      |                                   |                          |                |            |         |    |        |                |
Zr IV     |     44.7960   |     44.79536  |        1 |           |      |     0.15507     -     27.832977   | 4p6.4d - 4p6.6f          |  2D  - 2F*     | 5/2 - 7/2  |  6 - 8  |    |        |  L5042,L11645  |
Zr IV     |     47.8966   |     47.89654  |        1 |           |      |     0.0000      -     25.885836   | 4p6.4d - 4p6.7p          |  2D  - 2P*     | 3/2 - 1/2  |  4 - 2  |    |        |  L5042,L11645  |
Zr IV     |     48.0660   |     48.06607  |        2 |           |      |     0.15507     -     25.949601   | 4p6.4d - 4p6.7p          |  2D  - 2P*     | 5/2 - 3/2  |  6 - 4  |    |        |  L5042,L11645  |
Zr IV     |     49.7229   |     49.72301  |       70 |           |      |     0.0000      -     24.934974   | 4p6.4d - 4p6.5f          |  2D  - 2F*     | 3/2 - 5/2  |  4 - 6  |    |        |  L5042,L11645  |
Zr IV     |     50.0219   |     50.02202  |       90 |           |      |     0.15507     -     24.940988   | 4p6.4d - 4p6.5f          |  2D  - 2F*     | 5/2 - 7/2  |  6 - 8  |    |        |  L5042,L11645  |
          |               |               |          |           |      |                                   |                          |                |            |         |    |        |                |
Zr IV     |     50.0339   |     50.03416  |        1 |           |      |     0.15507     -     24.934974   | 4p6.4d - 4p6.5f          |  2D  - 2F*     | 5/2 - 5/2  |  6 - 6  |    |        |  L5042,L11645  |
Zr V      |     51.925    |               |      200 |           |      |                                   |                          |                |            |         |    |        |         L4594  |
Zr V      |     53.650    |               |      200 |           |      |                                   |                          |                |            |         |    |        |         L4594  |
Zr IV     |     58.4655   |     58.46609  |        8 |           |      |     4.743431    -     25.949601   | 4p6.5s - 4p6.7p          |  2S  - 2P*     | 1/2 - 3/2  |  2 - 4  |    |        |  L5042,L11645  |
Zr IV     |     58.5426   |     58.54283  |       20 |           |      |     0.0000      -     21.178373   | 4p6.4d - 4p6.6p          |  2D  - 2P*     | 3/2 - 3/2  |  4 - 4  |    |        |  L5042,L11645  |
          |               |               |          |           |      |                                   |                          |                |            |         |    |        |                |
Zr IV     |     58.6421   |     58.64242  |        5 |           |      |     4.743431    -     25.885836   | 4p6.5s - 4p6.7p          |  2S  - 2P*     | 1/2 - 1/2  |  2 - 2  |    |        |  L5042,L11645  |
Zr IV     |     58.8892   |     58.88945  |      200 |           |      |     0.0000      -     21.053719   | 4p6.4d - 4p6.6p          |  2D  - 2P*     | 3/2 - 1/2  |  4 - 2  |    |        |  L5042,L11645  |
Zr IV     |     58.9746   |     58.97464  |      300 |           |      |     0.15507     -     21.178373   | 4p6.4d - 4p6.6p          |  2D  - 2P*     | 5/2 - 3/2  |  6 - 4  |    |        |  L5042,L11645  |
Zr IV     |     62.8666   |     62.86669  |     1200 |           |      |     0.0000      -     19.721762   | 4p6.4d - 4p6.4f          |  2D  - 2F*     | 3/2 - 5/2  |  4 - 6  |    |        |  L5042,L11645  |
Zr III    |     63.1571   |     63.1571   |       50 | 7.65e+07  |      |     0.084506    -     19.71558    |    4d2 - 4d.6f           |  3F  - 3G*     |   3 - 4    |  7 - 9  |    |  T6869 |         L9267  |
          |               |               |          |           |      |                                   |                          |                |            |         |    |        |                |
Zr IV     |     63.3567   |     63.35682  |     1500 |           |      |     0.15507     -     19.724262   | 4p6.4d - 4p6.4f          |  2D  - 2F*     | 5/2 - 7/2  |  6 - 8  |    |        |  L5042,L11645  |
Zr IV     |     63.3641   |     63.36491  |      300 |           |      |     0.15507     -     19.721762   | 4p6.4d - 4p6.4f          |  2D  - 2F*     | 5/2 - 5/2  |  6 - 6  |    |        |  L5042,L11645  |
Zr III    |     63.4213   |     63.4213   |      120 | 1.74e+09  |      |     0.184296    -     19.73360    |    4d2 - 4d.6f           |  3F  - 3G*     |   4 - 5    |  9 - 11 |    |  T6869 |         L9267  |
