NIST Atomic Spectra Database Lines Data
Nb : 815 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 16000 

Query NIST Bibliographic Databases for 
Nb (new window) 
Nb Energy Levels  
Nb Line Wavelengths and Classification  
Nb Transition Probabilities  

------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed  |      Ritz    |   Rel. |    Aki    | Acc. |   Ei           Ek   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |   Line  |
          |   Wavelength |   Wavelength |   Int. |    s^-1   |      |  (eV)         (eV)  |                 |            |           |         |    |   Ref. |   Ref.  |
          |    Vac (nm)  |    Vac (nm)  |   (?)  |           |      |                     |                 |            |           |         |    |        |         |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |              |              |        |           |      |                     |                 |            |           |         |    |        |         |
Nb V      |      46.455  |              |     80 |           |      |                     |                 |            |           |         |    |        |  L3405  |
Nb V      |      46.832  |              |     80 |           |      |                     |                 |            |           |         |    |        |  L3405  |
Nb IV     |      54.238  |              |     12 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb IV     |      54.309  |              |     12 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb IV     |      54.521  |              |     12 |           |      |                     |                 |            |           |         |    |        |  L7490  |
          |              |              |        |           |      |                     |                 |            |           |         |    |        |         |
Nb IV     |      55.994  |              |     10 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb IV     |      56.622  |              |     10 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb V      |      75.301  |              |     60 |           |      |                     |                 |            |           |         |    |        |  L3405  |
Nb V      |      76.377  |              |     80 |           |      |                     |                 |            |           |         |    |        |  L3405  |
Nb V      |      77.402  |              |     80 |           |      |                     |                 |            |           |         |    |        |  L3405  |
          |              |              |        |           |      |                     |                 |            |           |         |    |        |         |
Nb IV     |      98.127  |              |     18 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb IV     |      99.354  |              |     60 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb IV     |      99.616  |              |     18 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb IV     |     100.276  |              |     50 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb IV     |     100.572  |              |    400 |           |      |                     |                 |            |           |         |    |        |  L7490  |
          |              |              |        |           |      |                     |                 |            |           |         |    |        |         |
Nb V      |     100.702  |              |     40 |           |      |                     |                 |            |           |         |    |        |  L3405  |
Nb IV     |     100.705  |              |    500 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb IV     |     101.019  |              |    500 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb IV     |     103.027  |              |     45 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb V      |     104.490  |              |     50 |           |      |                     |                 |            |           |         |    |        |  L3405  |
          |              |              |        |           |      |                     |                 |            |           |         |    |        |         |
Nb IV     |     111.608  |              |    100 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb IV     |     112.002  |              |    150 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb V      |     121.221  |              |     70 |           |      |                     |                 |            |           |         |    |        |  L3405  |
Nb V      |     125.887  |              |    100 |           |      |                     |                 |            |           |         |    |        |  L3405  |
Nb V      |     126.760  |              |     40 |           |      |                     |                 |            |           |         |    |        |  L3405  |
          |              |              |        |           |      |                     |                 |            |           |         |    |        |         |
Nb III    |     131.456  |              |     60 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb III    |     131.915  |              |     50 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb III    |     143.192  |              |     60 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb III    |     143.339  |              |     60 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb III    |     143.526  |              |     50 |           |      |                     |                 |            |           |         |    |        |  L3603  |
          |              |              |        |           |      |                     |                 |            |           |         |    |        |         |
Nb III    |     144.543  |              |     80 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb III    |     144.598  |              |     80 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb III    |     144.709  |              |     80 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb IV     |     144.748  |              |     50 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb III    |     144.850  |              |     50 |           |      |                     |                 |            |           |         |    |        |  L3603  |
          |              |              |        |           |      |                     |                 |            |           |         |    |        |         |
Nb III    |     145.163  |              |     60 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb III    |     145.668  |              |    100 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb IV     |     147.343  |              |     40 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb III    |     148.473  |              |     80 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb III    |     148.679  |              |     50 |           |      |                     |                 |            |           |         |    |        |  L3603  |
          |              |              |        |           |      |                     |                 |            |           |         |    |        |         |
Nb IV     |     148.723  |              |     40 |           |      |                     |                 |            |           |         |    |        |  L7490  |
Nb III    |     149.594  |              |    100 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb III    |     149.802  |              |     80 |           |      |                     |                 |            |           |         |    |        |  L3603  |
Nb III    |     149.945  |              |     80 |           |      |                     |                 |            |           |         |    |        |  L3603  |
