NIST Atomic Spectra Database Lines Data
Mo : 3026 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 300000000 

Query NIST Bibliographic Databases for 
Mo (new window) 
Mo Energy Levels  
Mo Line Wavelengths and Classification  
Mo Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |            Ritz    |      Rel. |    Aki    | Acc. |               Ei           Ek               |                Configurations                  |          Terms          |   Ji   Jk   | gi   gk |Type|    TP  |    Line  |
          |         Wavelength |         Wavelength |      Int. |    s^-1   |      |              (eV)         (eV)              |                                                |                         |             |         |    |   Ref. |    Ref.  |
          |          Vac (nm)  |          Vac (nm)  |      (?)  |           |      |                                             |                                                |                         |             |         |    |        |          |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |                    |           |           |      |                                             |                                                |                         |             |         |    |        |          |
Mo XLII   |                    |        0.05252274  |           |           |      |        0.00          -    [23605.8125]      |                    1s - 5p                     |        2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Mo XLII   |                    |        0.05376343  |           |           |      |        0.00          -    [23061.0632]      |                    1s - 4p                     |        2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Mo XLI    |                    |        0.05416470  |           |           |      |        0.00          -    [22890.2204]      |                   1s2 - 1s.5p                  |        1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |  L11926  |
Mo XLI    |                    |        0.05418793  |           |           |      |        0.00          -    [22880.4070]      |                   1s2 - 1s.5p                  |        1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |  L11926  |
Mo XLI    |                    |        0.05542100  |           |           |      |        0.00          -    [22371.3366]      |                   1s2 - 1s.4p                  |        1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |  L11926  |
          |                    |                    |           |           |      |                                             |                                                |                         |             |         |    |        |          |
Mo XLI    |                    |        0.05546869  |           |           |      |        0.00          -    [22352.1030]      |                   1s2 - 1s.4p                  |        1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |  L11926  |
Mo XLII   |                    |        0.05665407  |           |           |      |        0.00          -    [21884.4296]      |                    1s - 3p                     |        2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Mo XLII   |                    |        0.05676957  |           |           |      |        0.00          -    [21839.9032]      |                    1s - 3p                     |        2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |        |  L11926  |
Mo XLI    |                    |        0.05834369  |           |           |      |        0.00          -    [21250.6584]      |                   1s2 - 1s.3p                  |        1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |  L11926  |
Mo XLI    |                    |        0.05846975  |           |           |      |        0.00          -    [21204.8450]      |                   1s2 - 1s.3p                  |        1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |  L11926  |
          |                    |                    |           |           |      |                                             |                                                |                         |             |         |    |        |          |
Mo XLI    |                    |        0.066507    |           |           |      |   [17907.0032]       -    [36549.18]        |                 1s.2p - 2p2                    |        3P* - 1S         |    1 - 0    |  3 - 1  |    |        |  L11926  |
Mo XLI    |                    |        0.066656    |           |           |      |   [17907.0032]       -    [36507.64]        |                 1s.2p - 2p2                    |        3P* - 3P         |    1 - 2    |  3 - 5  |    |        |  L11926  |
Mo XLII   |                    |        0.06688575  |           |           |      |        0.00          -    [18536.7114]      |                    1s - 2p                     |        2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Mo XLI    |                    |        0.066938    |           |           |      |   [17850.2568]       -    [36372.37]        |                 1s.2s - 2s.2p                  |        3S  - 1P*        |    1 - 1    |  3 - 3  |    |        |  L11926  |
Mo XLI    |                    |        0.067068    |           |           |      |   [18062.736]        -    [36549.18]        |                 1s.2p - 2p2                    |        1P* - 1S         |    1 - 0    |  3 - 1  |    |        |  L11926  |
          |                    |                    |           |           |      |                                             |                                                |                         |             |         |    |        |          |
Mo XLI    |                    |        0.067120    |           |           |      |   [18035.4892]       -    [36507.64]        |                 1s.2p - 2p2                    |        3P* - 3P         |    2 - 2    |  5 - 5  |    |        |  L11926  |
Mo XLI    |                    |        0.067125    |           |           |      |   [17850.2568]       -    [36320.92]        |                 1s.2s - 2s.2p                  |        3S  - 3P*        |    1 - 2    |  3 - 5  |    |        |  L11926  |
Mo XLI    |                    |        0.067135    |           |           |      |   [17907.0032]       -    [36374.98]        |                 1s.2p - 2p2                    |        3P* - 1D         |    1 - 2    |  3 - 5  |    |        |  L11926  |
Mo XLI    |                    |        0.067149    |           |           |      |   [17908.438]        -    [36372.37]        |                 1s.2s - 2s.2p                  |        1S  - 1P*        |    0 - 1    |  1 - 3  |    |        |  L11926  |
Mo XLI    |                    |        0.067180    |           |           |      |   [17905.5761]       -    [36360.97]        |                 1s.2p - 2p2                    |        3P* - 3P         |    0 - 1    |  1 - 3  |    |        |  L11926  |
          |                    |                    |           |           |      |                                             |                                                |                         |             |         |    |        |          |
Mo XLI    |                    |        0.067186    |           |           |      |   [17907.0032]       -    [36360.97]        |                 1s.2p - 2p2                    |        3P* - 3P         |    1 - 1    |  3 - 3  |    |        |  L11926  |
