NIST Atomic Spectra Database Lines Data
Tc : 640 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 20000 

Query NIST Bibliographic Databases for 
Tc (new window) 
Tc Energy Levels  
Tc Line Wavelengths and Classification  
Tc Transition Probabilities  

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed  |        Ritz    |     Rel. |    Aki    | Acc. |           Ei           Ek           |              Configurations                |     Terms     |   Ji   Jk   | gi   gk |Type|    TP  |          Line  |
          |     Wavelength |     Wavelength |     Int. |    s^-1   |      |          (eV)         (eV)          |                                            |               |             |         |    |   Ref. |          Ref.  |
          |      Vac (nm)  |      Vac (nm)  |     (?)  |           |      |                                     |                                            |               |             |         |    |        |                |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                |                |          |           |      |                                     |                                            |               |             |         |    |        |                |
Tc II     |      210.690   |                |       15 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc II     |      211.711   |                |       20 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      212.0076  |                |       15 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      215.6950  |                |       30 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      218.6078  |                |       30 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
          |                |                |          |           |      |                                     |                                            |               |             |         |    |        |                |
Tc I      |      218.9740  |                |       30 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      219.4033  |                |       40 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc II     |      226.692   |                |       10 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      228.2825  |      228.2831  |       10 |           |      |    0.00000       -     5.431158     |             4d5.5s2 - 4d6.(3F2).5p         |   6S  - 2F*   |  5/2 - 7/2  |  6 - 8  |    |        |          L149  |
Tc I      |      228.3418  |      228.3423  |       10 |           |      |    0.00000       -     5.429752     |             4d5.5s2 - 4d5.(4D).5s.(5D).5p  |   6S  - 6D*   |  5/2 - 3/2  |  6 - 4  |    |        |         L4515  |
          |                |                |          |           |      |                                     |                                            |               |             |         |    |        |                |
Tc I      |      228.6156  |                |       50 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      229.8788  |                |      100 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      241.6951  |                |       30 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      242.3964  |      242.3929  |       50 |           |      |    0.458808      -     5.573818     |         4d6.(5D).5s -                      |   6D  - 2*    |  5/2 - 3/2  |  6 - 4  |    |        |         L4515  |
Tc I      |      242.5274  |      242.5279  |       20 |           |      |    0.318998      -     5.431158     |         4d6.(5D).5s - 4d6.(3F2).5p         |   6D  - 2F*   |  9/2 - 7/2  | 10 - 8  |    |        |          L149  |
          |                |                |          |           |      |                                     |                                            |               |             |         |    |        |                |
Tc I      |      243.6568  |                |       20 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      243.7733  |      243.7732  |       10 |           |      |    0.458808      -     5.544854     |         4d6.(5D).5s - 4d6.(3P2).5p         |   6D  - 4D*   |  5/2 - 3/2  |  6 - 4  |    |        |          L149  |
Tc I      |      246.4439  |                |      80w |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      246.5832  |      246.5828  |       20 |           |      |    0.403061      -     5.431158     |         4d6.(5D).5s - 4d6.(3F2).5p         |   6D  - 2F*   |  7/2 - 7/2  |  8 - 8  |    |        |          L149  |
Tc I      |      246.7619  |      246.7620  |       30 |           |      |    0.318998      -     5.343442     |         4d6.(5D).5s - 4d6.(3D).5p          |   6D  - 4F*   |  9/2 - 9/2  | 10 - 10 |    |        |          L149  |
          |                |                |          |           |      |                                     |                                            |               |             |         |    |        |                |
Tc I      |      247.5855  |      247.5860  |       20 |           |      |    0.458808      -     5.466531     |         4d6.(5D).5s - 4d6.(3F2).5p         |   6D  - 4F*   |  5/2 - 7/2  |  6 - 8  |    |        |          L149  |
Tc I      |      248.1448  |      248.1442  |       50 |           |      |    0.00000       -     4.996456     |             4d5.5s2 - 4d5.(4G).5s.(5G).5p  |   6S  - 4F*   |  5/2 - 5/2  |  6 - 6  |    |        |          L149  |
Tc I      |      248.3974  |                |       50 |           |      |                                     |                                            |               |             |         |    |        |         L4515  |
Tc I      |      248.7247  |      248.7242  |       20 |           |      |    0.458808      -     5.443616     |         4d6.(5D).5s - 4d6.(3H).5p          |   6D  - 4H*   |  5/2 - 7/2  |  6 - 8  |    |        |          L149  |
Tc I      |      249.3473  |      249.3473  |      25* |           |      |    0.458808      -     5.431158     |         4d6.(5D).5s - 4d6.(3F2).5p         |   6D  - 2F*   |  5/2 - 7/2  |  6 - 8  |    |        |          L149  |
          |                |                |          |           |      |                                     |                                            |               |             |         |    |        |                |
Tc I      |      249.3473  |      249.3479  |      25* |           |      |    0.496255      -     5.468593     |         4d6.(5D).5s - 4d6.(3D).5p          |   6D  - 4P*   |  3/2 - 5/2  |  4 - 6  |    |        |          L149  |
