NIST Atomic Spectra Database Lines Data
Ru : 687 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 11000 

Query NIST Bibliographic Databases for 
Ru (new window) 
Ru Energy Levels  
Ru Line Wavelengths and Classification  
Ru Transition Probabilities  

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed  |        Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek           |           Configurations             |      Terms        |   Ji   Jk   | gi   gk |Type|    TP  |    Line  |
          |     Wavelength |     Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |                                      |                   |             |         |    |   Ref. |    Ref.  |
          |      Vac (nm)  |      Vac (nm)  |  (?)  |           |      |                                    |                                      |                   |             |         |    |        |          |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                |                |       |           |      |                                    |                                      |                   |             |         |    |        |          |
Ru III    |      85.009    |                |   250 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      85.030    |                |   200 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      85.122    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      85.249    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      85.632    |                |   150 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
          |                |                |       |           |      |                                    |                                      |                   |             |         |    |        |          |
Ru III    |      86.748    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      91.974    |                |   250 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      92.178    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      92.808    |                |   250 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      93.716    |                |   150 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
          |                |                |       |           |      |                                    |                                      |                   |             |         |    |        |          |
Ru III    |      94.009    |                |   500 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      94.068    |                |   250 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      94.185    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      94.263    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      94.306    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
          |                |                |       |           |      |                                    |                                      |                   |             |         |    |        |          |
Ru III    |      94.568    |                |   150 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      94.605    |                |   100 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      94.714    |                |   100 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      94.983    |                |   100 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      95.035    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
          |                |                |       |           |      |                                    |                                      |                   |             |         |    |        |          |
Ru III    |      95.045    |                |   100 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      95.259    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      95.706    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      95.718    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      96.158    |                |    50 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
          |                |                |       |           |      |                                    |                                      |                   |             |         |    |        |          |
Ru III    |      96.168    |                |   250 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      96.256    |                |   100 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      96.654    |                |   500 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      96.709    |                |   250 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      96.785    |                |   150 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
          |                |                |       |           |      |                                    |                                      |                   |             |         |    |        |          |
Ru III    |      96.792    |                |   150 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      97.183    |                |   150 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      97.240    |                |   250 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      97.354    |                |   100 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      97.378    |                |   150 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
          |                |                |       |           |      |                                    |                                      |                   |             |         |    |        |          |
Ru III    |      97.414    |                |   750 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      97.446    |                |   250 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      97.751    |                |   250 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      97.818    |                |   100 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
Ru III    |      97.943    |                |   900 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
          |                |                |       |           |      |                                    |                                      |                   |             |         |    |        |          |
Ru III    |      98.135    |                |   500 |           |      |                                    |                                      |                   |             |         |    |        |     u14  |
