NIST Atomic Spectra Database Lines Data
Rh : 571 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 9400 

Query NIST Bibliographic Databases for 
Rh (new window) 
Rh Energy Levels  
Rh Line Wavelengths and Classification  
Rh Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed  |      Ritz    |  Rel. |    Aki    | Acc. |         Ei           Ek         |       Configurations        |      Terms     |   Ji   Jk       | gi   gk |Type|    TP  |          Line  |
          |   Wavelength |   Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |                             |                |                 |         |    |   Ref. |          Ref.  |
          |    Vac (nm)  |    Vac (nm)  |  (?)  |           |      |                                 |                             |                |                 |         |    |        |                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |              |              |       |           |      |                                 |                             |                |                 |         |    |        |                |
Rh III    |     74.628   |              |    10 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     75.954   |              |    30 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     81.344   |              |    50 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     82.601   |              |    30 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     84.363   |              |    30 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
          |              |              |       |           |      |                                 |                             |                |                 |         |    |        |                |
Rh III    |     84.908   |              |    30 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     85.270   |              |    40 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     85.477   |              |    40 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     85.989   |              |    40 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     86.134   |              |    40 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
          |              |              |       |           |      |                                 |                             |                |                 |         |    |        |                |
Rh III    |     86.378   |              |    50 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     86.522   |              |    50 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     87.040   |              |    50 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     88.251   |              |    80 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     92.575   |              |   100 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
          |              |              |       |           |      |                                 |                             |                |                 |         |    |        |                |
Rh III    |     93.728   |              |   150 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     97.612   |              |   100 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     99.162   |              |   500 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |     99.248   |              |   400 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    100.960   |              | 500bl |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
          |              |              |       |           |      |                                 |                             |                |                 |         |    |        |                |
Rh III    |    101.222   |              |   200 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    101.517   |              |   200 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    105.000   |              |   100 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    105.897   |              |   100 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    107.387   |              |   200 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
          |              |              |       |           |      |                                 |                             |                |                 |         |    |        |                |
Rh III    |    110.058   |              |   100 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    111.379   |              |   100 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    176.843   |              |   100 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    178.424   |              |   150 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    178.494   |              |   200 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
          |              |              |       |           |      |                                 |                             |                |                 |         |    |        |                |
Rh III    |    179.650   |              |   150 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    181.603   |              |   200 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    183.205   |              |  1000 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    185.985   |              |   500 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    187.470   |              |   100 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
          |              |              |       |           |      |                                 |                             |                |                 |         |    |        |                |
Rh III    |    188.066   |              |   800 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    188.491   |              |   500 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    188.736   |              |   500 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    188.862   |              |   700 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    190.132   |              |   800 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
          |              |              |       |           |      |                                 |                             |                |                 |         |    |        |                |
Rh III    |    191.016   |              |   500 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
Rh III    |    191.937   |              |   600 |           |      |                                 |                             |                |                 |         |    |        |         L3977  |
