NIST Atomic Spectra Database Lines Data
Pd : 203 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 24000 

Query NIST Bibliographic Databases for 
Pd (new window) 
Pd Energy Levels  
Pd Line Wavelengths and Classification  
Pd Transition Probabilities  

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed  |        Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek           |           Configurations            |        Terms       |   Ji   Jk   | gi   gk |Type|    TP  |    Line  |
          |     Wavelength |     Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |                                     |                    |             |         |    |   Ref. |    Ref.  |
          |      Vac (nm)  |      Vac (nm)  |  (?)  |           |      |                                    |                                     |                    |             |         |    |        |          |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                |                |       |           |      |                                    |                                     |                    |             |         |    |        |          |
Pd III    |     68.874     |                |    10 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     68.946     |                |    20 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     68.954     |                |    50 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     69.591     |                |    50 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     70.549     |                |   200 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
          |                |                |       |           |      |                                    |                                     |                    |             |         |    |        |          |
Pd III    |     70.780     |                |   150 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     70.989     |                |   100 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     71.790     |                |   100 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     71.947     |                |   100 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     72.772     |                |   200 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
          |                |                |       |           |      |                                    |                                     |                    |             |         |    |        |          |
Pd III    |     73.879     |                |   150 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     75.685     |                |   100 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     75.741     |                |   100 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     76.306     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     76.642     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
          |                |                |       |           |      |                                    |                                     |                    |             |         |    |        |          |
Pd III    |     77.211     |                |   200 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     77.651     |                |   200 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     78.102     |                |  2000 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     78.499     |                |   200 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     78.731     |                |   200 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
          |                |                |       |           |      |                                    |                                     |                    |             |         |    |        |          |
Pd III    |     78.795     |                |   200 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     78.958     |                |   200 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     79.408     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     79.752     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     80.003     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
          |                |                |       |           |      |                                    |                                     |                    |             |         |    |        |          |
Pd III    |     80.010     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     80.367     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     82.535     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     84.058     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     85.647     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
          |                |                |       |           |      |                                    |                                     |                    |             |         |    |        |          |
Pd III    |     86.404     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     88.059     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     88.884     |                |   500 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     88.929     |                |  1000 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |     94.778     |                |   300 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
          |                |                |       |           |      |                                    |                                     |                    |             |         |    |        |          |
Pd III    |     96.552     |                |   300 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |    150.540     |                |   100 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |    151.718     |                |   200 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |    152.688     |                |  200w |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
Pd III    |    154.263     |                |   100 |           |      |                                    |                                     |                    |             |         |    |        |   L3536  |
          |                |                |       |           |      |                                    |                                     |                    |             |         |    |        |          |
