NIST Atomic Spectra Database Lines Data
Ag : 327 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 55000 

Query NIST Bibliographic Databases for 
Ag (new window) 
Ag Energy Levels  
Ag Line Wavelengths and Classification  
Ag Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |   Rel. |    Aki    | Acc. |             Ei           Ek              |         Configurations          |    Terms   |  Ji   Jk      | gi   gk |Type|    TP  |          Line  |
          |        Wavelength |        Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)             |                                 |            |               |         |    |   Ref. |          Ref.  |
          |         Vac (nm)  |         Vac (nm)  |   (?)  |           |      |                                          |                                 |            |               |         |    |        |                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |        |           |      |                                          |                                 |            |               |         |    |        |                |
Ag III    |      70.980       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      71.385       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      71.773       |                   |    100 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      71.853       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      72.696       |                   |    300 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
          |                   |                   |        |           |      |                                          |                                 |            |               |         |    |        |                |
Ag III    |      73.004       |                   |    350 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      73.028       |                   |    150 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag II     |      73.083       |                   |     25 |           |      |                                          |                                 |            |               |         |    |        |          L647  |
Ag III    |      73.094       |                   |    150 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      73.657       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
          |                   |                   |        |           |      |                                          |                                 |            |               |         |    |        |                |
Ag III    |      73.813       |                   |    100 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      74.098       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      74.229       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      74.830       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag II     |      75.280       |                   |     30 |           |      |                                          |                                 |            |               |         |    |        |          L647  |
          |                   |                   |        |           |      |                                          |                                 |            |               |         |    |        |                |
Ag III    |      75.573       |                   |    150 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      75.827       |                   |    100 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      76.719       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      76.833       |                   |    250 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      76.961       |                   |    150 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
          |                   |                   |        |           |      |                                          |                                 |            |               |         |    |        |                |
Ag III    |      77.638       |                   |    350 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      78.291       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      78.576       |                   |    150 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      78.908       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      79.235       |                   |    250 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
          |                   |                   |        |           |      |                                          |                                 |            |               |         |    |        |                |
Ag III    |      79.654       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      79.791       |                   |    250 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      79.941       |                   |    400 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      80.888       |                   |    300 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      81.612       |                   |    150 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
          |                   |                   |        |           |      |                                          |                                 |            |               |         |    |        |                |
Ag III    |      82.239       |                   |    180 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag III    |      83.811       |                   |    200 |           |      |                                          |                                 |            |               |         |    |        |          L650  |
Ag II     |     100.532       |                   |     15 |           |      |                                          |                                 |            |               |         |    |        |          L647  |
Ag II     |     106.549       |                   |     10 |           |      |                                          |                                 |            |               |         |    |        |          L647  |
Ag II     |     107.223       |                   |     12 |           |      |                                          |                                 |            |               |         |    |        |          L647  |
          |                   |                   |        |           |      |                                          |                                 |            |               |         |    |        |                |
Ag II     |     107.422       |                   |    250 |           |      |                                          |                                 |            |               |         |    |        |         L3064  |
Ag II     |     110.703       |                   |    150 |           |      |                                          |                                 |            |               |         |    |        |         L3064  |
Ag II     |     111.246       |                   |    150 |           |      |                                          |                                 |            |               |         |    |        |         L3064  |
Ag II     |     119.583       |                   |     60 |           |      |                                          |                                 |            |               |         |    |        |         L3064  |
Ag II     |     122.333       |                   |     50 |           |      |                                          |                                 |            |               |         |    |        |         L3064  |
          |                   |                   |        |           |      |                                          |                                 |            |               |         |    |        |                |
Ag II     |     124.080       |                   |     50 |           |      |                                          |                                 |            |               |         |    |        |         L3064  |
