NIST Atomic Spectra Database Lines Data
Cd : 353 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 2000 

Query NIST Bibliographic Databases for 
Cd (new window) 
Cd Energy Levels  
Cd Line Wavelengths and Classification  
Cd Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed  |       Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek          |     Configurations       |    Terms   |  Ji   Jk    | gi   gk |Type|    TP  |      Line  |
          |    Wavelength |    Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |                          |            |             |         |    |   Ref. |      Ref.  |
          |     Vac (nm)  |     Vac (nm)  |  (?)  |           |      |                                   |                          |            |             |         |    |        |            |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd IV     |     42.701    |               |    50 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     43.788    |               |    20 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     44.785    |               |    50 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     48.090    |               |    60 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     48.949    |               |    10 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd IV     |     49.300    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     49.513    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     49.814    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     49.853    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     50.409    |               |    80 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd IV     |     50.420    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     50.450    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     50.631    |               |    80 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     50.801    |               |    60 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     50.895    |               |    50 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd IV     |     50.955    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     50.981    |               |    25 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     51.140    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     51.300    |               |    80 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     51.450    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd IV     |     51.942    |               |    60 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     52.097    |               |    15 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     52.441    |               |    80 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     52.447    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     52.477    |               |    50 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd IV     |     52.510    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     52.519    |               |    60 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     52.707    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     53.079    |               |    50 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     53.109    |               |    80 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd IV     |     53.151    |               |    80 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     53.429    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     53.677    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     53.724    |               |    50 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     54.090    |               |    60 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd IV     |     54.174    |               |    70 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     54.260    |               |    80 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     54.655    |               |    80 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     54.801    |               |    40 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     54.833    |               |    20 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd IV     |     54.890    |               |    15 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
Cd IV     |     55.127    |               |    25 |           |      |                                   |                          |            |             |         |    |        |     L4099  |
