NIST Atomic Spectra Database Lines Data
In : 402 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 18000 

Query NIST Bibliographic Databases for 
In (new window) 
In Energy Levels  
In Line Wavelengths and Classification  
In Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed  |        Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek          | Configurations   |    Terms   |  Ji   Jk      | gi   gk |Type|    TP  |   Line  |
          |     Wavelength |     Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |                  |            |               |         |    |   Ref. |   Ref.  |
          |      Vac (nm)  |      Vac (nm)  |  (?)  |           |      |                                   |                  |            |               |         |    |        |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                |                |       |           |      |                                   |                  |            |               |         |    |        |         |
In V      |     36.867     |                |     6 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     37.010     |                |     6 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     37.282     |                |    10 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     37.294     |                |    10 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     37.495     |                |     2 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
          |                |                |       |           |      |                                   |                  |            |               |         |    |        |         |
In V      |     37.584     |                |     6 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     37.607     |                |     6 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     37.679     |                |    10 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     37.861     |                |    17 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     37.924     |                |     3 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
          |                |                |       |           |      |                                   |                  |            |               |         |    |        |         |
In V      |     38.027     |                |     9 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     38.156     |                |    11 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     38.214     |                |     9 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     38.276     |                |    11 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     38.305     |                |    10 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
          |                |                |       |           |      |                                   |                  |            |               |         |    |        |         |
In V      |     38.621     |                |    17 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     38.670     |                |    10 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     38.866     |                |     3 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     38.891     |                |    14 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     39.003     |                |    11 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
          |                |                |       |           |      |                                   |                  |            |               |         |    |        |         |
In V      |     39.092     |                |    11 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     39.229     |                |     9 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     39.246     |                |     9 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     39.360     |                |     1 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     39.389     |                |    25 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
          |                |                |       |           |      |                                   |                  |            |               |         |    |        |         |
In V      |     39.574     |                |    11 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     39.773     |                |     3 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     39.979     |                |    10 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     40.005     |                |     9 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     40.057     |                |    25 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
          |                |                |       |           |      |                                   |                  |            |               |         |    |        |         |
In V      |     40.239     |                |    25 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     40.533     |                |     3 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     40.728     |                |     9 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     40.736     |                |     3 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     40.795     |                |     9 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
          |                |                |       |           |      |                                   |                  |            |               |         |    |        |         |
In V      |     41.743     |                |     9 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     41.845     |                |     2 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In V      |     42.316     |                |     2 |           |      |                                   |                  |            |               |         |    |        |  L3283  |
In IV     |     47.271     |                |   622 |           |      |                                   |                  |            |               |         |    |        |  L1869  |
In IV     |     47.939     |                |   689 |           |      |                                   |                  |            |               |         |    |        |  L1869  |
          |                |                |       |           |      |                                   |                  |            |               |         |    |        |         |
In IV     |     49.862     |                |   709 |           |      |                                   |                  |            |               |         |    |        |  L1869  |
In III    |     68.531     |                |     7 |           |      |                                   |                  |            |               |         |    |        |    u12  |
In III    |     69.162     |                |     5 |           |      |                                   |                  |            |               |         |    |        |    u12  |
In III    |     78.217     |                |     1 |           |      |                                   |                  |            |               |         |    |        |    u12  |
In III    |     88.224     |                |    10 |           |      |                                   |                  |            |               |         |    |        |    u12  |
          |                |                |       |           |      |                                   |                  |            |               |         |    |        |         |
