NIST Atomic Spectra Database Lines Data
B : 2089 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 21]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 32000 

Query NIST Bibliographic Databases for 
B (new window) 
B Energy Levels  
B Line Wavelengths and Classification  
B Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |               Ritz    |   Rel. |     Aki    | Acc. |                 Ei           Ek                  |              Configurations                   |      Terms     |              Ji   Jk               | gi   gk |Type|      TP  |          Line  |
          |            Wavelength |            Wavelength |   Int. |     s^-1   |      |                (eV)         (eV)                 |                                               |                |                                    |         |    |     Ref. |          Ref.  |
          |             Vac (nm)  |             Vac (nm)  |   (?)  |            |      |                                                  |                                               |                |                                    |         |    |          |                |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |                       |        |            |      |                                                  |                                               |                |                                    |         |    |          |                |
B V       |                       |          3.68097244   |        |            |      |      0.000000          -    (336.824555543)      |                  1s - 10p                     |    2S  - 2P*   |             1/2 - 3/2              |  2 - 4  |    |          |                |
B V       |                       |          3.68097492   |        |            |      |      0.000000          -    (336.824328462)      |                  1s - 10p                     |    2S  - 2P*   |             1/2 - 1/2              |  2 - 2  |    |          |                |
B V       |                       |          3.68971286   |        |            |      |      0.000000          -    (336.026664382)      |                  1s - 9p                      |    2S  - 2P*   |             1/2 - 3/2              |  2 - 4  |    |          |                |
B V       |                       |          3.68971628   |        |            |      |      0.000000          -    (336.026352881)      |                  1s - 9p                      |    2S  - 2P*   |             1/2 - 1/2              |  2 - 2  |    |          |                |
B V       |          3.703        |          3.70200210   |    10* |            |      |      0.000000          -    (334.911183858)      |                  1s - 8p                      |    2S  - 2P*   |             1/2 - 3/2              |  2 - 4  |    |          |  L4250,L12548  |
          |                       |                       |        |            |      |                                                  |                                               |                |                                    |         |    |          |                |
B V       |          3.703        |          3.70200700   |    10* |            |      |      0.000000          -    (334.910740328)      |                  1s - 8p                      |    2S  - 2P*   |             1/2 - 1/2              |  2 - 2  |    |          |                |
B V       |          3.721        |          3.72007462   |    20* |            |      |      0.000000          -    (333.284149687)      |                  1s - 7p                      |    2S  - 2P*   |             1/2 - 3/2              |  2 - 4  |    |          |  L4250,L12548  |
B V       |          3.721        |          3.72008201   |    20* |            |      |      0.000000          -    (333.283487613)      |                  1s - 7p                      |    2S  - 2P*   |             1/2 - 1/2              |  2 - 2  |    |          |                |
B V       |          3.748        |          3.74826792   |    80* |  1.2347e+10| AA   |      0.000000          -    (330.777289916)      |                  1s - 6p                      |    2S  - 2P*   |             1/2 - 3/2              |  2 - 4  |    |    T8637 |         L3762  |
B V       |          3.748        |          3.74827984   |    80* |  1.2347e+10| AA   |      0.000000          -    (330.776238544)      |                  1s - 6p                      |    2S  - 2P*   |             1/2 - 1/2              |  2 - 2  |    |    T8637 |                |
          |                       |                       |        |            |      |                                                  |                                               |                |                                    |         |    |          |                |
B V       |          3.794        |          3.79597992   |   150* |  2.1514e+10| AA   |      0.000000          -    (326.619721426)      |                  1s - 5p                      |    2S  - 2P*   |             1/2 - 3/2              |  2 - 4  |    |    T8637 |         L3762  |
B V       |          3.794        |          3.79600104   |   150* |  2.1513e+10| AA   |      0.000000          -    (326.617904610)      |                  1s - 5p                      |    2S  - 2P*   |             1/2 - 1/2              |  2 - 2  |    |    T8637 |                |
B V       |          3.887        |          3.88706653   |   300* |  4.2676e+10| AA   |      0.000000          -    (318.965959874)      |                  1s - 4p                      |    2S  - 2P*   |             1/2 - 3/2              |  2 - 4  |    |    T8637 |         L3762  |
B V       |          3.887        |          3.88710977   |   300* |  4.2674e+10| AA   |      0.000000          -    (318.962411298)      |                  1s - 4p                      |    2S  - 2P*   |             1/2 - 1/2              |  2 - 2  |    |    T8637 |                |
B V       |          4.098        |          4.09959807   |  1000* |  1.0468e+11| AA   |      0.000000          -    (302.430112390)      |                  1s - 3p                      |    2S  - 2P*   |             1/2 - 3/2              |  2 - 4  |    |    T8637 |         L3762  |
          |                       |                       |        |            |      |                                                  |                                               |                |                                    |         |    |          |                |
B V       |          4.098        |          4.09971210   |  1000* |  1.0467e+11| AA   |      0.000000          -    (302.42170071)       |                  1s - 3p                      |    2S  - 2P*   |             1/2 - 1/2              |  2 - 2  |    |    T8637 |                |
B IV      |          4.3350       |          4.3367       |     1* |            |      |    202.9509038         -     488.845             |               1s.2p - 2p.3p                   |    3P* - 3P    |               1 - 0,1,2            |  3 - 9  |    |          |  L4250,L12548  |
B IV      |          4.3350       |          4.3367       |     1* |            |      |    202.9529127         -     488.845             |               1s.2p - 2p.3p                   |    3P* - 3P    |               0 - 0,1,2            |  1 - 9  |    |          |  L4250,L12548  |
B IV      |          4.3350       |          4.3368       |     1* |            |      |    202.9574328         -     488.845             |               1s.2p - 2p.3p                   |    3P* - 3P    |               2 - 0,1,2            |  5 - 9  |    |          |  L4250,L12548  |
B IV      |          4.3590       |          4.3604       |     2* |            |      |    202.9529127         -     487.295             |               1s.2p - 2p.3p                   |    3P* - 3D    |               0 - 1,2,3            |  1 - 15 |    |          |  L4250,L12548  |
          |                       |                       |        |            |      |                                                  |                                               |                |                                    |         |    |          |                |
