NIST Atomic Spectra Database Lines Data
Sn : 382 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 17000 

Query NIST Bibliographic Databases for 
Sn (new window) 
Sn Energy Levels  
Sn Line Wavelengths and Classification  
Sn Transition Probabilities  

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed  |        Ritz    |    Rel. |      Aki    | Acc. |          Ei           Ek           |    Configurations      |    Terms     |  Ji   Jk  | gi   gk |Type|    TP  |               Line  |
          |     Wavelength |     Wavelength |    Int. |      s^-1   |      |         (eV)         (eV)          |                        |              |           |         |    |   Ref. |               Ref.  |
          |      Vac (nm)  |      Vac (nm)  |    (?)  |             |      |                                    |                        |              |           |         |    |        |                     |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                |                |         |             |      |                                    |                        |              |           |         |    |        |                     |
Sn V      |     35.514     |                |     120 |             |      |                                    |                        |              |           |         |    |        |              L4099  |
Sn V      |     36.101     |                |     150 |             |      |                                    |                        |              |           |         |    |        |              L4099  |
Sn V      |     37.255     |                |     100 |             |      |                                    |                        |              |           |         |    |        |              L4099  |
Sn IV     |     60.523     |                |      50 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn IV     |     61.904     |                |      50 |             |      |                                    |                        |              |           |         |    |        |                u14  |
          |                |                |         |             |      |                                    |                        |              |           |         |    |        |                     |
Sn IV     |     62.873     |                |      50 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn III    |     75.301     |                |     100 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn III    |     76.062     |                |      50 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn III    |     77.579     |                |      75 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn III    |     78.468     |                |      50 |             |      |                                    |                        |              |           |         |    |        |                u14  |
          |                |                |         |             |      |                                    |                        |              |           |         |    |        |                     |
Sn II     |     89.992     |                |       1 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
Sn IV     |     90.822     |                |      50 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn III    |     91.092     |                |     200 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn II     |     91.740     |                |       2 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
Sn II     |     93.563     |                |       1 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
          |                |                |         |             |      |                                    |                        |              |           |         |    |        |                     |
Sn II     |     94.583     |                |       3 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
Sn II     |     95.450     |                |       4 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
Sn IV     |     95.625     |                |     500 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn II     |     98.513     |                |       7 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
Sn II     |     99.721     |                |       4 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
          |                |                |         |             |      |                                    |                        |              |           |         |    |        |                     |
Sn III    |    101.092     |                |      50 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn II     |    101.626     |                |       2 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
Sn IV     |    101.972     |                |     500 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn II     |    104.078     |                |       4 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
Sn II     |    104.132     |                |       1 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
          |                |                |         |             |      |                                    |                        |              |           |         |    |        |                     |
Sn IV     |    104.449     |                |    1000 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn III    |    104.884     |                |      50 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn IV     |    105.837     |                |     100 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn IV     |    105.859     |                |      50 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn II     |    106.210     |                |       3 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
          |                |                |         |             |      |                                    |                        |              |           |         |    |        |                     |
Sn IV     |    107.341     |                |    1000 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn IV     |    108.750     |                |     200 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn V      |    108.935     |                |     200 |             |      |                                    |                        |              |           |         |    |        |              L4099  |
Sn IV     |    109.692     |                |     300 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn IV     |    110.324     |                |      50 |             |      |                                    |                        |              |           |         |    |        |                u14  |
          |                |                |         |             |      |                                    |                        |              |           |         |    |        |                     |
Sn II     |    110.819     |                |       8 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
Sn IV     |    111.934     |                |    1000 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn IV     |    112.068     |                |     200 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn V      |    113.279     |                |     100 |             |      |                                    |                        |              |           |         |    |        |              L4099  |
Sn III    |    113.929     |                |    1000 |             |      |                                    |                        |              |           |         |    |        |                u14  |
          |                |                |         |             |      |                                    |                        |              |           |         |    |        |                     |
Sn III    |    115.833     |                |    1000 |             |      |                                    |                        |              |           |         |    |        |                u14  |
Sn II     |    115.905     |                |       4 |             |      |                                    |                        |              |           |         |    |        |              L3368  |
Sn V      |    116.074     |                |     200 |             |      |                                    |                        |              |           |         |    |        |              L4099  |
