NIST Atomic Spectra Database Lines Data
C : 3416 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 1000 

Query NIST Bibliographic Databases for 
C (new window) 
C Energy Levels  
C Line Wavelengths and Classification  
C Transition Probabilities  

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |  Rel. |    Aki    | Acc. |              Ei           Ek              |               Configurations                |       Terms      |  Ji   Jk   | gi   gk |Type|                   TP  |   Line  |
          |        Wavelength |        Wavelength |  Int. |    s^-1   |      |             (eV)         (eV)             |                                             |                  |            |         |    |                  Ref. |   Ref.  |
          |         Vac (nm)  |         Vac (nm)  |  (?)  |           |      |                                           |                                             |                  |            |         |    |                       |         |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |       |           |      |                                           |                                             |                  |            |         |    |                       |         |
C VI      |                   |          2.60260  |       | 2.558e+10 | AA   |      0.00           -    [476.38645070]   |                   1s - 6p                   |     2S  - 2P*    | 1/2 - 3/2  |  2 - 4  |    |           T6492extrap |         |
C VI      |                   |          2.60261  |       | 2.558e+10 | AA   |      0.00           -    [476.38426984]   |                   1s - 6p                   |     2S  - 2P*    | 1/2 - 1/2  |  2 - 2  |    |           T6492extrap |         |
C VI      |                   |          2.63572  |       | 4.457e+10 | AA   |      0.00           -    [470.39922262]   |                   1s - 5p                   |     2S  - 2P*    | 1/2 - 3/2  |  2 - 4  |    |           T6492extrap |         |
C VI      |                   |          2.63574  |       | 4.457e+10 | AA   |      0.00           -    [470.39545396]   |                   1s - 5p                   |     2S  - 2P*    | 1/2 - 1/2  |  2 - 2  |    |           T6492extrap |         |
C VI      |                   |          2.69896  |       | 8.842e+10 | AA   |      0.00           -    [459.37716407]   |                   1s - 4p                   |     2S  - 2P*    | 1/2 - 3/2  |  2 - 4  |    |           T6492extrap |         |
          |                   |                   |       |           |      |                                           |                                             |                  |            |         |    |                       |         |
C VI      |                   |          2.69901  |       | 8.842e+10 | AA   |      0.00           -    [459.36980308]   |                   1s - 4p                   |     2S  - 2P*    | 1/2 - 1/2  |  2 - 2  |    |           T6492extrap |         |
C VI      |                   |          2.84652  |       | 2.169e+11 | AA   |      0.00           -    [435.56419298]   |                   1s - 3p                   |     2S  - 2P*    | 1/2 - 3/2  |  2 - 4  |    |           T6492extrap |         |
C VI      |                   |          2.84663  |       | 2.168e+11 | AA   |      0.00           -    [435.54674403]   |                   1s - 3p                   |     2S  - 2P*    | 1/2 - 1/2  |  2 - 2  |    |           T6492extrap |         |
C V       |                   |          3.34262  |       | 1.065e+11 | AA   |      0.00           -     370.91884       |                  1s2 - 1s.4p                |     1S  - 1P*    |   0 - 1    |  1 - 3  |    |                 T5997 |         |
C VI      |                   |          3.37342  |       | 8.124e+11 | AA   |      0.00           -    [367.53290871]   |                   1s - 2p                   |     2S  - 2P*    | 1/2 - 3/2  |  2 - 4  |    |           T6492extrap |         |
          |                   |                   |       |           |      |                                           |                                             |                  |            |         |    |                       |         |
C VI      |                   |          3.37396  |       | 8.118e+11 | AA   |      0.00           -    [367.47402043]   |                   1s - 2p                   |     2S  - 2P*    | 1/2 - 1/2  |  2 - 2  |    |           T6492extrap |         |
C V       |          3.4973   |          3.49728  |   110 | 2.554e+11 | AA   |      0.00           -     354.51650       |                  1s2 - 1s.3p                |     1S  - 1P*    |   0 - 1    |  1 - 3  |    |                 T5997 |  L1113  |
C V       |                   |          3.49953  |       | 1.296e+07 | AA   |      0.00           -     354.28858       |                  1s2 - 1s.3d                |     1S  - 1D     |   0 - 2    |  1 - 5  | E2 |                 T3908 |         |
C V       |          4.0268   |          4.02678  |   450 | 8.873e+11 | AA   |      0.00           -     307.89897       |                  1s2 - 1s.2p                |     1S  - 1P*    |   0 - 1    |  1 - 3  |    |                 T5997 |  L1113  |
C V       |                   |          4.07285  |       | 2.62e+04  | A    |      0.00           -     304.41754       |                  1s2 - 1s.2p                |     1S  - 3P*    |   0 - 2    |  1 - 5  | M2 |                 T1494 |         |
          |                   |                   |       |           |      |                                           |                                             |                  |            |         |    |                       |         |
C V       |                   |          4.14721  |       | 4.857e+01 | AA   |      0.00           -     298.95951       |                  1s2 - 1s.2s                |     1S  - 3S     |   0 - 1    |  1 - 3  | M1 |           T1896,T6117 |         |
C VI      |                   |         11.38384  |       | 5.565e+09 | AA   |   [367.47402043]    -    [476.38644696]   |                   2p - 6d                   |     2P* - 2D     | 1/2 - 3/2  |  2 - 4  |    |           T6492extrap |         |
C VI      |                   |         11.38406  |       | 3.181e+08 | AA   |   [367.47402043]    -    [476.38439146]   |                   2p - 6s                   |     2P* - 2S     | 1/2 - 1/2  |  2 - 2  |    |           T6492extrap |         |
C VI      |                   |         11.38418  |       | 3.706e+09 | AA   |   [367.47726125]    -    [476.38645070]   |                   2s - 6p                   |     2S  - 2P*    | 1/2 - 3/2  |  2 - 4  |    |           T6492extrap |         |
C VI      |                   |         11.38441  |       | 3.706e+09 | AA   |   [367.47726125]    -    [476.38426984]   |                   2s - 6p                   |     2S  - 2P*    | 1/2 - 1/2  |  2 - 2  |    |           T6492extrap |         |
          |                   |                   |       |           |      |                                           |                                             |                  |            |         |    |                       |         |
