NIST Atomic Spectra Database Lines Data
N : 4670 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 1000 

Query NIST Bibliographic Databases for 
N (new window) 
N Energy Levels  
N Line Wavelengths and Classification  
N Transition Probabilities  

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |  Rel. |    Aki    | Acc. |             Ei           Ek             |               Configurations                |    Terms   |  Ji   Jk   | gi   gk |Type|            TP  |   Line  |
          |        Wavelength |        Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |                                             |            |            |         |    |           Ref. |   Ref.  |
          |         Vac (nm)  |         Vac (nm)  |  (?)  |           |      |                                         |                                             |            |            |         |    |                |         |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VII     |                   |          1.91179  |       | 4.739e+10 | AA   |      0.00          -    [648.524930]    |                   1s - 6p                   |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |          1.91180  |       | 4.739e+10 | AA   |      0.00          -    [648.520888]    |                   1s - 6p                   |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
N VII     |                   |          1.93612  |       | 8.258e+10 | AA   |      0.00          -    [640.375103]    |                   1s - 5p                   |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |          1.93614  |       | 8.258e+10 | AA   |      0.00          -    [640.368119]    |                   1s - 5p                   |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
N VII     |                   |          1.98257  |       | 1.638e+11 | AA   |      0.00          -    [625.371800]    |                   1s - 4p                   |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VII     |                   |          1.98261  |       | 1.638e+11 | AA   |      0.00          -    [625.358157]    |                   1s - 4p                   |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
N VII     |                   |          2.09095  |       | 4.018e+11 | AA   |      0.00          -    [592.957474]    |                   1s - 3p                   |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |          2.09106  |       | 4.017e+11 | AA   |      0.00          -    [592.925132]    |                   1s - 3p                   |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
N VI      |                   |          2.30240  |       | 6.290e+10 | AA   |      0.00          -     538.4993       |                  1s2 - 1s.6p                |  1S  - 1P* |   0 - 1    |  1 - 3  |    |          T5997 |         |
N VI      |                   |          2.32770  |       | 1.091e+11 | AA   |      0.00          -     532.6472       |                  1s2 - 1s.5p                |  1S  - 1P* |   0 - 1    |  1 - 3  |    |          T5997 |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VI      |                   |          2.37710  |       | 2.145e+11 | AA   |      0.00          -     521.5779       |                  1s2 - 1s.4p                |  1S  - 1P* |   0 - 1    |  1 - 3  |    |          T5997 |         |
N VI      |                   |          2.38277  |       | 4.59e+01  | C    |      0.00          -     520.337        |                  1s2 - 1s.4s                |  1S  - 3S  |   0 - 1    |  1 - 3  | M1 |          T4905 |         |
N VII     |                   |          2.47792  |       | 1.505e+12 | AA   |      0.00          -    [500.355822]    |                   1s - 2p                   |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |          2.47846  |       | 1.504e+12 | AA   |      0.00          -    [500.246676]    |                   1s - 2p                   |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
N VI      |                   |          2.48980  |       | 5.158e+11 | AA   |      0.00          -     497.9689       |                  1s2 - 1s.3p                |  1S  - 1P* |   0 - 1    |  1 - 3  |    |          T5997 |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VI      |                   |          2.49142  |       | 3.847e+07 | AA   |      0.00          -     497.6440       |                  1s2 - 1s.3d                |  1S  - 1D  |   0 - 2    |  1 - 5  | E2 |          T3908 |         |
N VI      |                   |          2.50510  |       | 8.36e+01  | C    |      0.00          -     494.9275       |                  1s2 - 1s.3s                |  1S  - 3S  |   0 - 1    |  1 - 3  | M1 |          T4905 |         |
N VI      |                   |          2.87870  |       | 1.809e+12 | AA   |      0.00          -     430.6950       |                  1s2 - 1s.2p                |  1S  - 1P* |   0 - 1    |  1 - 3  |    |          T5997 |         |
N VI      |                   |          2.90815  |       | 1.03e+05  | A    |      0.00          -     426.3333       |                  1s2 - 1s.2p                |  1S  - 3P* |   0 - 2    |  1 - 5  | M2 |          T1494 |         |
N VI      |                   |          2.95343  |       | 2.55e+02  | A+   |      0.00          -     419.7968       |                  1s2 - 1s.2s                |  1S  - 3S  |   0 - 1    |  1 - 3  | M1 |    T1896,T6117 |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VII     |                   |          8.36159  |       | 1.031e+10 | AA   |   [500.246676]     -    [648.524923]    |                   2p - 6d                   |  2P* - 2D  | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
