NIST Atomic Spectra Database Lines Data
O : 5910 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 1000 

Query NIST Bibliographic Databases for 
O (new window) 
O Energy Levels  
O Line Wavelengths and Classification  
O Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |            Ritz    |  Rel. |    Aki    | Acc. |               Ei           Ek               |               Configurations                 |      Terms     |   Ji   Jk   | gi   gk |Type|                           TP  |          Line  |
          |         Wavelength |         Wavelength |  Int. |    s^-1   |      |              (eV)         (eV)              |                                              |                |             |         |    |                          Ref. |          Ref.  |
          |          Vac (nm)  |          Vac (nm)  |  (?)  |           |      |                                             |                                              |                |             |         |    |                               |                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |                    |       |           |      |                                             |                                              |                |             |         |    |                               |                |
O VIII    |                    |           1.46343  |       | 8.085e+10 | AA   |      0.00            -    (847.21747884)    |                   1s - 6p                    |    2S  - 2P*   |  1/2 - 3/2  |  2 - 4  |    |                   T6492extrap |                |
O VIII    |                    |           1.46344  |       | 8.085e+10 | AA   |      0.00            -    (847.21058031)    |                   1s - 6p                    |    2S  - 2P*   |  1/2 - 1/2  |  2 - 2  |    |                   T6492extrap |                |
O VIII    |                    |           1.48205  |       | 1.409e+11 | AA   |      0.00            -    (836.57201691)    |                   1s - 5p                    |    2S  - 2P*   |  1/2 - 3/2  |  2 - 4  |    |                   T6492extrap |                |
O VIII    |                    |           1.48207  |       | 1.409e+11 | AA   |      0.00            -    (836.56009558)    |                   1s - 5p                    |    2S  - 2P*   |  1/2 - 1/2  |  2 - 2  |    |                   T6492extrap |                |
O VIII    |                    |           1.51760  |       | 2.794e+11 | AA   |      0.00            -    (816.97432292)    |                   1s - 4p                    |    2S  - 2P*   |  1/2 - 3/2  |  2 - 4  |    |                   T6492extrap |                |
          |                    |                    |       |           |      |                                             |                                              |                |             |         |    |                               |                |
O VIII    |                    |           1.51765  |       | 2.794e+11 | AA   |      0.00            -    (816.95103707)    |                   1s - 4p                    |    2S  - 2P*   |  1/2 - 1/2  |  2 - 2  |    |                   T6492extrap |                |
O VIII    |                    |           1.60055  |       | 6.855e+11 | AA   |      0.00            -    (774.63400006)    |                   1s - 3p                    |    2S  - 2P*   |  1/2 - 3/2  |  2 - 4  |    |                   T6492extrap |                |
O VIII    |                    |           1.60067  |       | 6.853e+11 | AA   |      0.00            -    (774.57880007)    |                   1s - 3p                    |    2S  - 2P*   |  1/2 - 1/2  |  2 - 2  |    |                   T6492extrap |                |
O VII     |                    |           1.78052  |       | 1.84e+02  | C    |      0.00            -     696.33737        |                  1s2 - 1s.4s                 |    1S  - 3S    |    0 - 1    |  1 - 3  | M1 |                         T4905 |                |
O VII     |                    |           1.86270  |       | 9.365e+11 | AA   |      0.00            -     665.61533        |                  1s2 - 1s.3p                 |    1S  - 1P*   |    0 - 1    |  1 - 3  |    |                         T5997 |                |
          |                    |                    |       |           |      |                                             |                                              |                |             |         |    |                               |                |
O VII     |                    |           1.86377  |       | 9.656e+07 | AA   |      0.00            -     665.23345        |                  1s2 - 1s.3d                 |    1S  - 1D    |    0 - 2    |  1 - 5  | E2 |                         T3908 |                |
O VII     |                    |           1.87307  |       | 3.57e+02  | C    |      0.00            -     661.92928        |                  1s2 - 1s.3s                 |    1S  - 3S    |    0 - 1    |  1 - 3  | M1 |                         T4905 |                |
O VIII    |                    |           1.89671  |       | 2.567e+12 | AA   |      0.00            -    (653.67990998)    |                   1s - 2p                    |    2S  - 2P*   |  1/2 - 3/2  |  2 - 4  |    |                   T6492extrap |                |
O VIII    |                    |           1.89725  |       | 2.566e+12 | AA   |      0.00            -    (653.49362125)    |                   1s - 2p                    |    2S  - 2P*   |  1/2 - 1/2  |  2 - 2  |    |                   T6492extrap |                |
O VII     |                    |           2.16020  |       | 3.309e+12 | AA   |      0.00            -     573.94774        |                  1s2 - 1s.2p                 |    1S  - 1P*   |    0 - 1    |  1 - 3  |    |                         T5997 |                |
          |                    |                    |       |           |      |                                             |                                              |                |             |         |    |                               |                |
O VII     |                    |           2.18044  |       | 3.31e+05  | A    |      0.00            -     568.62001        |                  1s2 - 1s.2p                 |    1S  - 3P*   |    0 - 2    |  1 - 5  | M2 |                         T1494 |                |
O VII     |                    |           2.21012  |       | 1.04e+03  | AA   |      0.00            -     560.98383        |                  1s2 - 1s.2s                 |    1S  - 3S    |    0 - 1    |  1 - 3  | M1 |                         T1896 |                |
O VIII    |                    |           6.40005  |       | 1.759e+10 | AA   |   (653.49362125)     -    (847.21746689)    |                   2p - 6d                    |    2P* - 2D    |  1/2 - 3/2  |  2 - 4  |    |                   T6492extrap |                |
O VIII    |                    |           6.40026  |       | 1.005e+09 | AA   |   (653.49362125)     -    (847.21092288)    |                   2p - 6s                    |    2P* - 2S    |  1/2 - 1/2  |  2 - 2  |    |                   T6492extrap |                |
O VIII    |                    |           6.40035  |       | 1.171e+10 | AA   |   (653.50273905)     -    (847.21747884)    |                   2s - 6p                    |    2S  - 2P*   |  1/2 - 3/2  |  2 - 4  |    |                   T6492extrap |                |
          |                    |                    |       |           |      |                                             |                                              |                |             |         |    |                               |                |
