NIST Atomic Spectra Database Lines Data
F : 590 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 50000 

Query NIST Bibliographic Databases for 
F (new window) 
F Energy Levels  
F Line Wavelengths and Classification  
F Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |        Observed  |          Ritz    |  Rel. |    Aki    | Acc. |             Ei           Ek             |           Configurations            |    Terms   |  Ji   Jk  | gi   gk |Type|               TP  |   Line  |
          |       Wavelength |       Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |                                     |            |           |         |    |              Ref. |   Ref.  |
          |        Vac (nm)  |        Vac (nm)  |  (?)  |           |      |                                         |                                     |            |           |         |    |                   |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
F VIII    |                  |          1.4458  |       | 1.57e+12  | A    |      0.00          -     857.5478       |              1s2 - 1s.3p            |  1S  - 1P* |   0 - 1   |  1 - 3  |    |                u2 |         |
F VIII    |                  |          1.6807  |       | 5.59e+12  | A    |      0.00          -     737.6935       |              1s2 - 1s.2p            |  1S  - 1P* |   0 - 1   |  1 - 3  |    |                u2 |         |
F VII     |                  |          8.6730  |       | 2.14e+10  | C+'  |      0.00          -     142.9550       |           1s2.2s - 1s2.4p           |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |            T763LS |         |
F VII     |                  |          8.6738  |       | 2.14e+10  | C+'  |      0.00          -     142.9405       |           1s2.2s - 1s2.4p           |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |            T763LS |         |
F VIII    |                  |          9.3238  |       | 9.14e+10  | A'   |    722.8328        -     855.8083       |            1s.2s - 1s.3p            |  3S  - 3P* |   1 - 1   |  3 - 3  |    |                u2 |         |
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
F VIII    |                  |          9.3238  |       | 9.14e+10  | A'   |    722.8328        -     855.8083       |            1s.2s - 1s.3p            |  3S  - 3P* |   1 - 2   |  3 - 5  |    |                u2 |         |
F VII     |                  |          9.7260  |       | 3.30e+09  | C    |     13.9185        -     141.3955       |           1s2.2p - 1s2.4s           |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |            T763LS |         |
F VII     |                  |          9.7352  |       | 6.6e+09   | C    |     14.0395        -     141.3955       |           1s2.2p - 1s2.4s           |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |            T763LS |         |
F VIII    |                  |          9.8669  |       | 8.67e+10  | A    |    731.8911        -     857.5478       |            1s.2s - 1s.3p            |  1S  - 1P* |   0 - 1   |  1 - 3  |    |                u2 |         |
F VIII    |                  |          9.8698  |       | 2.750e+11 | A'   |    731.7175+r      -     857.3370+r     |            1s.2p - 1s.3d            |  3P* - 3D  |   2 - 3   |  5 - 7  |    |                u2 |         |
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
F VIII    |                  |          9.8797  |       | 2.063e+11 | A'   |    731.5997        -     857.0940       |            1s.2p - 1s.3d            |  3P* - 3D  |   1 - 2   |  3 - 5  |    |                u2 |         |
F VIII    |                  |          9.8889  |       | 6.88e+10  | A'   |    731.7175+r      -     857.0940       |            1s.2p - 1s.3d            |  3P* - 3D  |   2 - 2   |  5 - 5  |    |                u2 |         |
F VIII    |                  |         10.3520  |       | 2.610e+11 | A    |    737.6935        -     857.4623+k     |            1s.2p - 1s.3d            |  1P* - 1D  |   1 - 2   |  3 - 5  |    |                u2 |         |
F VII     |                  |         11.2942  |       | 4.99e+10  | B+   |      0.00          -     109.777        |           1s2.2s - 1s2.3p           |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |      T801,T763,LS |         |
F VII     |                  |         11.2978  |       | 4.99e+10  | B+   |      0.00          -     109.742        |           1s2.2s - 1s2.3p           |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |      T801,T763,LS |         |
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
F VI      |                  |         12.6929  |       | 6.60e+10  | E    |      0.00          -      97.6802       |          1s2.2s2 - 1s2.2s.3p        |  1S  - 1P* |   0 - 1   |  1 - 3  |    |              T828 |         |
F VII     |                  |         12.7655  |       | 1.360e+11 | B    |     13.9185        -     111.043        |           1s2.2p - 1s2.3d           |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |            T801LS |         |
F VII     |                  |         12.7800  |       | 1.630e+11 | B    |     14.0395        -     111.053        |           1s2.2p - 1s2.3d           |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |            T801LS |         |
F VII     |                  |         12.7815  |       | 2.72e+10  | B    |     14.0395        -     111.043        |           1s2.2p - 1s2.3d           |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |            T801LS |         |
F V       |         13.454   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
F VII     |                  |         13.4705  |       | 8.83e+09  | C+   |     13.9185        -     105.959        |           1s2.2p - 1s2.3s           |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |      T801,T763,LS |         |
